CycID	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
0610005C13Rik	0	yule-walker	1	20.3673469387755	14.6789077858997	11.3379177716754	31.06665	0.994099261669938	0.982297785009815	0.377522590476434	0.0768162634476688	1
0610007C21Rik	0	yule-walker	1	20.0939597315436	2.1795659827195	11.7730727290774	16.04525	0.974110184558251	0.922330553674753	0.132354558766625	0.160903124400208	1
0610007L01Rik	0	yule-walker	1	20.2297297297297	1.21399660501847	10.377655029523	9.899385	0.981714285417223	0.945142856251669	0.0968016603017436	0.135224681854967	1
0610007N19Rik	1	yule-walker	1	20.3673469387755	0.449093577828326	9.46427682018832	3.13148	0.890773988955434	0.672321966866301	0.151039589623382	0.330493586994614	1
0610007P08Rik	1	yule-walker	1	20.2297297297297	0.208956699866027	8.983455191579	2.3745675	0.836758496768341	0.510275490305024	0.0794452520765854	0.404031562172633	1
0610007P14Rik	1	yule-walker	1	20.0939597315436	3.66152902629551	13.3446371950152	40.00685	0.80459569067252	0.413787072017559	0.0776695928012653	0.442045596434893	1
0610007P22Rik	1	yule-walker	1	20.2297297297297	0.412320068450167	19.1982905304669	3.225115	0.850029194083127	0.550087582249381	0.115958390456949	0.387260643387464	1
0610008F07Rik	1	yule-walker	1	20.2297297297297	0.16208245005673	12.9544705255604	1.896705	0.845021925986668	0.535065777960005	0.0792870472078774	0.393672546684845	1
0610009B14Rik	0	default	1	24	0.120099864518896	17.1510284122149	0.303693075	0.200250317629905	-1.39924904711029	0.673662196266029	0.894287248243033	1
0610009B22Rik	0	yule-walker	1	20.0267558528428	1.99394245371346	10.1993991769553	7.6627575	0.973328618719306	0.919985856157918	0.220885297642178	0.163313751045936	1
0610009D07Rik	1	yule-walker	1	20.0939597315436	2.46908235098067	8.65887558397334	17.9499	0.805053620601939	0.415160861805818	0.123750974482653	0.441527325765983	1
0610009L18Rik	0	default	1	24	0.107431822691091	12.7252674599389	1.00833475	0.567526561123241	-0.297420316630277	0.597653300648533	0.657627127540188	1
0610009O20Rik	1	yule-walker	1	20.2983050847458	0.764085570057436	9.20468439946795	6.348665	0.861304242215395	0.583912726646186	0.122829257910207	0.37241879354378	1
0610010B08Rik	0	default	1	24	0.0153413532757055	19.8717004237225	0.20538425	0.319055191138232	-1.0428344265853	0.164452742028101	0.82519380078971	1
0610010F05Rik	0	yule-walker	1	20.2983050847458	0.111525156738044	1.3667087777576	1.67054	0.986868635998722	0.960605907996167	0.109587702539798	0.114592163786525	1
0610010K14Rik	1	yule-walker	1	20.2983050847458	1.37518427982607	12.60357429879	9.7587675	0.886034911066137	0.658104733198411	0.132925637036781	0.337587157536929	1
0610010O12Rik	1	yule-walker	1	20.4368600682594	26.5873103062963	11.9697107971879	123.09575	0.951609669838821	0.854829009516463	0.168303037325467	0.219978021995787	1
0610011F06Rik	1	yule-walker	1	20.2983050847458	0.779003055141966	9.35901142761817	13.72135	0.881312043861844	0.643936131585531	0.144444909976499	0.344511184344074	1
0610011L14Rik	0	yule-walker	1	20.1616161616162	0.223488974592354	10.3488379131826	4.5196975	0.980769976947199	0.942309930841597	0.0528018230146719	0.138672358647284	1
0610012G03Rik	1	yule-walker	1	20.2983050847458	0.5779483530958	9.19914346854343	8.31669	0.860571857451475	0.581715572354425	0.0547753509957899	0.373400780058806	1
0610012H03Rik	0	default	1	24	0.172309342407688	8.97442593900945	0.36085075	0.494246460467934	-0.517260618596197	0.499129894895863	0.711163511108427	1
0610030E20Rik	0	default	1	24	0.540844872890554	18.7401871817157	10.242385	0.236649466594675	-1.29005160021597	0.0836548068246661	0.87369933810512	1
0610031J06Rik	0	yule-walker	1	20.1616161616162	3.64591228982366	10.295883262532	43.759275	0.977584879364936	0.932754638094809	0.0764348513432629	0.149716801445475	1
0610031O16Rik	NA	NA	NA	NA	0	NA	0	NA	NA	NA	1	1
0610037L13Rik	0	default	1	24	0.180343484487242	21.1877977409649	3.9922125	0.545021150575288	-0.364936548274135	0.043450482204187	0.674521200129923	1
0610037P05Rik	1	yule-walker	1	20.3673469387755	0.794051839865085	9.66268258892593	9.5393225	0.914883304319142	0.744649912957425	0.088317453022458	0.291747657541339	1
0610038B21Rik	1	yule-walker	1	20.0267558528428	0.102678023676671	18.6051777594749	0.224378125	0.802469901913036	0.407409705739108	0.592154130440292	0.444443582569221	1
0610038L08Rik	1	yule-walker	1	20.2297297297297	0.319282467377346	12.9181502957429	1.44440575	0.849821581202251	0.549464743606753	0.25318266008605	0.387528603844605	1
0610039K10Rik	1	yule-walker	1	20.0939597315436	0.444612740942791	13.2750673859912	1.38394675	0.813658665053149	0.440975995159447	0.349861502912907	0.431672717399248	1
0610040B10Rik	0	default	1	24	0.0681689067555729	17.132381856562	0.31060925	0.200192290413616	-1.39942312875915	0.722465514605842	0.894319690930701	1
0610040F04Rik	0	default	1	24	0.0831140729463428	7.40380149324538	0.16837625	0.276682829126194	-1.16995151262142	1.04135190473814	0.850480552907476	1
0610040J01Rik	1	yule-walker	1	20.2983050847458	5.10432126097412	12.6653187523355	21.52705	0.878212111653527	0.634636334960581	0.185847302572251	0.348981214890534	1
0610043K17Rik	0	yule-walker	1	20.5068493150685	0.26539255899473	0.72123620628562	0.39777	0.99996392614964	0.999891778448921	0.733109616105001	0.00600615104368263	1
0910001L09Rik	0	yule-walker	1	20.3673469387755	1.57569087069526	10.5674858715067	12.54765	0.990368416700974	0.971105250102922	0.101200837666896	0.098140630215146	1
100043387	0	yule-walker	1	20.4368600682594	0.123585120223049	0.518604985701097	0.70726225	0.996276609585715	0.988829828757145	0.242761589799301	0.0610195904139403	1
1100001G20Rik	0	default	1	24	0.0902793248776817	14.0531049972976	0.13979875	0.327267511032763	-1.01819746690171	1.09668551274502	0.820202712118923	1
1110001A16Rik	1	yule-walker	1	20.3673469387755	0.253392693646554	12.3472570923944	2.8152075	0.913724249333756	0.741172748001267	0.0952240433772213	0.293727340685617	1
1110001J03Rik	1	yule-walker	1	20.3673469387755	2.85368356150068	9.47384841222141	15.569325	0.891980829522942	0.675942488568825	0.144689916940889	0.328662700160907	1
1110002B05Rik	0	default	1	24	1.04512705031494	19.9600889801346	31.813575	0.328753611383304	-1.01373916585009	0.0560864079420453	0.819296276457239	1
1110002L01Rik	0	yule-walker	1	20.1616161616162	0.0717111458277387	0.229885286871035	1.1661425	0.978498702807867	0.935496108423602	0.0599979362512296	0.146633206307891	1
1110002N22Rik	0	default	1	24	0.102652768657255	20.0919922320005	1.4196925	0.344387814160368	-0.966836557518895	0.0978938833600876	0.809698824156014	1
1110003E01Rik	1	yule-walker	1	20.2983050847458	2.20212356892164	9.34739645821511	16.90315	0.879834917874317	0.639504753622952	0.105095584698011	0.346648355146368	1
1110004E09Rik	0	default	1	24	0.281640667761245	16.7493759763016	4.6402725	0.200690200848058	-1.39792939745583	0.0962599422049069	0.894041273740727	1
