Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
0610005C13Rik	1080	1190	6838	1578	544	689	14051	16400	11751	14250
0610007C21Rik	1590	1839	16446	2132	1594	598	24300	33349	23752	32199
0610007L01Rik	1087	594	2454	495	249	347	3898	2850	3598	3300
0610007N19Rik	1128	1623	16602	1592	1439	744	26751	33700	25799	34800
0610007P08Rik	1475	2230	19535	2391	1584	987	24047	31806	24050	32304
0610007P14Rik	1482	1088	12782	1387	1638	848	20100	23050	23650	28050
0610007P22Rik	1138	1239	8376	1190	1090	596	12200	13500	11399	15798
0610008F07Rik	1282	984	10137	2234	1196	644	22750	25051	24450	30850
0610009B14Rik	940	840	2389	645	547	197	4300	3300	3750	5700
0610009B22Rik	1584	1491	17198	994	1643	594	26200	25100	23401	37952
0610009D07Rik	1476	1635	9129	837	1091	547	13551	14000	14100	19500
0610009L18Rik	7658	10044	114325	13433	10868	2427	122452	194649	146755	186151
0610009O20Rik	1088	1938	16133	2035	1729	842	19901	22750	19200	25949
0610010B08Rik	449	443	2581	334	249	49	3500	3750	3800	4000
0610010F05Rik	894	1238	6887	1032	1092	250	12141	13550	13850	16099
0610010K14Rik	1928	2924	21150	3221	2483	827	34000	34453	34349	47600
0610010O12Rik	3324	3669	36331	3422	3525	1390	44049	65449	50799	63758
0610011F06Rik	1188	943	6842	841	944	493	10950	10301	10550	18100
0610011L14Rik	1780	1491	11692	937	1434	498	19555	22103	20555	29803
0610012G03Rik	2331	2139	17454	2032	1892	795	25950	31550	24450	35500
0610012H03Rik	794	840	2678	695	151	348	4599	5050	4350	4950
0610030E20Rik	1073	1988	15328	2833	2142	596	23347	26350	26400	32498
0610031J06Rik	1118	1484	9920	1289	1242	588	14500	18650	17552	22001
0610031O16Rik	989	894	3611	496	343	544	5150	5550	5750	8400
0610037L13Rik	940	1643	7131	940	937	445	10102	10799	9651	12750
0610037P05Rik	1188	1384	9960	796	597	596	11700	15245	11250	18250
0610038B21Rik	746	740	2924	448	199	294	4250	3450	3200	4050
0610038L08Rik	1138	940	2675	741	448	200	1900	2350	2500	2200
0610039K10Rik	2279	2435	33247	3428	2914	738	33202	53007	44407	49950
0610040B10Rik	1617	2730	13850	2088	1336	298	21500	26449	23199	29800
0610040F04Rik	3320	3473	45354	5608	5403	1523	42847	59863	54160	61962
0610040J01Rik	1426	1193	14234	1883	1785	534	21001	25650	22050	30399
0610043K17Rik	790	593	4656	645	342	149	5950	4500	5100	7099
0910001L09Rik	892	1138	7548	1090	746	297	13250	13400	11500	17901
100043387	1072	788	3358	300	299	249	6101	6000	6100	8700
1100001G20Rik	733	794	1835	448	296	148	3000	2250	3000	2200
1110001A16Rik	989	694	9365	991	1073	446	11849	12902	11299	14151
1110001J03Rik	2678	2976	29262	2280	3617	1043	41701	45103	43100	59854
1110002B05Rik	1042	1877	15053	1588	1588	444	21251	24550	21404	29750
1110002L01Rik	2191	2818	26489	2331	2638	792	33394	42199	32350	43298
1110002N22Rik	1289	1489	9307	896	946	341	12749	13651	14698	18050
1110003E01Rik	1972	2781	26308	2380	2434	1146	33100	45309	32651	47901
1110004E09Rik	1481	1475	10567	1142	1632	742	17499	16600	16450	20155
1110004F10Rik	1139	1281	10982	690	1241	297	17601	20750	17800	23051
1110005A03Rik	2610	2677	26267	3284	2785	936	33448	42149	34251	48101
1110006O24Rik	1768	2684	14282	2027	2069	594	22706	26443	23052	31800
1110007C09Rik	1765	1142	13978	1742	1933	857	20350	22599	23900	30000
1110008F13Rik	2632	1737	25975	2535	3424	791	35198	44749	36801	49450
1110008J03Rik	1920	1886	17745	2139	2277	446	29450	33901	26800	42051
1110008L16Rik	1981	1856	21447	2029	1837	445	30951	38250	30500	46401
1110008P14Rik	1097	1188	5368	586	547	400	6300	6150	8000	9000
1110012J17Rik	1582	447	2673	547	349	547	4050	2900	2850	4401
1110012L19Rik	694	892	3408	492	347	295	5700	7900	5850	7750
1110014N23Rik	1234	1235	8913	988	1197	729	14050	13800	15653	20500
1110015O18Rik	793	345	1240	149	240	149	650	1350	1150	550
1110017D15Rik	489	444	2955	394	247	199	2499	2300	3050	2500
1110017F19Rik	1726	1880	17247	1673	1381	447	23050	25700	23453	28150
1110018G07Rik	1434	1688	15292	1442	1326	582	24204	29006	27902	35501
1110018J18Rik	1168	1539	9990	1595	1433	349	13901	15900	12350	21750
1110019D14Rik	544	922	8172	594	1238	489	12950	16450	12202	20950
1110020A21Rik	3167	4171	52067	4508	4860	1338	60602	79049	63997	88001
1110020G09Rik	1034	1584	11824	1791	1236	497	15551	14998	14198	19700
1110021J02Rik	742	743	3761	993	348	345	4550	4300	4100	5300
1110021L09Rik	1630	1438	11088	940	1726	442	22052	18551	20696	26102
1110028C15Rik	1539	1841	17298	2192	1886	595	20549	16148	16351	22897
1110028F11Rik	883	495	3951	648	397	346	4450	5301	4100	6200
1110028F18Rik	1332	448	3714	598	150	294	6001	6600	5951	10300
1110031I02Rik	1081	1141	5938	596	496	450	8051	9650	8750	10200
1110032A03Rik	1241	1939	17151	1689	2176	446	24103	30603	22449	36500
1110032A04Rik	986	796	3849	448	700	245	8150	6950	8500	11151
1110032F04Rik	332	696	2183	543	296	194	2850	2351	2401	2549
1110034A24Rik	1987	2344	12656	2133	1882	497	22148	20599	21152	28100
1110034B05Rik	2622	2357	22301	1980	2426	547	28850	31597	26351	34800
1110034G24Rik	788	692	2384	398	298	296	3451	2950	2850	4450
1110035M17Rik	1973	2183	15909	1935	1884	842	22400	22450	21100	28704
1110036E04Rik	1066	947	6952	475	897	347	10450	11650	10201	11700
1110037F02Rik	974	1345	9510	1044	1333	446	16598	18200	14751	19752
1110038B12Rik	2525	3771	32264	3329	3914	945	39805	47252	43399	59153
1110038D17Rik	2552	3166	32360	3173	2624	643	50303	57300	43099	57752
1110038F14Rik	1486	991	8682	1139	895	299	15750	14600	14500	20700
1110046J04Rik	2228	2170	22539	2568	1892	597	30198	45751	36999	43400
1110049F12Rik	942	2137	13262	1689	1824	637	20750	20400	21146	31499
1110050K14Rik	773	706	2130	644	250	297	2000	2400	2300	2400
1110051M20Rik	846	346	2183	342	298	150	2450	3250	3250	3650
1110054M08Rik	3422	3822	40281	4382	3222	1289	49349	56748	50046	68248
1110054O05Rik	1486	1485	11640	1341	1439	295	17550	20399	19149	24250
1110057K04Rik	1442	1343	11840	1147	1085	448	17650	21205	16350	26404
1110058L19Rik	1432	892	6799	1041	737	545	12350	12650	12900	17700
1110059E24Rik	1387	3087	26097	2288	1986	649	32398	36751	31402	41495
1110059G10Rik	1833	2480	21566	2627	1591	590	32504	35899	32898	40299
1110059M19Rik	246	197	449	200	149	195	350	1200	200	200
1110065P20Rik	1487	2287	22873	2730	3131	745	27150	34150	28050	38896
1110067D22Rik	1737	2681	23793	3131	3233	790	30000	38999	38700	36400
1190002F15Rik	2179	2085	19182	1582	2037	1233	26496	24097	27701	30147
1190002H23Rik	830	496	3517	544	347	297	4650	5500	4450	5300
1190002N15Rik	1540	2041	15724	1688	2439	494	22151	23352	21601	31902
1190003J15Rik	1094	1036	5783	794	492	438	7699	7050	7600	8850
1190003K10Rik	695	489	1436	326	200	299	1150	1800	1200	900
1190005F20Rik	2183	3958	27061	2583	2835	888	49752	48554	45595	65195
1190005I06Rik	941	1141	3331	547	1044	150	5300	4900	3800	5200
1190007F08Rik	843	839	2868	549	447	298	4600	4100	4450	5000
1190007I07Rik	1290	1292	12528	892	1142	350	19304	21450	18347	24253
1200009I06Rik	1333	1084	8035	1191	739	594	12350	12400	13500	15550
1200011I18Rik	1824	1790	17017	2466	1628	797	25600	28598	25250	34549
1200011M11Rik	1967	1981	12664	1875	2021	739	23850	23551	22251	29500
1200014J11Rik	1784	1540	14643	1989	1637	448	21750	21600	20400	28450
1200016B10Rik	2184	4007	27210	2583	2836	888	49452	48452	45695	64745
1300001I01Rik	1618	2036	18256	1687	2286	1193	23951	25699	20650	25300
1300002E11Rik	1630	2122	15550	1934	1692	644	22250	24653	22500	32500
1300002K09Rik	1239	795	4905	765	330	293	5550	5850	5650	8050
1300010F03Rik	1224	1737	12656	1738	1738	596	16692	17250	15000	19152
1300014I06Rik	1567	1679	10177	1636	1192	692	17850	18649	15500	27301
1300015D01Rik	832	349	2072	887	294	348	2850	3750	3050	2350
1300017J02Rik	589	542	2327	399	248	197	1850	2450	2350	2250
1300018I17Rik	2357	1927	16641	1741	2039	549	25996	27591	24750	38801
1300018J18Rik	1441	2310	13784	1631	1479	994	18797	19050	17199	23452
1500001M20Rik	1238	945	6195	945	1130	398	9650	10300	9550	12550
1500002O10Rik	627	746	1615	345	298	198	1600	1550	1150	950
1500002O20Rik	1440	1090	9234	1475	1034	796	10200	14201	10349	14400
1500003O03Rik	1389	1534	11803	793	842	647	19551	26349	23501	33800
1500004A13Rik	695	495	2864	249	690	348	3450	3000	3550	4200
1500009C09Rik	684	345	1979	544	442	695	2050	2700	2802	1600
1500009L16Rik	1087	593	3913	548	497	399	5750	4550	4549	6250
1500010J02Rik	1286	1483	11334	789	1341	597	13650	14750	16550	20500
1500011B03Rik	1082	1091	3763	445	447	495	5150	4800	4250	6850
1500011H22Rik	781	1337	6696	944	981	493	11550	12996	11054	17304
1500011K16Rik	787	794	5505	697	647	546	10850	10050	9850	13951
1500012F01Rik	2082	3623	28763	3181	3767	1440	43656	50856	46308	62854
1500012K07Rik	497	543	2136	293	194	192	1400	2102	1600	1500
1500015A07Rik	2117	1730	15262	1443	1784	546	21198	21702	20650	36857
1500015L24Rik	694	538	2128	397	100	348	750	2050	2200	850
1500015O10Rik	696	591	1866	195	100	299	1550	2100	1800	1600
1500016L03Rik	944	598	2720	549	395	285	3301	2500	3700	3900
1500017E21Rik	448	449	1883	295	396	347	1350	1750	1600	1450
1500031L02Rik	1142	1342	10478	1592	1337	493	14100	14999	16100	22099
1500032L24Rik	1810	1292	14315	1140	1188	692	21153	24550	21500	33900
1520402A15Rik	837	644	3479	693	544	397	5401	5650	7050	8850
1600002D24Rik	1237	993	2767	649	690	1094	3250	3500	4100	5101
1600002H07Rik	1880	887	5198	596	993	343	9050	8201	8350	12250
1600002K03Rik	1301	1838	10357	1245	1631	602	11750	14000	12200	17000
1600010M07Rik	646	884	2230	200	150	345	2350	2550	2500	2500
1600012F09Rik	1285	1235	9353	794	844	247	16099	16351	16250	21550
1600012H06Rik	1480	1977	12989	1037	1192	492	20100	22801	19500	29153
1600014C10Rik	1387	1729	8961	1191	1342	594	18300	16495	15850	22550
1600014C23Rik	1194	743	3266	347	746	397	4200	4200	4550	6250
1600014K23Rik	343	249	1141	200	149	249	600	900	700	850
1600015I10Rik	575	344	1673	447	348	399	2250	1952	1800	1500
1600016N20Rik	1194	1545	10065	1339	1293	597	12550	14350	11250	17250
1600019K03Rik	532	443	2022	344	248	399	1100	2000	1450	1100
1600020E01Rik	3717	5262	58177	4914	7048	1835	63699	82048	66299	84651
1600021P15Rik	1022	1045	9091	1095	1395	398	16450	17500	16003	22002
1600025M17Rik	444	299	1034	199	198	50	650	1550	750	699
1600027N09Rik	1536	1279	7632	1094	1192	444	12950	13699	13297	19449
1600029D21Rik	1027	590	2577	348	496	396	2050	2200	1998	2800
1600029I14Rik	690	1287	3522	596	689	526	7400	6401	6700	9548
1600029O15Rik	843	739	2633	691	440	342	4950	4500	4997	7250
1700001C02Rik	539	937	1730	150	349	249	1200	1950	1800	1850
1700001C19Rik	2141	2958	18823	1840	2724	891	22206	28108	26059	32508
1700001D01Rik	889	694	2223	396	298	445	2850	2700	2250	2500
1700001F09Rik	1432	944	4150	792	296	593	1900	2951	2400	1250
1700001G11Rik	398	1141	3361	640	793	297	3500	3301	3598	4049
1700001G17Rik	594	1338	6386	994	691	345	9902	9100	8900	12650
1700001J03Rik	742	746	2022	495	298	247	2000	1900	2500	1550
1700001J11Rik	985	545	1581	296	495	193	1250	1850	1250	500
1700001K19Rik	1166	447	1635	400	449	291	2650	2500	1950	4000
1700001K23Rik	940	747	2109	299	246	50	2750	2600	2250	3000
1700001L05Rik	743	1237	5213	646	649	394	7450	8453	5650	7500
1700001L19Rik	918	780	2533	591	343	542	3050	3000	3350	3000
1700001O22Rik	834	996	2719	395	98	199	3450	2399	3046	3550
1700001P01Rik	992	946	2131	540	593	248	2450	3050	3250	4500
1700003C15Rik	640	796	1725	199	246	347	1250	1300	1150	1450
1700003D09Rik	1566	1736	12728	1483	1528	492	19599	21051	20800	28900
1700003E16Rik	841	688	2574	644	498	298	3600	3650	4450	4500
1700003F12Rik	680	743	3128	298	547	397	2150	3300	2800	3150
1700003F17Rik	1139	687	1727	100	399	150	1600	2750	2450	1400
1700003G13Rik	593	249	2282	148	146	248	1400	2500	1600	1550
1700003G18Rik	1040	1281	10982	740	1241	297	17451	20600	17800	22751
1700003H04Rik	986	345	1583	591	0	50	800	1900	1100	1250
1700003L19Rik	744	788	1484	309	296	135	1050	1500	1149	1100
1700003M02Rik	941	696	2333	200	148	348	2451	3100	2550	2100
1700003M07Rik	790	940	2130	348	396	295	2650	3000	2150	3100
1700003P14Rik	642	408	1623	199	199	50	900	1801	1100	701
1700006A11Rik	893	397	2227	197	345	250	1100	1750	1450	1400
1700006E09Rik	829	448	1736	200	100	243	2352	2100	2850	3600
1700006F04Rik	940	100	2033	341	246	147	850	1652	1250	700
1700006H21Rik	395	549	2813	247	347	232	1250	2100	1700	1450
1700007B14Rik	641	537	1386	397	147	346	1451	1750	850	750
1700007F19Rik	783	596	1995	245	147	447	2500	2900	3300	2450
1700007G11Rik	638	692	2775	298	388	186	3502	2900	3250	3650
1700007I08Rik	996	793	2683	492	448	245	2600	2950	3050	2950
1700007J10Rik	446	792	2482	387	398	200	2400	2850	2700	2050
1700007K09Rik	840	595	2633	398	344	346	1450	1800	1401	1650
1700007K13Rik	685	842	6823	989	1089	497	8250	8450	7250	11500
1700007L15Rik	2137	2812	26469	2429	2436	1094	34552	35199	34253	43502
1700007P06Rik	595	596	1932	544	445	246	1900	2200	1750	1050
1700008A04Rik	493	392	1439	396	349	197	2100	1550	1350	1550
1700008F21Rik	644	396	1934	249	126	149	800	1600	1450	1300
1700008I05Rik	399	494	934	100	0	50	450	1250	1250	300
1700008J07Rik	2202	2665	28066	2383	2633	547	35349	39250	32600	46850
1700008K24Rik	297	1090	1732	345	99	244	1200	1601	1000	700
1700008O03Rik	691	1047	4696	883	939	395	8401	7299	9851	10100
1700008P02Rik	543	100	1057	250	98	248	900	1600	900	850
1700008P20Rik	633	449	2228	448	296	245	1600	1750	1900	1449
1700009C05Rik	645	644	2139	543	350	149	700	902	950	804
1700009J07Rik	442	643	1826	248	246	348	1950	2100	2250	1850
1700009N14Rik	436	392	1779	241	299	146	800	1250	1650	1100
1700009P17Rik	1117	692	2530	596	300	283	3750	3200	3150	4050
1700010B08Rik	740	779	2085	296	395	546	2000	2000	2100	1549
1700010D01Rik	348	296	1042	243	99	197	550	900	650	750
1700010I02Rik	598	644	1429	100	149	149	950	1850	950	950
1700010I14Rik	627	396	2536	349	446	50	2700	3050	2400	4350
1700010J16Rik	498	296	1533	495	100	198	1050	1250	1200	1300
1700010K23Rik	495	298	1975	99	95	198	1050	1750	1299	1300
1700010M22Rik	693	695	1182	300	200	249	1050	1750	800	900
1700011A15Rik	1019	495	2376	696	492	247	2500	2798	2700	2700
1700011B04Rik	445	545	1937	249	99	100	1050	2400	1100	1600
1700011E24Rik	895	444	1618	395	245	295	1750	2000	2200	1900
1700011F03Rik	645	595	2078	441	247	0	1900	2500	2150	2350
1700011F14Rik	442	391	2867	297	199	296	1300	2350	1350	850
1700011H14Rik	841	398	1926	147	250	347	1700	3200	1900	2350
1700011I03Rik	788	394	1780	549	150	394	1600	1550	2100	2000
1700011J10Rik	3166	5013	45851	4370	6118	1139	65506	74355	64903	86757
1700011L22Rik	929	848	2121	249	98	393	2250	2450	2700	2100
1700011M02Rik	145	348	546	100	99	146	250	750	600	250
1700012A03Rik	642	393	1936	199	199	100	600	900	1450	1000
1700012A16Rik	646	788	3171	496	298	343	3097	2650	3200	3950
1700012B07Rik	646	346	1687	148	200	345	1500	2049	1900	1050
1700012B09Rik	739	986	1637	397	391	150	1350	2150	1650	2500
1700012B15Rik	1033	1090	12814	695	1190	548	11054	17347	10348	16499
1700012D01Rik	694	985	6550	1825	1142	495	20100	16200	17750	24251
1700012D14Rik	1628	1531	13929	1726	1385	395	21049	21750	21150	27799
1700012I11Rik	536	694	1935	198	150	296	1051	1950	1800	1850
1700012L04Rik	540	149	1039	199	96	100	550	850	1100	700
1700012P22Rik	496	548	1732	294	199	148	1800	1650	1400	850
1700013D24Rik	840	594	1583	198	145	99	1550	2250	1750	1550
1700013F07Rik	1087	647	3711	348	398	397	4450	4950	4400	4900
1700013G23Rik	1389	1530	11217	1389	947	471	15600	17000	15600	20352
1700013G24Rik	792	642	1972	248	236	197	2000	1850	1900	2250
1700013H16Rik	546	347	1046	98	99	0	500	950	651	350
1700013N18Rik	792	545	1932	297	48	395	1500	2700	2100	2550
1700014N06Rik	248	294	928	246	98	149	449	850	600	650
1700015E13Rik	793	491	1887	298	199	147	2151	1800	2150	2050
1700015F17Rik	894	346	1879	298	299	150	1700	1500	1899	1600
1700015G11Rik	1183	497	1924	348	149	197	1150	2050	1700	1750
1700016C15Rik	695	544	2177	444	398	347	2600	4050	3200	3600
1700016D06Rik	985	841	2030	248	297	192	1500	1950	1900	1200
1700016G22Rik	837	512	1739	250	199	197	1650	2750	1950	1600
1700016H13Rik	844	1239	4307	648	1389	399	6400	6348	6200	6850
1700016K19Rik	1338	841	3167	299	599	291	4600	3950	3850	5050
1700016L04Rik	1334	1432	9815	1143	1392	197	20250	19850	16900	24050
1700016L21Rik	743	196	2168	347	50	149	1301	2050	1600	1300
1700016M24Rik	596	492	2224	397	244	148	1350	2650	1800	1550
1700016P04Rik	592	446	1379	244	198	148	900	1700	1400	700
1700017B05Rik	1591	1737	13948	2084	1979	870	20250	19500	18350	26101
1700017D01Rik	592	886	2314	399	248	346	1850	2349	1550	1700
1700017G19Rik	794	645	2575	349	296	437	4450	4150	3550	4250
1700017J07Rik	883	345	1386	444	100	299	1250	1550	1400	1500
1700017N19Rik	884	99	2029	145	99	150	1450	2200	1800	1650
1700018A04Rik	994	291	2522	445	100	246	1800	2150	2050	1350
1700018B08Rik	547	542	1338	397	399	448	1797	2150	1550	1350
1700018B24Rik	649	442	1230	298	100	98	1000	1800	1400	1050
1700018C11Rik	875	941	2774	198	394	345	2950	3649	2150	3750
1700018F24Rik	835	448	1885	149	149	544	2200	1651	1450	1650
1700018G05Rik	296	591	442	199	99	347	947	900	600	550
1700018L02Rik	1238	2125	18786	2575	2288	799	27504	29350	29007	32557
1700018L24Rik	445	498	2132	647	246	296	2050	1900	2150	2000
1700019A02Rik	496	496	2022	248	198	98	1850	2450	1250	1400
1700019B03Rik	494	491	2020	346	248	342	1551	2000	2150	2452
1700019B21Rik	299	149	843	149	49	49	600	800	500	200
1700019D03Rik	1088	1042	9200	796	994	298	14050	12000	11994	15500
1700019E08Rik	691	445	2132	297	50	200	1300	2050	1300	1000
1700019E19Rik	1285	1282	5294	599	397	200	9000	10100	9200	11950
1700019G17Rik	1339	1176	6536	545	837	297	10950	10900	9998	15250
1700019G24Rik	596	496	1286	99	50	150	1000	1900	1250	1000
1700019L03Rik	833	545	2669	445	246	200	2250	3000	2450	3350
1700019M22Rik	551	299	1982	349	295	199	850	1500	1450	950
1700019N12Rik	741	988	3432	544	396	447	5401	4549	4950	8050
1700019N19Rik	494	446	1733	346	300	442	2150	1900	2050	1500
1700019O17Rik	535	646	1985	295	147	497	2850	1950	2000	3050
1700020A23Rik	592	745	2030	250	398	297	1850	1450	1900	2501
1700020D05Rik	550	595	1741	249	345	187	2250	2500	2250	2350
1700020G17Rik	1131	297	2173	292	149	197	1351	1800	1850	1200
1700020I14Rik	1615	1828	15791	1725	1890	693	27248	31950	26901	37148
1700020L24Rik	794	547	2085	248	442	293	1300	1602	2100	2000
1700020M21Rik	844	547	2331	247	250	299	1600	2550	2100	2000
1700020N01Rik	746	199	1783	346	246	397	1400	2200	1850	2300
1700020N15Rik	199	196	547	198	50	147	350	750	650	500
1700020N18Rik	542	693	2432	300	198	447	2200	2300	2500	2150
1700020O03Rik	1220	1586	11310	1235	689	695	14150	17450	15850	23100
1700021C14Rik	1091	1687	14921	1188	2581	897	18100	21947	21700	27950
1700021F05Rik	1440	1289	12923	1094	1096	150	16600	17001	15399	19150
1700021F07Rik	687	347	1831	593	150	676	1750	1950	1500	2100
1700021K19Rik	818	1039	7036	1041	590	445	12352	12050	12950	15400
1700021N21Rik	733	795	1487	495	445	249	2451	2501	2300	2200
1700022A21Rik	250	293	2578	347	247	50	1300	2199	1150	1600
1700022A22Rik	847	442	1577	340	197	100	1000	1700	900	850
1700022E09Rik	593	348	1437	149	347	198	749	2100	1950	1450
1700022H16Rik	885	497	2620	247	150	299	3000	2750	2399	3500
1700022I11Rik	646	737	2225	247	99	394	1550	2900	1700	1900
1700022P22Rik	833	544	2080	200	448	246	3000	3950	4500	5449
1700023A16Rik	496	498	2280	348	300	248	2350	2200	1949	1900
1700023C21Rik	645	445	2048	595	199	248	1650	2101	1750	1350
1700023E05Rik	493	646	2526	294	399	347	2150	2850	3400	2350
1700023F02Rik	794	589	1286	198	199	100	850	1250	1350	350
1700023F06Rik	737	889	2778	196	149	248	2250	2450	2050	1600
1700023L04Rik	932	590	3862	592	686	446	4100	4701	3550	4300
1700024B18Rik	1030	245	1494	345	199	249	1250	2100	1048	750
1700024F13Rik	820	596	1686	395	295	197	1700	1850	1550	1800
1700024G13Rik	744	694	2179	448	195	299	1450	3000	1450	1650
1700024P03Rik	839	635	1979	592	198	249	1300	2200	2400	1800
1700024P04Rik	645	695	1930	391	249	448	1450	2250	1950	1750
1700024P16Rik	633	696	3861	696	598	296	4899	5900	4500	6900
1700025B11Rik	1128	493	1832	297	146	248	2050	2000	2700	2200
1700025C18Rik	1035	690	1638	299	397	245	1950	2000	2200	1550
1700025E21Rik	1233	993	8461	991	737	498	11300	14650	10650	14900
1700025F22Rik	545	450	2253	199	299	146	1500	2000	1600	850
1700025F24Rik	648	740	3064	297	149	99	1400	3000	1050	1750
1700025G04Rik	1443	1634	8588	1290	1737	482	16899	15600	16698	21351
1700025K23Rik	937	793	4015	496	593	299	6350	6950	5650	7100
1700025K24Rik	745	590	1777	250	198	249	1100	2200	1550	1550
1700025M24Rik	691	592	1540	297	148	244	2250	2149	1801	1900
1700025N23Rik	996	689	1392	394	442	150	2100	2402	2151	1800
1700026D08Rik	530	293	1840	486	200	350	2250	2250	2300	1900
1700026D11Rik	1037	593	1730	347	198	197	1900	2150	1695	1450
1700026F02Rik	492	590	1934	345	243	248	1000	1550	1451	1400
1700026J04Rik	689	546	1830	200	249	397	1700	2150	1850	1650
1700026L06Rik	680	790	2320	546	247	397	4200	3050	3050	3552
1700027A15Rik	840	445	1640	100	199	149	1100	1700	1300	600
1700027A23Rik	690	593	1827	444	392	289	1700	2650	1650	1650
1700027D21Rik	944	593	1935	247	149	200	1150	1600	1500	1800
1700027F09Rik	890	1081	2474	250	248	245	4350	3300	3400	9050
1700027H10Rik	592	196	1337	100	347	198	1000	1650	1100	800
1700027I24Rik	347	494	1633	100	296	339	1300	1750	1600	1250
1700027J07Rik	940	791	2033	445	144	244	1400	1449	1900	1350
1700028B04Rik	599	547	2080	394	249	300	1600	2200	1700	2250
1700028D13Rik	933	892	1722	396	296	198	2300	1900	1800	1500
1700028E10Rik	1633	1291	15617	1589	1433	248	22100	24503	20600	28600
1700028I16Rik	1028	545	2881	445	595	298	4998	4700	4450	6400
1700028J19Rik	895	646	2179	539	247	593	2350	2150	2500	2000
1700028K03Rik	396	350	1687	300	197	99	2301	2350	2400	1550
1700028M03Rik	791	589	1435	396	50	150	1151	1650	1700	750
1700028P14Rik	594	149	2084	288	148	249	850	2200	1150	1200
1700028P15Rik	345	693	1578	445	149	148	850	2100	950	1350
1700029B22Rik	443	645	1675	298	199	249	1500	1600	2000	1650
1700029F09Rik	1288	1540	10803	1143	1243	592	12152	15496	13400	18602
1700029F12Rik	693	395	1287	299	150	149	1000	2750	1700	1250
1700029G01Rik	1237	1535	10557	1090	886	299	16601	18150	15600	21650
1700029H14Rik	539	541	2021	198	198	248	1450	1850	1850	1050
1700029I01Rik	1337	983	4310	589	397	446	2102	4150	3151	2000
1700029I15Rik	745	696	1438	544	399	345	2500	3300	2450	3000
1700029J03Rik	395	544	1456	548	99	399	1950	2300	1800	1900
1700029J07Rik	1089	1234	7775	1190	1044	644	13200	14599	11550	16451
1700029J11Rik	739	344	1335	546	349	196	2152	1700	1750	1800
1700029M20Rik	982	544	1977	396	445	299	1800	2350	1600	1850
1700029N11Rik	547	336	2032	298	200	494	1250	1900	2248	1700
1700029P11Rik	593	298	1582	446	150	150	1852	1652	1802	952
1700030A11Rik	645	695	1672	446	340	195	2999	3150	3350	3400
1700030C10Rik	1138	896	4831	642	1037	346	5300	5397	4200	4500
1700030F04Rik	546	544	2174	496	441	448	1350	2200	1950	1100
1700030F18Rik	795	590	2087	397	146	299	2199	2248	1900	2450
1700030J22Rik	740	596	3513	693	695	595	6000	6200	4800	7500
1700030K09Rik	742	746	2381	594	346	496	3651	3700	4050	5150
1700030L20Rik	540	544	1834	345	100	246	900	2000	1550	900
1700030M09Rik	648	551	1945	594	249	496	1947	2500	2450	2150
1700030N03Rik	994	448	2067	397	198	346	1600	2350	1100	2200
1700030O20Rik	781	590	2174	444	100	197	1399	2050	1650	750
1700031A10Rik	843	645	2230	395	299	348	1550	2750	1450	1950
1700031F05Rik	149	197	794	247	148	193	500	800	800	400
1700031M16Rik	443	198	2332	396	148	297	1800	1951	1700	1600
1700031P21Rik	2211	2724	31529	2968	3024	692	47305	62508	42193	69741
1700034E13Rik	689	648	2139	199	150	298	1100	1450	801	950
1700034F02Rik	1572	1930	19467	1286	1682	348	26400	33552	25900	34499
1700034G24Rik	788	592	2134	494	447	298	1500	1850	1300	1000
1700034H14Rik	1286	1432	10604	747	996	599	16902	18838	16250	20950
1700034H15Rik	1591	2532	18904	2338	2732	1098	22849	22301	20900	27650
1700034I23Rik	694	645	2080	197	299	296	2150	2801	2550	2699
1700034J05Rik	643	789	1685	444	197	438	1750	2050	2450	1600
1700034K08Rik	694	549	1377	444	292	100	1150	1850	1350	400
1700034O15Rik	735	494	1431	397	199	149	800	1900	1000	700
1700034P13Rik	1286	1640	20487	1938	1334	397	29250	32250	30600	38100
1700036G14Rik	583	496	2215	594	343	443	1100	1450	1200	1250
1700037C18Rik	1390	1437	10106	697	1137	398	14699	15300	14650	20950
1700037H04Rik	1135	1293	6583	547	843	496	9500	9150	9250	11250
1700039E15Rik	298	794	2027	398	394	194	2250	2600	2250	2000
1700039E22Rik	593	843	2533	648	350	99	2200	1900	2050	2100
1700040I03Rik	2188	2527	20844	2587	2773	697	24900	29199	25953	35297
1700040L02Rik	1091	1385	7384	1234	798	690	8051	10349	7800	8702
1700040N02Rik	787	644	1990	547	298	295	2400	2750	3150	2750
1700041C23Rik	689	841	1829	346	249	150	1650	2700	1850	1950
1700041M19Rik	440	394	2082	343	397	246	1700	2450	1900	1300
1700042B14Rik	297	291	993	49	198	99	800	1450	950	850
1700042G07Rik	1034	541	2730	495	299	238	3300	3200	2700	5400
1700042G15Rik	591	885	2138	298	150	50	1950	2450	1850	2700
1700042O10Rik	841	639	1420	640	149	298	1600	2300	1500	1600
