Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Wbscr25	1562	945	7346	944	741	391	11650	12552	12198	23595
Wbscr27	1239	1142	7893	1140	1022	498	11050	12700	9553	16050
Wbscr28	1342	1189	2472	644	496	296	2450	3000	2701	3852
Wdfy1	1334	1728	10306	1483	1782	1041	18100	19700	16100	20700
Wdfy2	1632	943	6203	948	1092	795	11300	13000	11644	17900
Wdfy3	1037	2040	8999	1343	1242	689	12600	12400	13502	16750
Wdfy4	794	348	2132	246	149	149	1450	2150	1400	1100
Wdhd1	1183	2033	16905	1833	1638	578	27900	34600	29998	40701
Wdpcp	1381	1488	12205	737	887	200	21850	22151	22951	28500
Wdr1	3418	4318	58019	4278	5493	1337	58951	82745	60404	86147
Wdr11	1686	1736	15463	1780	1487	249	24500	28400	25050	32450
Wdr12	1285	1531	14115	1295	1095	397	22201	25603	20247	32500
Wdr13	692	495	5341	796	349	50	6649	9346	7351	9402
Wdr16	841	1430	9206	643	1289	395	18300	18200	16849	24800
Wdr17	497	742	1240	248	150	99	850	1650	950	1300
