Gene ID	CV-H3K9ac_F1.sort.bam	CV-H3K9ac_F2.sort.bam	CV-H3K9ac_F4.sort.bam	CV-H3K9ac_F5.sort.bam	CV-H3K9ac_F6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
0610005C13Rik	3279	4940	5178	3193	1890	14051	16400	11751	14250
0610007C21Rik	5790	6739	6732	6593	2098	24300	33349	23752	32199
0610007L01Rik	2886	2645	1695	1449	897	3898	2850	3598	3300
0610007N19Rik	4428	6223	6692	6539	2144	26751	33700	25799	34800
0610007P08Rik	6324	6979	7992	8684	2187	24047	31806	24050	32304
0610007P14Rik	4532	5138	5838	5038	1948	20100	23050	23650	28050
0610007P22Rik	3888	4889	3589	4390	1646	12200	13500	11399	15798
0610008F07Rik	4432	5884	6334	3496	1894	22750	25051	24450	30850
0610009B14Rik	3290	2790	2445	1747	1147	4300	3300	3750	5700
0610009B22Rik	5134	7486	6244	6243	1894	26200	25100	23401	37952
0610009D07Rik	4976	5685	4137	3942	1596	13551	14000	14100	19500
0610009L18Rik	25403	40690	51832	44518	8627	122452	194649	146755	186151
0610009O20Rik	4638	6988	6685	6779	2387	19901	22750	19200	25949
0610010B08Rik	1549	1544	1684	899	499	3500	3750	3800	4000
0610010F05Rik	3243	4638	3782	4091	1750	12141	13550	13850	16099
0610010K14Rik	6978	9724	9971	10733	3427	34000	34453	34349	47600
0610010O12Rik	10174	14720	13922	13630	3890	44049	65449	50799	63758
0610011F06Rik	4636	4243	3341	3294	1693	10950	10301	10550	18100
0610011L14Rik	5130	6191	4337	5184	1848	19555	22103	20555	29803
0610012G03Rik	5881	8789	7582	8043	2645	25950	31550	24450	35500
0610012H03Rik	3044	3289	2342	1701	948	4599	5050	4350	4950
0610030E20Rik	5571	8038	8983	8142	1746	23347	26350	26400	32498
0610031J06Rik	4067	5584	4289	3892	1488	14500	18650	17552	22001
0610031O16Rik	2589	3494	1446	1593	1644	5150	5550	5750	8400
0610037L13Rik	3641	4293	3690	3337	1495	10102	10799	9651	12750
0610037P05Rik	4038	4784	4096	3647	1446	11700	15245	11250	18250
0610038B21Rik	2296	2590	1648	1299	1291	4250	3450	3200	4050
0610038L08Rik	3588	2990	2241	1598	650	1900	2350	2500	2200
0610039K10Rik	8628	11536	13578	13567	3738	33202	53007	44407	49950
0610040B10Rik	4917	7830	6938	6136	1544	21500	26449	23199	29800
0610040F04Rik	10072	14925	20264	21853	5073	42847	59863	54160	61962
0610040J01Rik	3978	5245	6333	5733	1884	21001	25650	22050	30399
0610043K17Rik	2540	3393	2695	1592	699	5950	4500	5100	7099
0910001L09Rik	3992	4338	3640	3296	1997	13250	13400	11500	17901
100043387	2722	2388	2350	1549	899	6101	6000	6100	8700
1100001G20Rik	2533	1994	1798	1046	698	3000	2250	3000	2200
1110001A16Rik	3789	3994	3691	3323	1596	11849	12902	11299	14151
1110001J03Rik	8828	10976	9630	12017	4044	41701	45103	43100	59854
1110002B05Rik	4192	7225	6039	5188	1444	21251	24550	21404	29750
1110002L01Rik	6541	8818	9331	10941	2540	33394	42199	32350	43298
1110002N22Rik	3839	4639	4396	4297	1591	12749	13651	14698	18050
1110003E01Rik	7072	10081	10530	9634	3096	33100	45309	32651	47901
1110004E09Rik	4431	5525	5242	4132	1892	17499	16600	16450	20155
1110004F10Rik	4689	4832	3440	4791	1097	17601	20750	17800	23051
1110005A03Rik	8010	9927	11084	12085	4186	33448	42149	34251	48101
1110006O24Rik	5517	8334	7575	8469	2594	22706	26443	23052	31800
1110007C09Rik	5510	6439	7892	6983	2807	20350	22599	23900	30000
1110008F13Rik	8082	10131	11835	12674	2741	35198	44749	36801	49450
1110008J03Rik	6420	8386	6889	9077	2446	29450	33901	26800	42051
1110008L16Rik	5831	8406	6679	7687	1845	30951	38250	30500	46401
1110008P14Rik	3797	3888	3186	2597	1500	6300	6150	8000	9000
1110012J17Rik	3082	2597	1747	1749	1297	4050	2900	2850	4401
1110012L19Rik	2591	2443	2644	1747	695	5700	7900	5850	7750
1110014N23Rik	3584	5587	4388	4098	1779	14050	13800	15653	20500
1110015O18Rik	1993	1195	549	440	949	650	1350	1150	550
1110017D15Rik	3086	2394	1794	1147	899	2499	2300	3050	2500
1110017F19Rik	6024	7430	6923	6631	2197	23050	25700	23453	28150
1110018G07Rik	5083	6588	5392	5476	1732	24204	29006	27902	35501
1110018J18Rik	4418	4989	5245	4783	1999	13901	15900	12350	21750
1110019D14Rik	2694	2822	2494	3088	1239	12950	16450	12202	20950
1110020A21Rik	10316	17521	16708	17060	5035	60602	79049	63997	88001
1110020G09Rik	3585	6235	5641	5337	2293	15551	14998	14198	19700
1110021J02Rik	2942	2743	2693	1948	1095	4550	4300	4100	5300
1110021L09Rik	4480	4838	4140	4626	1744	22052	18551	20696	26102
1110028C15Rik	4689	6591	7687	7836	1795	20549	16148	16351	22897
1110028F11Rik	3083	2445	2099	1747	1046	4450	5301	4100	6200
1110028F18Rik	3132	2498	2148	1700	1144	6001	6600	5951	10300
1110031I02Rik	4131	4290	2996	3546	1500	8051	9650	8750	10200
1110032A03Rik	5091	6540	6492	6376	1996	24103	30603	22449	36500
1110032A04Rik	3186	3096	1899	1850	1144	8150	6950	8500	11151
1110032F04Rik	2082	2596	1943	1146	894	2850	2351	2401	2549
1110034A24Rik	5787	8194	7832	6982	2147	22148	20599	21152	28100
1110034B05Rik	7471	9507	7680	8026	2997	28850	31597	26351	34800
1110034G24Rik	3035	2091	1898	1698	746	3451	2950	2850	4450
1110035M17Rik	6424	7133	8684	8237	1988	22400	22450	21100	28704
1110036E04Rik	3812	3847	2725	2447	1247	10450	11650	10201	11700
1110037F02Rik	3474	5095	3644	4433	1296	16598	18200	14751	19752
1110038B12Rik	8875	13572	12830	14764	3245	39805	47252	43399	59153
1110038D17Rik	9052	12816	12822	10574	3143	50303	57300	43099	57752
1110038F14Rik	4436	4991	4189	3495	1199	15750	14600	14500	20700
1110046J04Rik	6978	8770	10070	7542	1997	30198	45751	36999	43400
1110049F12Rik	3992	7587	6589	6774	2087	20750	20400	21146	31499
1110050K14Rik	2273	2456	2094	1100	597	2000	2400	2300	2400
1110051M20Rik	2346	1896	1442	1198	700	2450	3250	3250	3650
1110054M08Rik	9972	14622	14832	14322	4489	49349	56748	50046	68248
1110054O05Rik	4636	6935	4941	4889	1595	17550	20399	19149	24250
1110057K04Rik	4791	5693	5599	5635	1798	17650	21205	16350	26404
1110058L19Rik	3881	3892	3541	2633	1945	12350	12650	12900	17700
1110059E24Rik	5937	11987	8137	10036	2349	32398	36751	31402	41495
1110059G10Rik	6983	8480	9277	8136	2489	32504	35899	32898	40299
1110059M19Rik	796	747	550	399	295	350	1200	200	200
1110065P20Rik	5987	8937	10880	11531	2495	27150	34150	28050	38896
1110067D22Rik	6437	9330	11532	11333	2840	30000	38999	38700	36400
1190002F15Rik	5978	7335	6582	8288	2633	26496	24097	27701	30147
1190002H23Rik	2926	2696	2394	1897	949	4650	5500	4450	5300
1190002N15Rik	5639	7138	6939	7939	2344	22151	23352	21601	31902
1190003J15Rik	3544	3836	2844	2292	1738	7699	7050	7600	8850
1190003K10Rik	1895	1739	1426	1000	1199	1150	1800	1200	900
1190005F20Rik	8233	13409	10483	10435	3038	49752	48554	45595	65195
1190005I06Rik	3341	3391	2247	2944	950	5300	4900	3800	5200
1190007F08Rik	2093	2339	2249	1397	1748	4600	4100	4450	5000
1190007I07Rik	4590	5192	4892	5692	1550	19304	21450	18347	24253
1200009I06Rik	3883	5734	3791	3339	1794	12350	12400	13500	15550
1200011I18Rik	5824	7390	8566	7478	2147	25600	28598	25250	34549
1200011M11Rik	6017	7431	5725	6571	2489	23850	23551	22251	29500
1200014J11Rik	5484	7890	7389	6937	2398	21750	21600	20400	28450
1200016B10Rik	8234	13408	10483	10486	3088	49452	48452	45695	64745
1300001I01Rik	6118	7238	9037	9636	4043	23951	25699	20650	25300
1300002E11Rik	5681	7372	6684	7342	2644	22250	24653	22500	32500
1300002K09Rik	3437	2896	2315	2130	1043	5550	5850	5650	8050
1300010F03Rik	5024	6837	5938	6138	2646	16692	17250	15000	19152
1300014I06Rik	4866	6029	6036	5292	2443	17850	18649	15500	27301
1300015D01Rik	3082	2099	1837	1044	1198	2850	3750	3050	2350
1300017J02Rik	2239	2392	1449	1198	797	1850	2450	2350	2250
1300018I17Rik	6058	8273	8041	8289	2549	25996	27591	24750	38801
1300018J18Rik	4740	7811	5781	5529	2244	18797	19050	17199	23452
1500001M20Rik	3988	5245	3045	3680	1548	9650	10300	9550	12550
1500002O10Rik	1827	2546	1645	1048	548	1600	1550	1150	950
1500002O20Rik	4840	4989	4925	4785	2546	10200	14201	10349	14400
1500003O03Rik	5089	4884	4393	3742	1997	19551	26349	23501	33800
1500004A13Rik	2295	2545	1349	1890	1098	3450	3000	3550	4200
1500009C09Rik	2232	2245	1794	1142	1645	2050	2700	2802	1600
1500009L16Rik	2837	3143	1898	1994	1399	5750	4550	4549	6250
1500010J02Rik	5486	4784	3989	4441	1947	13650	14750	16550	20500
1500011B03Rik	3132	3341	1695	1997	1095	5150	4800	4250	6850
1500011H22Rik	3231	4386	4045	3431	1593	11550	12996	11054	17304
1500011K16Rik	2837	2644	2747	2897	1646	10850	10050	9850	13951
1500012F01Rik	7432	12625	12132	13968	3940	43656	50856	46308	62854
1500012K07Rik	2147	1943	1243	744	942	1400	2102	1600	1500
1500015A07Rik	5867	7079	5493	7034	1596	21198	21702	20650	36857
1500015L24Rik	2094	1738	1247	749	648	750	2050	2200	850
1500015O10Rik	2396	1591	995	1096	799	1550	2100	1800	1600
1500016L03Rik	2694	2748	1849	1495	835	3301	2500	3700	3900
1500017E21Rik	2048	2249	1543	1446	697	1350	1750	1600	1450
1500031L02Rik	4942	5792	5592	4287	1293	14100	14999	16100	22099
1500032L24Rik	5610	5292	4240	5388	2142	21153	24550	21500	33900
1520402A15Rik	3236	3044	2093	2444	1147	5401	5650	7050	8850
1600002D24Rik	4188	3438	2149	2390	2144	3250	3500	4100	5101
1600002H07Rik	3980	3987	3196	3643	1643	9050	8201	8350	12250
1600002K03Rik	3995	5490	4993	5281	1752	11750	14000	12200	17000
1600010M07Rik	2596	2384	950	800	995	2350	2550	2500	2500
1600012F09Rik	3935	4835	4194	3494	1147	16099	16351	16250	21550
1600012H06Rik	5280	6276	4587	5042	1992	20100	22801	19500	29153
1600014C10Rik	3937	5529	4691	4992	1595	18300	16495	15850	22550
1600014C23Rik	3694	3493	1647	1996	1797	4200	4200	4550	6250
1600014K23Rik	993	1049	650	699	449	600	900	700	850
1600015I10Rik	2125	1794	1347	1398	1199	2250	1952	1800	1500
1600016N20Rik	4444	5690	5039	4993	1947	12550	14350	11250	17250
1600019K03Rik	1982	1643	1388	898	849	1100	2000	1450	1100
1600020E01Rik	12164	19863	20965	25995	5784	63699	82048	66299	84651
1600021P15Rik	3772	4945	4045	4495	1748	16450	17500	16003	22002
1600025M17Rik	1394	1149	749	348	200	650	1550	750	699
1600027N09Rik	3786	5429	3994	4641	1594	12950	13699	13297	19449
1600029D21Rik	2627	2540	1448	1546	1246	2050	2200	1998	2800
1600029I14Rik	2840	3137	2346	2239	1876	7400	6401	6700	9548
1600029O15Rik	2943	3739	1992	1640	1391	4950	4500	4997	7250
1700001C02Rik	1639	2587	900	849	949	1200	1950	1800	1850
1700001C19Rik	6890	9808	6139	7573	2841	22206	28108	26059	32508
1700001D01Rik	2089	2594	1296	1198	1145	2850	2700	2250	2500
1700001F09Rik	3882	4144	2192	1396	1343	1900	2951	2400	1250
1700001G11Rik	2199	3790	2139	1943	1097	3500	3301	3598	4049
1700001G17Rik	3044	4338	3494	3341	995	9902	9100	8900	12650
1700001J03Rik	2442	2596	1595	1348	897	2000	1900	2500	1550
1700001J11Rik	2533	1745	1096	1295	843	1250	1850	1250	500
1700001K19Rik	2816	1697	1500	1100	1341	2650	2500	1950	4000
1700001K23Rik	2790	2547	1649	1346	1200	2750	2600	2250	3000
1700001L05Rik	2943	3937	2596	2349	1294	7450	8453	5650	7500
1700001L19Rik	2314	2930	1941	1193	892	3050	3000	3350	3000
1700001O22Rik	2384	2296	1345	1098	799	3450	2399	3046	3550
1700001P01Rik	3186	3246	1840	1693	1048	2450	3050	3250	4500
1700003C15Rik	2040	2598	1449	596	597	1250	1300	1150	1450
1700003D09Rik	4016	6986	5433	6379	2342	19599	21051	20800	28900
1700003E16Rik	2341	2438	1644	1948	1298	3600	3650	4450	4500
1700003F12Rik	2780	2743	1648	1647	997	2150	3300	2800	3150
1700003F17Rik	2589	2087	1600	1549	850	1600	2750	2450	1400
1700003G13Rik	2293	1949	1447	846	948	1400	2500	1600	1550
1700003G18Rik	4440	4782	3490	4791	1097	17451	20600	17800	22751
1700003H04Rik	2436	1795	1291	250	450	800	1900	1100	1250
1700003L19Rik	2194	2186	1059	896	635	1050	1500	1149	1100
1700003M02Rik	2591	2046	1250	898	898	2451	3100	2550	2100
1700003M07Rik	2890	2340	2048	1396	1195	2650	3000	2150	3100
1700003P14Rik	2092	1508	1301	801	500	900	1801	1100	701
1700006A11Rik	2343	1497	847	845	650	1100	1750	1450	1400
1700006E09Rik	2529	1998	1800	900	793	2352	2100	2850	3600
1700006F04Rik	2140	1050	1240	846	847	850	1652	1250	700
1700006H21Rik	1845	2099	1197	1047	1082	1250	2100	1700	1450
1700007B14Rik	1741	1987	1397	547	846	1451	1750	850	750
1700007F19Rik	2283	2196	1245	797	997	2500	2900	3300	2450
1700007G11Rik	2138	2342	1498	1538	886	3502	2900	3250	3650
1700007I08Rik	2896	2593	1842	1748	1045	2600	2950	3050	2950
1700007J10Rik	2096	2443	1587	1398	1247	2400	2850	2700	2050
1700007K09Rik	2140	1493	996	1042	746	1450	1800	1401	1650
1700007K13Rik	3235	3842	3489	4189	1397	8250	8450	7250	11500
1700007L15Rik	7738	10911	10328	10836	3144	34552	35199	34253	43502
1700007P06Rik	2095	1896	1294	1595	946	1900	2200	1750	1050
1700008A04Rik	1793	2242	1546	1049	947	2100	1550	1350	1550
1700008F21Rik	2244	1895	1349	526	649	800	1600	1450	1300
1700008I05Rik	1249	1144	400	150	400	450	1250	1250	300
1700008J07Rik	7052	12015	9333	11033	2697	35349	39250	32600	46850
1700008K24Rik	1547	2640	1595	849	994	1200	1601	1000	700
1700008O03Rik	3593	3397	2883	3189	1395	8401	7299	9851	10100
1700008P02Rik	1893	1150	850	448	797	900	1600	900	850
1700008P20Rik	2633	2249	1548	1096	645	1600	1750	1900	1449
1700009C05Rik	2196	2047	1641	1151	847	700	902	950	804
1700009J07Rik	1588	2243	1548	896	1098	1950	2100	2250	1850
1700009N14Rik	2136	2142	1141	949	693	800	1250	1650	1100
1700009P17Rik	2617	2592	1746	1400	1083	3750	3200	3150	4050
1700010B08Rik	2442	3079	1446	1195	1346	2000	2000	2100	1549
1700010D01Rik	1648	846	543	149	447	550	900	650	750
1700010I02Rik	1798	1944	650	549	699	950	1850	950	950
1700010I14Rik	2227	1746	1249	1196	300	2700	3050	2400	4350
1700010J16Rik	2098	1146	1395	650	548	1050	1250	1200	1300
1700010K23Rik	1494	1348	499	395	398	1050	1750	1299	1300
1700010M22Rik	2343	2045	800	600	798	1050	1750	800	900
1700011A15Rik	3069	2645	1946	1444	1147	2500	2798	2700	2700
1700011B04Rik	2045	1845	949	799	450	1050	2400	1100	1600
1700011E24Rik	2443	1894	1045	895	1145	1750	2000	2200	1900
1700011F03Rik	2495	2195	1591	1097	500	1900	2500	2150	2350
1700011F14Rik	1792	1542	847	749	646	1300	2350	1350	850
1700011H14Rik	2091	2148	797	550	747	1700	3200	1900	2350
1700011I03Rik	2189	1344	1299	700	694	1600	1550	2100	2000
1700011J10Rik	9963	21163	18573	22520	4439	65506	74355	64903	86757
1700011L22Rik	3179	2548	1499	1448	1093	2250	2450	2700	2100
1700011M02Rik	945	1398	1100	599	396	250	750	600	250
1700012A03Rik	2342	1843	749	749	650	600	900	1450	1000
1700012A16Rik	2289	2787	1846	1648	1143	3097	2650	3200	3950
1700012B07Rik	2396	1196	848	750	1345	1500	2049	1900	1050
1700012B09Rik	2739	3782	1197	991	1000	1350	2150	1650	2500
1700012B15Rik	4983	4839	4345	4240	1698	11054	17347	10348	16499
1700012D01Rik	3395	4435	5275	3792	1295	20100	16200	17750	24251
1700012D14Rik	5879	4882	6126	5884	1695	21049	21750	21150	27799
1700012I11Rik	2436	2144	1198	500	946	1051	1950	1800	1850
1700012L04Rik	1437	1049	699	446	350	550	850	1100	700
1700012P22Rik	2293	1998	1293	899	547	1800	1650	1400	850
1700013D24Rik	2040	1944	998	1095	449	1550	2250	1750	1550
1700013F07Rik	2487	2397	1898	2048	897	4450	4950	4400	4900
1700013G23Rik	4589	4729	5389	4297	1221	15600	17000	15600	20352
1700013G24Rik	2243	2692	1298	1286	547	2000	1850	1900	2250
1700013H16Rik	1246	1047	398	449	300	500	950	651	350
1700013N18Rik	1892	2045	1047	1098	695	1500	2700	2100	2550
1700014N06Rik	748	644	846	148	449	449	850	600	650
1700015E13Rik	2543	2191	1198	749	1097	2151	1800	2150	2050
1700015F17Rik	2344	1746	998	849	600	1700	1500	1899	1600
1700015G11Rik	2683	2197	1148	649	1097	1150	2050	1700	1750
1700016C15Rik	2445	2244	1744	1300	1297	2600	4050	3200	3600
1700016D06Rik	2935	2291	798	847	742	1500	1950	1900	1200
1700016G22Rik	3587	1812	1050	1099	697	1650	2750	1950	1600
1700016H13Rik	2744	3789	2048	2989	1947	6400	6348	6200	6850
1700016K19Rik	3788	2791	1699	1849	1391	4600	3950	3850	5050
1700016L04Rik	3784	4582	4393	4541	1097	20250	19850	16900	24050
1700016L21Rik	2540	1696	1297	600	899	1301	2050	1600	1300
1700016M24Rik	2146	2286	1847	844	898	1350	2650	1800	1550
1700016P04Rik	2142	1246	944	548	498	900	1700	1400	700
1700017B05Rik	5641	7586	7036	8328	2920	20250	19500	18350	26101
1700017D01Rik	1992	2836	1399	598	796	1850	2349	1550	1700
1700017G19Rik	2144	2545	1449	946	887	4450	4150	3550	4250
1700017J07Rik	2233	2045	1644	650	749	1250	1550	1400	1500
1700017N19Rik	2534	1549	743	699	400	1450	2200	1800	1650
1700018A04Rik	2444	1841	1595	600	546	1800	2150	2050	1350
1700018B08Rik	1997	2842	1598	1499	1148	1797	2150	1550	1350
1700018B24Rik	2198	1892	1098	350	548	1000	1800	1400	1050
1700018C11Rik	3025	2091	848	1694	745	2950	3649	2150	3750
1700018F24Rik	2585	1648	1099	1399	1094	2200	1651	1450	1650
1700018G05Rik	896	1591	449	349	597	947	900	600	550
1700018L02Rik	4592	8826	8476	7988	3048	27504	29350	29007	32557
1700018L24Rik	2045	1998	1797	896	996	2050	1900	2150	2000
1700019A02Rik	1946	1846	1248	749	448	1850	2450	1250	1400
1700019B03Rik	2344	2091	1446	1098	842	1551	2000	2150	2452
1700019B21Rik	1549	1299	499	299	349	600	800	500	200
1700019D03Rik	3688	4042	3095	3944	1048	14050	12000	11994	15500
1700019E08Rik	2591	1445	797	500	550	1300	2050	1300	1000
1700019E19Rik	3885	2780	2049	2247	1100	9000	10100	9200	11950
1700019G17Rik	4089	4176	2295	3287	1347	10950	10900	9998	15250
1700019G24Rik	2346	2096	1299	700	800	1000	1900	1250	1000
1700019L03Rik	2983	1995	1795	1396	800	2250	3000	2450	3350
1700019M22Rik	1751	1599	1499	695	649	850	1500	1450	950
1700019N12Rik	2591	3788	2194	2246	897	5401	4549	4950	8050
1700019N19Rik	2344	1796	1247	850	1392	2150	1900	2050	1500
1700019O17Rik	2185	2546	1695	747	1097	2850	1950	2000	3050
1700020A23Rik	2592	2745	1401	1248	1247	1850	1450	1900	2501
1700020D05Rik	2050	2445	1549	1045	937	2250	2500	2250	2350
1700020G17Rik	2881	1497	1092	599	697	1351	1800	1850	1200
1700020I14Rik	4915	7578	6775	5890	2143	27248	31950	26901	37148
1700020L24Rik	1992	1597	1198	1242	1143	1300	1602	2100	2000
1700020M21Rik	2844	2197	1447	1000	1199	1600	2550	2100	2000
1700020N01Rik	2246	1899	1296	896	997	1400	2200	1850	2300
1700020N15Rik	1099	1346	648	350	397	350	750	650	500
1700020N18Rik	2342	3043	2050	998	1147	2200	2300	2500	2150
1700020O03Rik	4320	5586	5135	5089	2045	14150	17450	15850	23100
1700021C14Rik	4891	5687	4938	7381	2297	18100	21947	21700	27950
1700021F05Rik	4340	5939	4944	4497	1600	16600	17001	15399	19150
1700021F07Rik	2337	2647	1843	1000	1676	1750	1950	1500	2100
1700021K19Rik	3220	4339	4341	3090	1145	12352	12050	12950	15400
1700021N21Rik	2383	2545	1745	1195	749	2451	2501	2300	2200
1700022A21Rik	1398	1541	1097	947	500	1300	2199	1150	1600
1700022A22Rik	1947	1792	1140	647	650	1000	1700	900	850
1700022E09Rik	1893	1898	999	947	498	749	2100	1950	1450
1700022H16Rik	2585	2047	1297	849	499	3000	2750	2399	3500
1700022I11Rik	2596	2486	947	649	944	1550	2900	1700	1900
1700022P22Rik	2483	2144	1249	1198	996	3000	3950	4500	5449
1700023A16Rik	2246	1798	1449	1150	698	2350	2200	1949	1900
1700023C21Rik	2145	1945	1145	850	548	1650	2101	1750	1350
1700023E05Rik	2391	2345	1794	1399	947	2150	2850	3400	2350
1700023F02Rik	1694	1490	698	699	350	850	1250	1350	350
1700023F06Rik	2487	2589	1196	949	898	2250	2450	2050	1600
1700023L04Rik	2632	2290	2392	2086	1196	4100	4701	3550	4300
1700024B18Rik	2680	1295	995	799	649	1250	2100	1048	750
1700024F13Rik	2820	2296	995	1145	747	1700	1850	1550	1800
1700024G13Rik	2844	2894	1148	895	849	1450	3000	1450	1650
1700024P03Rik	2389	1785	1492	898	1099	1300	2200	2400	1800
1700024P04Rik	2494	2295	1591	1149	1098	1450	2250	1950	1750
1700024P16Rik	2034	2146	2146	1948	996	4899	5900	4500	6900
1700025B11Rik	2928	1843	1197	696	1048	2050	2000	2700	2200
1700025C18Rik	2685	2340	1049	1147	945	1950	2000	2200	1550
1700025E21Rik	3233	3993	3741	3332	1498	11300	14650	10650	14900
1700025F22Rik	1945	1850	749	799	546	1500	2000	1600	850
1700025F24Rik	2397	2490	1247	649	949	1400	3000	1050	1750
1700025G04Rik	4188	5984	4840	5641	1482	16899	15600	16698	21351
1700025K23Rik	3087	3543	2196	2443	1099	6350	6950	5650	7100
1700025K24Rik	2743	1490	950	598	649	1100	2200	1550	1550
1700025M24Rik	2291	2342	1246	898	692	2250	2149	1801	1900
1700025N23Rik	3146	2489	1394	1292	1100	2100	2402	2151	1800
1700026D08Rik	2430	1643	1386	850	1000	2250	2250	2300	1900
1700026D11Rik	2437	2543	1697	1448	747	1900	2150	1695	1450
1700026F02Rik	2192	2140	1395	893	998	1000	1550	1451	1400
1700026J04Rik	1989	1746	1100	949	847	1700	2150	1850	1650
1700026L06Rik	2180	3090	1743	1697	1097	4200	3050	3050	3552
1700027A15Rik	2540	1845	1250	949	699	1100	1700	1300	600
1700027A23Rik	1790	1593	944	1342	489	1700	2650	1650	1650
1700027D21Rik	2793	2293	947	999	850	1150	1600	1500	1800
1700027F09Rik	3290	2631	1450	1898	995	4350	3300	3400	9050
1700027H10Rik	2242	846	1050	847	1148	1000	1650	1100	800
1700027I24Rik	1697	2244	800	746	639	1300	1750	1600	1250
1700027J07Rik	2890	2091	1347	1294	1094	1400	1449	1900	1350
1700028B04Rik	2449	2597	1644	1199	1100	1600	2200	1700	2250
1700028D13Rik	2133	2592	1746	1046	648	2300	1900	1800	1500
1700028E10Rik	4833	5590	5339	4933	1648	22100	24503	20600	28600
1700028I16Rik	2728	2245	2446	1695	898	4998	4700	4450	6400
1700028J19Rik	2544	2596	1837	1397	893	2350	2150	2500	2000
1700028K03Rik	2246	1402	1350	847	699	2301	2350	2400	1550
1700028M03Rik	2791	2189	1096	800	700	1151	1650	1700	750
1700028P14Rik	2144	1399	1288	549	749	850	2200	1150	1200
1700028P15Rik	1845	2593	1295	699	948	850	2100	950	1350
1700029B22Rik	1642	1995	1448	899	899	1500	1600	2000	1650
1700029F09Rik	4336	5190	4243	3544	1692	12152	15496	13400	18602
1700029F12Rik	2693	1195	699	500	499	1000	2750	1700	1250
1700029G01Rik	3637	5485	5040	3336	1849	16601	18150	15600	21650
1700029H14Rik	2339	2141	1048	1098	698	1450	1850	1850	1050
1700029I01Rik	5041	4083	2489	1892	1696	2102	4150	3151	2000
1700029I15Rik	2495	3046	2144	1449	845	2500	3300	2450	3000
1700029J03Rik	1947	2044	1898	1199	1199	1950	2300	1800	1900
1700029J07Rik	3340	4184	3740	3094	1444	13200	14599	11550	16451
1700029J11Rik	2339	1844	1746	1099	696	2152	1700	1750	1800
1700029M20Rik	2732	2544	1696	1445	1049	1800	2350	1600	1850
1700029N11Rik	2197	1786	1498	1050	1394	1250	1900	2248	1700
1700029P11Rik	1844	1949	1196	1051	947	1852	1652	1802	952
1700030A11Rik	1845	2694	1646	1690	945	2999	3150	3350	3400
1700030C10Rik	3388	3796	1992	2987	896	5300	5397	4200	4500
1700030F04Rik	2296	2594	2246	1391	1598	1350	2200	1950	1100
1700030F18Rik	2445	1890	1747	1046	849	2199	2248	1900	2450
1700030J22Rik	2840	3145	2143	2345	1695	6000	6200	4800	7500
1700030K09Rik	2492	2246	2294	1996	1346	3651	3700	4050	5150
1700030L20Rik	1440	1644	1245	700	746	900	2000	1550	900
1700030M09Rik	2098	2703	2044	1496	1246	1947	2500	2450	2150
1700030N03Rik	2594	2598	1547	1398	746	1600	2350	1100	2200
1700030O20Rik	2480	2346	1144	1050	997	1399	2050	1650	750
1700031A10Rik	2293	1745	1495	949	798	1550	2750	1450	1950
1700031F05Rik	1049	1097	747	448	493	500	800	800	400
1700031M16Rik	2593	2048	1046	848	497	1800	1951	1700	1600
1700031P21Rik	7061	11171	10269	11624	2293	47305	62508	42193	69741
1700034E13Rik	2087	2098	749	650	898	1100	1450	801	950
1700034F02Rik	5322	6380	5686	5382	1798	26400	33552	25900	34499
1700034G24Rik	2288	2492	1694	997	748	1500	1850	1300	1000
1700034H14Rik	4435	5232	3597	4146	1449	16902	18838	16250	20950
1700034H15Rik	6591	10233	9838	9082	3248	22849	22301	20900	27650
1700034I23Rik	1894	2195	647	849	696	2150	2801	2550	2699
1700034J05Rik	2643	2789	1194	1047	1340	1750	2050	2450	1600
1700034K08Rik	1594	1699	1395	942	1100	1150	1850	1350	400
1700034O15Rik	2085	2094	1597	799	899	800	1900	1000	700
1700034P13Rik	5487	8340	7838	6637	2547	29250	32250	30600	38100
1700036G14Rik	1983	1996	1444	1243	1143	1100	1450	1200	1250
1700037C18Rik	4141	4587	5097	3538	1448	14699	15300	14650	20950
1700037H04Rik	3635	4193	2797	3993	1896	9500	9150	9250	11250
1700039E15Rik	1948	2294	1598	1238	744	2250	2600	2250	2000
1700039E22Rik	2137	3293	1898	1550	499	2200	1900	2050	2100
1700040I03Rik	7538	8727	9637	10723	2698	24900	29199	25953	35297
1700040L02Rik	2990	4435	3284	3148	1390	8051	10349	7800	8702
1700040N02Rik	2637	2744	1948	1148	695	2400	2750	3150	2750
1700041C23Rik	2689	2141	1146	1199	700	1650	2700	1850	1950
1700041M19Rik	2387	1494	893	897	896	1700	2450	1900	1300
1700042B14Rik	1297	691	349	398	499	800	1450	950	850
1700042G07Rik	2684	3341	1795	1499	1238	3300	3200	2700	5400
1700042G15Rik	2241	2135	1198	950	950	1950	2450	1850	2700
1700042O10Rik	2541	1989	1290	699	946	1600	2300	1500	1600
1700044C05Rik	2141	1897	1396	747	998	1400	1801	1500	1100
1700044K03Rik	1500	1837	798	898	749	550	1200	750	948
1700045H11Rik	7376	10230	11539	10069	3292	42600	72905	49051	67448
