Gene ID	CV-H3K9ac_F1.sort.bam	CV-H3K9ac_F2.sort.bam	CV-H3K9ac_F4.sort.bam	CV-H3K9ac_F5.sort.bam	CV-H3K9ac_F6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Nmt1	3445	4139	2931	4091	1633	10649	15149	12554	19299
Nmt2	4145	5232	3788	4389	1646	14152	14001	14001	19853
Nmu	2443	2137	1545	1098	949	2850	2300	2950	2700
Nmur1	2394	2295	2498	2045	1697	1950	2450	2650	2800
Nmur2	2391	1990	1096	1044	1199	2400	3150	1600	1700
Nnat	2989	2940	2003	1798	950	3100	3649	3300	3400
Nnmt	2045	2041	1199	749	850	1700	2050	1450	1400
Nnt	3842	4892	4689	4744	1099	16351	13600	14350	18999
Noa1	4394	6387	4893	5932	2226	20200	21303	18950	26300
Nob1	3569	4790	4390	3844	1688	11398	12550	11599	14100
Nobox	1892	2547	1694	1543	400	1750	1801	2100	1550
Noc2l	4487	6643	5493	6881	1649	18950	21400	17903	23448
Noc3l	3439	6685	3993	3241	1396	17000	17401	14800	22250
Noc4l	4538	7641	7088	6835	1646	19649	22047	17700	25349
Nod1	3577	4291	3297	4241	1694	13500	10947	12850	18500
Nod2	2991	3291	2337	2447	1047	4150	3950	4100	5400
Nodal	2941	3793	1293	1344	997	2250	3250	2800	2600
Nog	1888	2000	1541	1095	1279	1850	2450	2050	2501
Nol10	3145	4339	3191	2545	1784	11600	12200	10650	14899
Nol11	5017	5637	4987	4789	1846	17050	19600	15200	22059
Nol12	3443	4337	3591	3749	1148	9950	10250	11099	18349
Nol3	2967	3342	2290	1799	1391	3350	4349	3750	4200
Nol4	2191	1999	1632	950	447	1600	2100	1650	1400
Nol6	2496	3441	3942	2544	937	8499	7998	8351	10700
Nol7	3891	5640	3889	4087	1549	12650	16801	12101	17250
Nol8	4031	4134	3243	3247	1348	15100	17500	15200	22850
Nol9	5141	6427	6338	7043	2200	18250	20800	16400	21701
Nolc1	4023	4684	4036	4446	1743	13851	17900	14550	17400
Nom1	3690	4994	4792	4141	1943	13599	16800	16197	18700
Nomo1	4882	6779	6766	6083	2142	19050	20550	20701	23200
Nono	3683	4292	3740	4442	1150	16896	17600	14899	20350
Nop10	2596	4187	2296	1944	847	7800	9651	8050	10600
Nop14	3683	4385	4282	2595	1640	12350	11800	11451	20851
Nop16	5137	8430	6594	7048	2243	23954	27400	22850	31798
Nop2	4090	5681	6685	5192	1793	18500	22050	22500	25600
Nop56	6285	6978	7189	7025	2188	19854	24702	21648	25801
Nop58	4735	5941	4461	4641	1549	17351	22600	18500	21500
Nos1	1874	1840	1792	1048	1043	1150	1400	950	750
Nos1ap	5344	6674	6589	7270	2498	21152	19750	21250	31151
Nos2	6185	9574	8368	7974	2697	11349	10350	11500	14450
Nos3	2095	2194	1448	995	696	1950	2200	2250	2300
Nosip	5373	6834	6626	6712	1998	28448	32702	28349	42098
Nostrin	3990	6385	4739	4937	1594	21400	25250	20600	32050
Notch1	3784	5588	5039	5640	2045	14550	14750	12850	18101
Notch2	3492	5141	4747	3296	1992	10602	10650	10800	12702
Notch3	2730	3642	2395	1895	1147	3600	3150	4354	4349
Notch4	2629	3342	2893	1445	1089	3300	3403	2950	3300
Noto	2238	2691	1345	898	1148	2200	1500	2100	3000
Notum	2936	3438	2096	2097	1299	4550	3500	5452	6450
Nov	1797	1890	1147	1342	746	1000	2050	1050	800
Nova1	2135	2248	1450	850	549	2099	2400	2201	2752
Nova2	2390	2990	1994	1499	844	2401	2199	1650	2350
Nox1	1451	900	550	500	448	1200	1950	1149	1650
Nox3	1894	1496	747	450	748	1050	1702	1050	900
Nox4	1995	1245	1295	945	749	1100	1700	1200	1000
Noxa1	5034	6391	6182	6788	2243	13950	11850	14150	18900
Noxo1	3341	5390	6032	6432	1695	16501	16750	17400	25201
Npas1	2094	2698	1944	943	649	1901	2600	2650	1850
Npas2	8778	9679	5395	6244	3248	31701	22703	25447	55900
Npas3	1147	1499	1296	848	550	1100	2050	950	1050
Npas4	2796	2197	1800	1448	791	1050	1500	1500	1150
Npat	4269	5936	4785	5579	2094	19900	20800	17901	28048
Npb	2491	3686	2295	2094	1246	4998	3800	5000	6100
Npbwr1	2291	2347	1347	448	847	1350	1650	1550	800
Npc1	4639	6883	6339	5039	2796	20506	18500	21153	28699
Npc1l1	6838	9227	10014	10920	2944	39099	43599	38301	50950
Npc2	4888	7187	6339	5389	1745	21650	22450	19250	30050
Npcd	2441	2941	1995	1736	895	4500	4300	5100	5449
Npdc1	4290	3587	3237	2692	2041	6400	6399	7050	8650
Npepl1	4886	6732	7085	8586	1400	17300	17050	18649	22045
Npepps	8668	16613	17709	16418	3841	48600	43793	47303	56199
Npff	2592	1893	1200	2340	1044	2950	2450	3150	3300
Npffr1	2337	3298	2097	1395	1093	4201	2900	2750	2350
Npffr2	1790	1989	1950	646	543	1550	1800	1800	1950
Nphp1	3284	3736	2347	1837	1097	8200	8104	8450	12297
Nphp3	3994	3348	2293	2395	1398	7600	7250	7450	9000
Nphp4	1944	2398	2695	1441	1096	3050	2400	1550	2300
Nphs1	2042	2047	1295	1344	1198	1650	1650	1600	1600
Nphs1as	2596	2243	1344	1047	600	1250	1850	1500	1900
Nphs2	2641	2348	1395	949	1097	1250	2000	2250	2350
Npl	2493	2337	1799	1196	800	4650	3950	4200	6500
Nploc4	5878	6385	6191	6542	1595	22501	22949	20102	32297
Npm1	5217	6229	7083	6938	1847	20099	27950	21102	26002
Npm2	1790	1840	1447	749	1443	2499	2650	2450	1947
Npm3	4238	4396	3838	4595	1490	10900	12800	11000	14601
Npm3-ps1	1835	1844	1596	948	1047	1853	3101	2900	2801
Npnt	2440	2144	1898	1498	1198	3800	3850	2850	4299
Nppa	2193	1945	1496	944	694	1150	1700	1650	1150
Nppb	1948	2298	1148	1097	1391	800	1600	1550	1450
Nppc	2789	2243	1486	1596	948	3600	2550	3700	3702
Npr1	2697	2894	2143	1894	1198	5300	3999	4399	6049
Npr2	2195	2397	2046	1850	1293	2700	2400	2950	3150
Npr3	1700	2092	1248	448	996	1500	1550	1350	1700
Nprl2	3788	5081	3703	3145	1496	10900	10499	10549	17450
Nprl3	5333	5742	5142	4340	1098	17100	21899	15803	24399
Nps	2342	2093	999	548	1098	2000	1600	1600	1550
Npsr1	2382	1939	1249	646	700	1250	1700	1350	750
Nptn	7218	10632	10038	7835	2842	31051	36000	29208	37201
Nptx1	2422	3592	2594	1793	937	7450	4300	5600	6150
Nptx2	2592	1991	1545	1242	648	2000	2600	2800	2700
Nptxr	2397	2891	1752	1898	1046	2552	2850	2752	3151
Npvf	1945	2092	798	748	748	1150	2450	2050	2000
Npw	2928	2844	1593	1743	1597	3800	3151	3800	3950
Npy	2688	1846	1147	899	597	1600	2150	1702	1500
Npy1r	2150	1884	1100	399	646	900	1449	1350	550
Npy2r	2244	2746	2096	1145	949	5600	5101	5600	5603
Npy5r	2688	1950	1498	898	850	1000	1450	1550	751
Npy6r	1840	1497	699	848	550	1050	1950	1300	750
Nqo1	3489	3089	2348	2445	1593	9450	8450	9250	8999
Nqo2	3446	4192	3142	2444	1747	10550	11500	11752	15000
Nr0b1	948	798	745	250	199	450	650	500	700
Nr0b2	2773	3192	1999	1846	1195	6000	4851	6802	11850
Nr1d1	3893	11360	11828	6693	2042	53751	86962	19800	27353
Nr1d2	6428	8930	13320	10275	1893	28851	48549	22200	21255
Nr1h2	4988	6635	5423	6687	2445	21896	24802	21999	31298
Nr1h3	3491	5083	3548	4289	1495	17602	19751	19455	24550
Nr1h4	4035	3338	2846	2887	1537	8750	12351	9150	13253
Nr1h5	2194	1741	997	650	700	1950	2700	2000	2150
Nr1i2	7923	11514	10136	11324	3440	30352	39247	36401	46946
Nr1i3	3586	3650	2596	1996	1196	9150	10750	11150	12801
Nr2c1	5545	6443	5783	6789	2494	22000	25452	21801	31750
Nr2c2	7700	12784	12874	13590	2888	39250	41649	36750	50301
Nr2c2ap	4084	4290	3143	4034	1492	11150	12300	10500	16301
Nr2e1	2890	2287	1239	1346	850	2001	2300	1450	2200
Nr2e3	2569	3437	2492	2092	1746	3750	3900	3400	4850
Nr2f1	1577	2393	1499	1000	695	1800	2250	2600	2801
Nr2f2	2086	1944	1349	798	794	2201	2500	2600	2451
Nr2f6	9176	12083	15441	15663	4890	50804	47642	47797	61147
Nr3c1	3373	4246	2897	3149	1197	15250	14755	14159	18849
Nr3c2	3836	6783	5986	5485	1597	25351	23203	20852	29898
Nr4a1	2978	3436	2994	2343	1147	5950	8800	6800	11500
Nr4a2	7591	10134	8537	8288	1780	19398	25500	21801	25150
Nr4a3	2544	2648	1697	1397	696	1750	1900	1500	1950
Nr5a1	2187	2293	1600	1492	1348	1800	1950	1500	1950
Nr5a2	4136	6184	4591	4925	1792	15050	18501	19049	20550
Nr6a1	6534	7983	8216	7775	2840	29549	32401	26499	40500
Nradd	3036	3942	2644	2841	1247	5550	5800	5300	7850
Nrap	2694	2039	1547	1592	997	4700	4550	4300	6200
Nrarp	3834	5590	4888	5044	1296	16200	14449	15947	19499
Nras	4683	5736	4385	4594	1250	26551	34150	23350	35250
Nrbf2	6392	7438	7890	6990	2493	21800	27800	24749	32200
Nrbp1	5377	6922	6576	6691	2245	19500	24001	18297	28148
Nrbp2	3432	3943	2435	2095	1491	5500	6450	5600	8600
Nrcam	1988	2444	1596	1247	549	2050	2898	1700	1949
Nrd1	4880	6837	5293	5630	1994	17200	22352	19401	26452
Nrf1	8176	14083	12535	15231	3193	42949	46293	41442	55097
Nrg1	1896	1550	697	400	550	1150	1450	1150	400
Nrg2	2192	2989	2198	1793	999	3350	3000	1600	2750
Nrg3	1593	1648	1000	1398	849	850	1800	1150	550
Nrg4	2340	2089	748	550	650	2049	3200	2900	3247
Nrgn	2839	2495	2098	1597	1000	2850	2600	2850	2150
Nrip1	14207	22892	24300	22757	6934	68804	76247	67501	89805
Nrip2	2896	2646	1689	1050	1146	3450	3150	3500	3900
Nrip3	2495	2049	1797	1296	1543	3750	3350	3150	4850
Nrk	890	647	546	348	150	500	850	550	795
Nrl	2694	2042	948	498	1099	2050	2050	2250	1950
Nrm	3471	3396	2298	1650	1292	5801	7100	5848	7451
Nrn1	2049	2791	2249	1782	700	7250	6300	6350	9800
Nrn1l	3081	2495	2098	1646	1200	2350	2700	1600	3250
Nron	2489	2540	1445	1348	947	1250	2200	1600	1450
Nrp	4828	6228	4987	4735	1448	22751	26296	20050	28249
Nrp1	2593	3243	2388	1541	900	3750	4100	4450	5200
Nrp2	2443	2345	1696	1746	1146	4350	3800	4096	5950
Nrsn1	2129	1846	1200	649	593	1150	1650	1250	850
Nrsn2	2786	2393	1543	949	1099	1847	2200	1650	1500
Nrtn	3097	3649	2794	2794	1297	5700	5399	5500	8050
Nrxn1	1993	1446	1250	1200	1145	1100	1750	1700	1400
Nrxn2	2735	2947	1796	1847	1544	2650	2600	2650	2800
Nrxn3	1947	1398	1395	646	649	700	2000	1150	650
Nsa2	5096	6235	5388	5290	1698	17200	22650	19901	30802
Nsd1	6237	7286	6637	7538	2493	19150	18298	16352	21451
Nsdhl	2439	2498	1648	1897	799	6600	8550	8400	12050
Nsf	4530	5337	5436	4087	1991	14150	16148	13400	21100
Nsfl1c	4731	6043	5088	4945	1998	14544	14199	13848	17652
Nsg1	1889	1798	1646	899	700	1500	1550	2050	1500
Nsg2	2546	2098	1640	1098	996	2301	2499	2100	2500
Nsl1	4733	4538	2546	4337	1339	12399	12400	12001	17850
Nsmaf	7478	10521	9235	8587	2743	28395	25649	25250	29997
Nsmce1	4024	5286	4034	5085	1689	14400	15953	14650	20901
Nsmce2	5192	7842	8036	5994	2096	22698	31299	23699	34201
Nsmce4a	6627	7926	9131	9789	2642	22600	24798	22901	28100
Nsun2	4754	5681	5090	5437	2738	18501	20900	19150	28301
Nsun3	3979	5543	4978	4792	1693	19052	22353	17200	27650
Nsun4	4635	3888	3492	3398	1539	12951	15650	15600	23700
Nsun5	3935	5635	4647	4283	1591	16746	18498	14899	22298
Nsun6	6439	7840	7444	8178	2791	29400	43651	32450	46950
Nsun7	3188	2591	1950	1047	1285	2250	3050	3100	3250
Nt5c	4727	5940	5080	4885	1793	16898	16605	16601	24350
Nt5c1a	2732	2396	1795	1199	949	3050	4250	3350	4400
Nt5c1b	2141	1698	895	350	747	1350	1450	1550	1100
Nt5c2	2326	3389	1748	998	995	1050	2600	1549	1299
Nt5c3	3693	4296	3193	3547	1646	11400	13350	11300	15549
Nt5c3l	3145	3246	1799	1997	1047	6150	5150	5300	6500
Nt5dc1	3541	4790	4137	4286	2245	13303	11701	11350	16700
Nt5dc2	2768	2541	2190	1397	746	1450	1800	2050	1600
Nt5dc3	4390	3795	3079	4138	1647	9400	10250	9201	11200
Nt5e	3695	3285	2790	2297	1346	4898	3448	4694	5449
Nt5m	4482	4843	4238	3894	2196	11999	14497	13199	18201
Ntan1	5146	5143	5091	5489	1799	18750	19100	16100	22551
Ntf3	2094	2192	1095	998	699	900	1100	1200	1350
Ntf5	2085	2895	1698	1499	1293	4300	4350	4300	3849
Nthl1	4082	5546	4317	4744	1943	14050	13149	14500	17050
Ntm	1972	1846	749	648	698	1050	2000	1150	1200
Ntn1	2447	2990	1742	949	1248	1650	2198	2050	1500
