gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
0610005C13Rik	25	40	50	34	22	17	89	71	66	110
0610007C21Rik	69	78	177	75	67	21	245	327	224	304
0610007L01Rik	25	25	38	18	15	13	45	16	31	21
0610007N19Rik	48	74	197	86	88	25	248	302	256	360
0610007P08Rik	59	74	224	78	66	31	266	373	277	382
0610007P14Rik	59	65	197	73	68	21	258	297	289	336
0610007P22Rik	38	42	92	30	39	16	89	107	74	117
0610008F07Rik	37	36	68	32	17	14	65	67	72	128
0610009B14Rik	28	25	36	26	17	17	43	28	38	44
0610009B22Rik	52	80	237	77	87	24	322	283	244	425
0610009D07Rik	55	49	111	32	38	18	98	101	116	156
0610009L18Rik	244	433	1187	505	383	86	1170	1985	1398	1670
0610009O20Rik	41	60	171	57	62	24	209	225	217	286
0610010B08Rik	9	10	15	8	8	5	9	22	11	13
0610010F05Rik	22	27	39	10	15	15	43	54	56	55
0610010K14Rik	91	122	332	135	144	47	480	462	499	663
0610010O12Rik	52	49	119	45	36	19	161	208	177	254
0610011F06Rik	46	39	90	25	26	17	113	91	86	177
0610011L14Rik	37	35	58	12	34	15	66	86	92	129
0610012G03Rik	44	66	150	54	56	19	206	252	190	292
0610012H03Rik	33	29	33	21	13	9	29	42	26	31
0610030E20Rik	24	34	56	37	15	10	71	87	100	122
0610031J06Rik	28	17	52	24	11	9	42	37	46	63
0610031O16Rik	31	26	66	14	15	6	58	57	58	94
0610037L13Rik	40	49	103	43	31	15	119	138	106	148
0610037P05Rik	38	29	78	31	33	12	73	101	58	107
0610038B21Rik	19	22	32	12	12	9	24	16	21	11
0610038L08Rik	34	25	34	20	14	7	20	25	22	19
0610039K10Rik	116	160	493	176	166	41	452	793	661	700
0610040B10Rik	70	103	224	99	82	20	290	353	312	388
0610040F04Rik	86	120	320	149	163	38	315	431	479	564
0610040J01Rik	23	36	112	37	57	16	124	148	106	169
0610043K17Rik	18	23	31	21	11	7	27	31	35	27
0910001L09Rik	34	33	54	27	19	12	68	87	69	122
100043387	20	12	22	12	7	9	19	19	13	22
1100001G20Rik	26	22	37	22	13	8	21	26	34	16
1110001A16Rik	29	23	62	12	15	10	43	47	41	68
1110001J03Rik	88	112	357	87	118	34	550	550	526	801
1110002B05Rik	31	29	49	22	17	14	50	46	50	83
1110002L01Rik	99	139	492	162	194	44	577	710	531	702
1110002N22Rik	42	42	99	32	39	15	106	115	124	123
1110003E01Rik	65	62	159	71	65	27	201	274	202	336
1110004E09Rik	39	39	106	29	27	16	111	104	112	132
1110004F10Rik	33	30	97	29	31	12	103	134	97	147
1110005A03Rik	92	116	367	152	163	53	431	538	429	545
1110006O24Rik	64	104	201	101	95	27	240	280	231	333
1110007C09Rik	57	42	140	56	50	20	167	203	213	252
1110008F13Rik	69	84	212	102	102	18	293	394	335	462
1110008J03Rik	86	117	319	103	147	39	438	550	407	666
1110008L16Rik	52	81	185	58	64	19	244	272	261	387
1110008P14Rik	37	36	63	23	25	14	37	47	59	55
1110012J17Rik	32	24	38	15	15	12	42	30	30	36
1110012L19Rik	23	26	34	23	18	3	50	64	41	55
1110014N23Rik	30	38	89	41	33	22	133	121	158	199
1110015O18Rik	24	17	22	4	7	10	6	11	17	8
1110017D15Rik	34	28	47	19	17	11	35	25	36	29
1110017F19Rik	65	48	143	56	57	18	170	183	165	233
1110018G07Rik	40	36	116	34	38	11	167	214	227	281
1110018J18Rik	32	25	47	23	22	14	29	45	27	77
1110019D14Rik	31	41	107	30	45	15	169	212	145	264
1110020A21Rik	119	235	693	228	239	64	744	962	790	1007
1110020G09Rik	23	31	57	26	18	13	54	44	49	72
1110021J02Rik	30	22	38	23	17	7	27	22	22	36
1110021L09Rik	31	29	64	23	23	9	83	68	82	113
1110028C15Rik	24	27	61	33	30	7	63	62	62	87
1110028F11Rik	29	22	57	25	18	11	54	57	36	74
1110028F18Rik	26	22	55	21	15	8	67	63	64	98
1110031I02Rik	41	49	82	34	35	12	104	133	119	145
1110032A03Rik	58	72	237	84	82	21	291	383	275	428
1110032A04Rik	42	43	82	27	31	18	144	121	145	206
1110032F04Rik	20	22	30	11	8	7	25	21	18	17
1110034A24Rik	37	22	41	15	16	11	47	46	41	54
1110034B05Rik	89	110	295	89	110	36	326	404	338	435
1110034G24Rik	32	18	35	18	18	7	27	32	32	39
1110035M17Rik	94	116	282	148	132	32	377	378	321	477
1110036E04Rik	32	35	52	20	19	12	61	60	71	72
1110037F02Rik	27	17	51	14	15	6	70	65	68	106
1110038B12Rik	43	35	115	40	32	13	134	159	128	241
1110038D17Rik	76	75	224	71	77	29	330	327	295	464
1110038F14Rik	32	36	53	21	24	9	78	70	78	93
1110046J04Rik	106	156	435	178	138	36	502	824	628	700
1110049F12Rik	31	53	90	29	32	12	114	99	124	184
1110050K14Rik	23	21	34	28	13	9	19	26	26	30
1110051M20Rik	20	20	39	14	11	8	21	31	30	38
1110054M08Rik	103	146	449	150	150	38	547	591	523	756
1110054O05Rik	30	33	45	21	20	13	81	75	84	114
1110057K04Rik	42	38	114	39	37	17	99	124	95	174
1110058L19Rik	30	20	59	23	13	15	52	62	49	73
1110059E24Rik	82	163	370	114	142	37	406	487	390	509
1110059G10Rik	59	75	183	77	73	19	260	236	253	286
1110059M19Rik	8	8	10	4	2	2	5	11	3	2
1110065P20Rik	85	115	350	147	152	35	357	489	359	485
1110067D22Rik	53	79	231	99	87	30	252	356	370	311
1190002F15Rik	89	115	353	108	133	33	455	419	459	491
1190002H23Rik	29	22	37	18	14	9	22	28	21	20
1190002N15Rik	67	78	229	84	86	30	248	277	246	366
1190003J15Rik	38	39	50	22	16	19	64	66	69	68
1190003K10Rik	19	19	24	17	11	14	16	24	16	9
1190005F20Rik	56	88	186	64	77	21	316	304	306	421
1190005I06Rik	30	28	41	21	29	7	49	40	40	56
1190007F08Rik	26	30	51	30	16	25	56	48	57	75
1190007I07Rik	35	22	88	18	18	13	103	129	103	151
1200009I06Rik	41	58	87	37	40	19	118	132	141	170
1200011I18Rik	61	78	210	89	90	24	269	310	271	386
1200011M11Rik	43	44	80	30	31	20	125	128	119	156
1200014J11Rik	38	31	67	29	19	17	47	54	51	84
1200016B10Rik	117	185	417	152	139	44	699	690	622	899
1300001I01Rik	30	31	86	37	23	20	97	80	84	107
1300002E11Rik	59	72	184	68	69	28	223	263	203	330
1300002K09Rik	35	26	75	22	21	9	50	58	47	73
1300010F03Rik	32	36	66	26	28	14	73	64	81	111
1300014I06Rik	38	39	83	46	28	21	123	111	88	164
1300015D01Rik	34	21	32	21	11	9	24	33	32	30
1300017J02Rik	17	24	32	14	13	10	22	28	26	25
1300018I17Rik	72	96	239	95	102	30	342	344	325	513
1300018J18Rik	40	38	60	27	20	16	80	67	66	83
1500001M20Rik	28	31	56	17	19	8	32	32	31	57
1500002O10Rik	23	26	21	11	11	7	14	12	13	9
1500002O20Rik	39	34	54	34	29	17	59	75	59	81
1500003O03Rik	35	21	71	23	21	18	89	105	97	154
1500004A13Rik	16	19	47	8	18	8	33	26	32	53
1500009C09Rik	24	21	33	21	13	13	26	31	35	17
1500009L16Rik	24	28	47	20	21	16	53	44	43	69
1500010J02Rik	46	35	98	29	34	14	105	120	127	138
1500011B03Rik	26	29	32	10	13	11	19	32	25	33
1500011H22Rik	35	62	126	57	54	22	193	217	185	310
1500011K16Rik	23	16	44	16	20	9	43	32	28	53
1500012F01Rik	86	136	294	130	146	43	408	365	421	553
1500012K07Rik	25	17	46	11	6	11	14	22	19	11
1500015A07Rik	73	86	233	72	88	24	262	255	280	431
1500015L24Rik	26	23	36	15	8	6	5	25	25	10
1500015O10Rik	22	19	28	11	9	9	16	24	15	16
1500016L03Rik	27	37	33	18	18	9	32	30	48	52
1500017E21Rik	24	21	31	12	15	7	13	13	15	10
1500031L02Rik	63	80	175	80	54	20	204	209	230	308
1500032L24Rik	32	37	46	19	13	14	51	65	44	92
1520402A15Rik	27	26	45	16	22	8	40	38	56	70
1600002D24Rik	32	38	38	18	18	16	30	34	42	29
1600002H07Rik	31	34	46	23	21	12	36	38	31	46
1600002K03Rik	28	44	96	33	24	12	64	57	51	90
1600010M07Rik	33	31	40	10	6	12	20	34	30	17
1600012F09Rik	30	27	45	17	15	14	57	49	48	77
1600012H06Rik	41	55	107	34	33	17	118	141	130	184
1600014C10Rik	31	32	62	28	26	12	86	74	68	129
1600014C23Rik	42	46	57	22	26	16	55	62	63	95
1600014K23Rik	10	10	12	5	7	5	8	11	5	15
1600015I10Rik	25	19	25	11	13	9	21	15	19	18
1600016N20Rik	60	72	197	84	91	28	213	265	195	313
1600019K03Rik	18	15	42	13	13	4	13	20	14	10
1600020E01Rik	217	366	1161	396	494	103	1158	1505	1195	1478
1600021P15Rik	34	38	97	29	42	12	120	125	96	130
1600025M17Rik	15	8	16	6	4	2	10	23	8	7
1600027N09Rik	23	32	40	23	14	6	35	49	37	69
1600029D21Rik	25	19	30	15	10	12	24	16	21	27
1600029I14Rik	23	35	51	25	20	19	74	52	49	93
1600029O15Rik	30	46	28	16	10	14	9	23	18	20
1700001C02Rik	16	30	26	11	6	8	13	22	14	9
1700001C19Rik	56	81	139	51	57	22	183	209	212	287
1700001D01Rik	19	26	28	11	13	11	26	22	24	26
1700001F09Rik	40	45	54	18	14	17	26	26	21	12
1700001G11Rik	26	47	57	21	30	11	48	44	51	58
1700001G17Rik	27	38	76	35	37	12	82	82	76	126
1700001J03Rik	29	32	36	19	8	9	24	20	22	16
1700001J11Rik	25	15	27	10	14	8	8	13	13	5
1700001K19Rik	34	19	19	14	17	12	19	17	12	32
1700001K23Rik	30	28	39	19	15	13	32	23	29	35
1700001L05Rik	36	31	51	23	21	13	44	47	35	29
1700001L19Rik	20	26	40	16	7	9	19	26	25	24
1700001O22Rik	26	17	47	17	7	11	24	21	24	23
1700001P01Rik	35	33	26	18	23	8	25	42	36	52
1700003C15Rik	24	24	22	15	6	5	14	15	11	12
1700003D09Rik	48	81	189	68	82	27	256	279	271	419
1700003E16Rik	26	29	52	23	26	18	42	43	51	46
1700003F12Rik	27	27	48	8	9	7	15	33	25	20
1700003F17Rik	25	18	36	14	18	6	12	21	20	17
1700003G13Rik	27	21	33	14	6	8	18	31	16	21
1700003G18Rik	61	71	188	47	73	14	279	305	279	343
1700003H04Rik	23	23	25	9	5	6	7	26	7	13
1700003L19Rik	21	25	18	9	11	5	9	18	13	9
1700003M02Rik	25	23	29	12	5	8	17	30	17	16
1700003M07Rik	29	25	48	25	14	11	32	32	22	37
1700003P14Rik	23	17	28	12	9	7	6	15	10	9
1700006A11Rik	23	18	29	9	6	3	5	17	14	10
1700006E09Rik	25	15	30	17	10	7	27	24	36	49
1700006F04Rik	20	13	27	9	8	6	9	16	14	4
1700006H21Rik	13	25	42	13	9	12	16	15	16	13
1700007B14Rik	18	19	28	11	5	9	15	17	11	9
1700007F19Rik	22	19	29	11	5	10	23	26	33	21
1700007G11Rik	21	28	34	15	10	8	38	29	37	35
1700007I08Rik	30	25	31	20	15	12	20	26	28	31
1700007J10Rik	22	20	42	20	13	12	23	27	22	16
1700007K09Rik	23	13	35	9	6	7	14	16	19	22
1700007K13Rik	42	47	118	52	65	14	131	131	121	197
1700007L15Rik	106	165	412	159	168	52	519	512	482	653
1700007P06Rik	22	17	38	11	16	11	21	26	19	8
1700008A04Rik	19	29	31	19	11	10	20	15	11	11
1700008F21Rik	24	16	26	16	5	6	8	18	16	14
1700008I05Rik	15	5	15	5	3	5	7	13	12	3
1700008J07Rik	37	53	114	27	31	12	164	160	162	264
1700008K24Rik	20	27	25	15	11	6	9	21	10	6
1700008O03Rik	26	22	36	15	11	11	21	19	27	33
1700008P02Rik	18	13	18	11	7	7	6	14	6	8
1700008P20Rik	20	19	27	14	6	5	20	22	20	12
1700009C05Rik	22	21	31	18	15	8	9	7	10	9
1700009J07Rik	19	18	35	13	9	11	22	22	31	17
1700009N14Rik	14	20	27	15	12	5	12	15	15	9
1700009P17Rik	29	30	36	14	9	7	31	31	29	41
1700010B08Rik	27	33	35	17	15	13	15	20	25	10
1700010D01Rik	18	11	20	5	1	8	5	10	9	8
1700010I02Rik	20	26	24	5	6	5	7	18	12	4
1700010I14Rik	23	14	28	10	4	1	16	18	8	23
1700010J16Rik	23	12	31	14	6	4	13	10	12	15
1700010K23Rik	18	10	24	6	3	5	7	22	13	15
1700010M22Rik	21	25	23	5	6	11	11	17	9	7
1700011A15Rik	27	26	41	15	19	11	32	34	31	36
1700011B04Rik	27	19	30	13	8	3	10	32	15	17
1700011E24Rik	24	25	26	10	9	15	18	21	19	14
1700011F03Rik	30	21	43	18	12	7	18	25	26	29
1700011F14Rik	16	11	50	6	5	7	12	36	13	10
1700011H14Rik	13	27	30	7	3	8	18	24	22	22
1700011I03Rik	20	14	21	10	9	8	15	18	20	18
1700011J10Rik	71	129	323	110	133	24	393	471	397	624
1700011L22Rik	27	32	28	12	14	11	25	27	28	29
1700011M02Rik	12	11	13	10	9	5	3	11	5	1
1700012A03Rik	19	18	36	6	11	5	6	8	13	5
1700012A16Rik	21	30	53	15	13	15	38	25	37	51
1700012B07Rik	25	14	27	8	8	16	15	17	19	14
1700012B09Rik	23	35	25	13	15	10	10	25	18	28
1700012B15Rik	59	62	194	47	56	18	142	217	120	201
1700012D01Rik	39	40	97	69	45	14	272	239	254	300
1700012D14Rik	55	39	118	53	60	16	183	184	170	246
1700012I11Rik	29	18	34	5	4	8	12	24	20	20
1700012L04Rik	14	11	13	10	4	1	8	9	13	8
1700012P22Rik	27	23	30	17	10	7	19	16	18	15
1700013D24Rik	22	20	24	11	12	5	16	25	17	14
1700013F07Rik	27	31	66	24	24	10	72	66	66	76
1700013G23Rik	73	75	219	93	72	21	271	314	271	362
1700013G24Rik	20	25	25	11	9	7	14	15	12	20
1700013H16Rik	10	12	20	4	1	5	6	10	9	5
1700013N18Rik	16	16	31	13	9	11	18	22	23	25
1700014N06Rik	8	7	11	8	0	2	1	5	5	3
1700015E13Rik	24	25	35	15	6	14	13	24	19	15
1700015F17Rik	22	15	22	12	13	10	16	12	21	16
1700015G11Rik	21	29	42	10	8	12	8	20	16	11
1700016C15Rik	26	30	45	17	14	15	33	49	44	50
1700016D06Rik	27	25	34	10	9	9	20	18	19	11
1700016G22Rik	37	17	31	13	12	8	12	32	21	14
1700016H13Rik	29	43	61	21	30	20	70	74	66	84
1700016K19Rik	34	21	36	14	14	13	39	36	34	41
1700016L04Rik	61	83	198	78	85	18	366	354	297	423
1700016L21Rik	30	17	31	17	4	10	12	19	19	9
1700016M24Rik	25	26	34	22	7	8	12	35	21	16
1700016P04Rik	22	13	32	9	8	4	9	17	16	8
1700017B05Rik	30	33	74	20	19	20	80	55	64	94
1700017D01Rik	23	28	33	8	3	6	17	19	16	15
1700017G19Rik	19	30	36	11	7	12	46	40	38	46
1700017J07Rik	21	14	23	21	9	8	15	17	17	17
1700017N19Rik	31	16	35	9	6	3	18	16	19	15
1700018A04Rik	26	19	44	15	7	5	10	24	21	13
1700018B08Rik	19	26	24	16	15	10	19	24	18	18
1700018B24Rik	19	18	16	10	4	6	7	13	15	10
1700018C11Rik	34	17	36	8	20	4	32	46	19	40
1700018F24Rik	21	12	29	12	10	11	16	19	16	17
1700018G05Rik	6	11	12	5	2	3	7	11	6	9
1700018L02Rik	41	69	167	60	43	22	264	291	285	326
1700018L24Rik	20	18	33	24	11	10	20	17	20	20
1700019A02Rik	11	19	37	9	9	3	15	15	10	13
1700019B03Rik	20	21	37	11	15	8	14	16	27	27
1700019B21Rik	16	14	18	7	0	5	5	11	3	1
1700019D03Rik	38	48	124	36	43	12	140	136	130	155
1700019E08Rik	26	16	34	9	4	4	14	28	12	9
1700019E19Rik	23	19	41	8	11	11	30	28	31	41
1700019G17Rik	34	40	49	11	22	11	57	42	51	83
1700019G24Rik	20	18	32	16	4	10	9	23	10	9
1700019L03Rik	29	18	30	20	13	8	27	24	23	38
1700019M22Rik	20	14	33	16	6	9	5	14	12	12
1700019N12Rik	28	36	40	15	21	10	31	35	40	65
1700019N19Rik	23	24	38	14	10	13	24	15	17	20
1700019O17Rik	24	25	39	20	4	15	26	20	21	30
1700020A23Rik	19	23	30	9	10	7	22	9	19	25
1700020D05Rik	22	21	30	9	4	9	21	24	19	26
1700020G17Rik	34	15	25	9	6	5	15	21	19	9
1700020I14Rik	32	30	65	19	12	15	109	91	93	162
1700020L24Rik	21	17	30	15	13	10	11	12	18	20
1700020M21Rik	26	23	30	8	6	11	10	30	24	19
1700020N01Rik	24	24	25	8	8	6	11	20	17	20
1700020N15Rik	9	12	12	9	4	1	4	7	7	5
1700020N18Rik	23	27	42	16	14	15	20	22	13	24
1700020O03Rik	28	29	53	19	15	21	31	54	43	87
1700021C14Rik	54	67	208	66	99	25	211	265	241	331
1700021F05Rik	31	24	44	15	15	3	33	32	31	45
1700021F07Rik	26	30	30	18	15	24	24	20	22	19
1700021K19Rik	21	28	37	24	16	10	63	59	72	69
1700021N21Rik	22	19	28	16	14	12	30	25	24	28
1700022A21Rik	15	16	47	9	9	9	10	20	10	13
1700022A22Rik	20	17	26	8	7	7	12	16	13	5
1700022E09Rik	23	16	19	12	4	8	7	22	22	12
1700022H16Rik	22	16	33	12	9	8	31	28	26	37
1700022I11Rik	20	27	31	9	9	12	13	25	14	10
1700022P22Rik	21	15	34	11	13	13	28	39	40	45
1700023A16Rik	22	18	35	16	13	8	18	24	19	12
1700023C21Rik	26	18	28	12	6	6	20	23	23	7
1700023E05Rik	28	22	38	20	12	8	24	29	28	15
1700023F02Rik	14	15	24	7	7	3	10	10	10	3
1700023F06Rik	33	25	43	7	10	14	20	25	23	19
1700023L04Rik	27	19	43	16	21	8	30	47	24	44
1700024B18Rik	23	13	29	15	7	5	12	23	13	4
1700024F13Rik	27	21	28	11	9	8	8	19	8	12
1700024G13Rik	33	29	31	8	11	10	12	30	14	18
1700024P03Rik	21	15	35	18	7	12	11	20	25	18
1700024P04Rik	24	21	30	14	16	13	16	26	18	17
1700024P16Rik	18	16	33	15	14	11	23	27	28	27
1700025B11Rik	38	17	21	15	8	13	21	20	24	27
1700025C18Rik	28	24	34	10	12	10	19	16	23	18
1700025E21Rik	45	56	162	62	60	23	177	252	179	264
1700025F22Rik	21	17	37	9	13	4	16	20	15	8
1700025F24Rik	23	26	44	15	9	9	17	32	9	15
1700025G04Rik	38	41	66	29	36	11	76	73	81	116
1700025K23Rik	39	47	80	31	38	13	106	92	92	109
1700025K24Rik	28	15	26	10	8	7	14	15	18	14
1700025M24Rik	19	27	25	11	8	7	23	20	17	20
1700025N23Rik	23	23	23	11	14	8	20	26	25	22
1700026D08Rik	27	16	35	11	10	10	27	26	29	17
1700026D11Rik	25	21	37	13	11	8	18	19	21	11
1700026F02Rik	19	19	32	11	14	11	8	12	23	11
1700026J04Rik	22	15	38	9	9	13	18	19	18	16
1700026L06Rik	23	35	35	20	22	14	49	29	26	48
1700027A15Rik	24	19	24	14	7	3	11	15	12	6
1700027A23Rik	17	18	28	12	12	5	22	30	16	22
1700027D21Rik	33	25	37	7	9	8	13	14	20	24
1700027F09Rik	38	21	44	15	19	6	30	25	27	54
1700027H10Rik	23	5	22	13	11	10	10	17	11	11
1700027I24Rik	21	32	28	9	11	5	10	16	16	15
1700027J07Rik	26	25	40	14	15	7	11	14	19	15
1700028B04Rik	20	30	29	21	11	9	18	22	22	24
1700028D13Rik	15	26	33	21	14	4	22	18	21	19
1700028E10Rik	35	39	99	28	30	6	117	121	126	162
1700028I16Rik	22	19	39	20	18	9	43	38	25	40
1700028J19Rik	24	24	44	19	15	8	17	25	21	23
1700028K03Rik	15	9	31	12	5	5	16	21	20	12
1700028M03Rik	24	22	27	11	5	7	17	18	13	7
1700028P14Rik	22	13	31	11	7	7	8	20	13	10
1700028P15Rik	15	21	29	8	6	10	7	23	11	15
1700029B22Rik	10	23	27	18	9	6	14	17	23	16
1700029F09Rik	30	37	59	27	13	18	55	60	64	88
1700029F12Rik	27	15	21	8	4	2	10	26	20	14
1700029G01Rik	28	32	43	19	11	13	60	64	64	92
1700029H14Rik	23	16	29	11	13	4	14	24	22	8
1700029I01Rik	48	39	49	18	26	21	15	47	35	18
1700029I15Rik	22	39	22	26	16	9	28	36	29	26
1700029J03Rik	15	25	20	17	11	10	22	24	18	21
1700029J07Rik	40	53	125	49	44	20	193	192	151	229
1700029J11Rik	21	18	23	16	14	6	23	13	18	21
1700029M20Rik	34	25	40	16	14	9	17	26	20	23
1700029N11Rik	21	16	34	16	10	14	13	20	22	13
1700029P11Rik	19	21	28	14	12	12	24	20	16	9
1700030A11Rik	16	29	35	16	15	12	32	34	38	29
1700030C10Rik	33	31	45	16	20	7	27	43	27	20
1700030F04Rik	23	22	31	17	15	12	13	24	20	7
1700030F18Rik	28	18	29	20	10	8	25	25	25	20
1700030J22Rik	31	29	51	19	19	21	58	65	47	70
1700030K09Rik	28	22	38	20	18	18	35	37	31	48
1700030L20Rik	14	17	28	15	5	8	13	24	18	6
1700030M09Rik	21	24	25	17	16	11	16	25	28	12
1700030N03Rik	21	21	35	11	10	1	14	18	11	24
1700030O20Rik	35	21	39	10	11	10	17	26	22	11
1700031A10Rik	22	22	35	14	9	10	12	28	20	25
1700031F05Rik	7	13	15	5	7	5	1	7	9	3
1700031M16Rik	26	18	31	12	8	1	18	16	21	12
1700031P21Rik	115	184	603	184	205	42	831	1141	728	1223
1700034E13Rik	17	22	29	5	7	6	10	13	6	13
1700034F02Rik	66	78	271	79	88	16	347	417	306	378
1700034G24Rik	22	19	42	15	14	5	20	19	16	10
1700034H14Rik	37	44	100	33	34	8	124	129	133	147
1700034H15Rik	57	70	97	45	45	22	125	102	122	202
1700034I23Rik	13	18	23	6	6	7	32	34	34	36
1700034J05Rik	31	30	24	14	10	15	16	22	23	23
1700034K08Rik	11	14	23	16	12	14	11	18	12	4
1700034O15Rik	13	21	24	12	8	7	5	18	10	6
1700034P13Rik	39	54	141	56	36	22	193	176	224	255
1700036G14Rik	20	24	32	16	14	12	12	12	12	15
1700037C18Rik	53	47	154	63	42	13	192	216	198	284
1700037H04Rik	40	40	94	31	38	20	110	104	110	129
1700039E15Rik	22	30	35	20	17	8	25	17	23	19
1700039E22Rik	20	29	42	17	17	3	27	19	21	27
1700040I03Rik	83	100	232	91	81	22	237	304	297	362
1700040L02Rik	27	26	45	23	16	12	39	52	33	35
1700040N02Rik	32	23	38	23	12	9	24	34	33	35
1700041C23Rik	26	22	34	15	13	9	19	30	18	16
1700041M19Rik	27	18	32	10	6	8	20	29	19	16
1700042B14Rik	17	5	21	6	4	4	9	12	12	7
1700042G07Rik	31	28	28	15	8	14	23	26	17	39
1700042G15Rik	25	22	34	12	7	13	13	17	19	29
1700042O10Rik	28	18	28	16	5	12	14	17	13	10
1700044C05Rik	24	23	41	13	6	10	13	18	17	11
1700044K03Rik	9	21	19	9	11	8	7	14	6	11
1700045H11Rik	84	121	375	147	125	34	496	853	558	772
1700045I19Rik	17	11	10	9	3	6	9	15	7	12
1700046C09Rik	22	23	24	14	10	11	8	16	17	15
1700047G03Rik	27	13	26	10	8	5	15	18	27	27
1700047I17Rik2	32	29	64	20	18	18	47	51	41	78
1700047L14Rik	28	16	32	15	14	10	25	16	14	13
1700047M11Rik	21	20	34	10	9	3	13	19	17	15
1700048M11Rik	25	28	38	21	14	10	21	23	33	15
1700048O20Rik	25	18	15	11	8	8	24	18	17	18
1700049E15Rik	25	13	31	10	11	9	15	23	18	16
1700049E22Rik	29	23	41	9	14	15	30	26	31	23
1700049G17Rik	30	29	63	31	27	13	78	105	84	95
1700049L16Rik	23	16	34	4	4	5	3	22	13	2
1700051A21Rik	25	24	43	25	11	13	33	20	19	31
1700052I22Rik	30	30	53	25	20	10	51	38	53	61
1700052K11Rik	165	286	752	286	295	78	821	1026	823	1050
1700052N19Rik	46	70	144	44	60	26	155	173	188	263
1700054A03Rik	29	31	52	24	17	18	52	45	38	50
1700054K19Rik	20	21	27	27	16	13	19	22	18	27
1700054M17Rik	31	27	37	26	23	10	33	27	26	33
1700054N08Rik	26	16	35	19	15	13	38	36	24	32
1700054O13Rik	8	5	8	3	4	4	8	11	13	7
1700055C04Rik	24	30	32	19	12	7	13	23	22	26
1700055N04Rik	22	29	30	18	14	8	40	22	41	33
1700056E22Rik	57	72	142	57	64	36	175	179	167	230
1700057G04Rik	18	16	26	9	10	6	18	19	25	16
1700057H15Rik	18	17	32	13	15	9	14	12	21	14
1700057K13Rik	22	26	31	13	12	10	7	32	15	14
1700058G18Rik	21	20	26	5	6	6	12	16	13	16
1700060C16Rik	20	24	28	7	6	7	9	18	13	9
1700060C20Rik	34	34	39	26	18	6	34	26	31	47
1700061F12Rik	14	17	25	4	2	7	8	19	11	6
1700061G19Rik	25	34	37	21	11	11	22	29	22	24
1700061I17Rik	15	12	32	10	0	6	8	19	16	9
1700061J05Rik	33	18	34	22	10	11	26	37	21	21
1700063A18Rik	19	14	20	14	4	10	14	17	6	9
1700063D05Rik	30	22	31	16	12	6	13	24	19	18
1700063O14Rik	24	14	38	12	11	12	16	27	18	16
1700064J06Rik	24	26	36	11	16	16	21	15	18	15
1700064M15Rik	23	34	34	22	8	12	24	30	27	19
1700065D16Rik	26	21	52	15	17	11	64	66	51	57
1700065I16Rik	18	19	39	9	8	12	17	20	26	22
1700065I17Rik	25	23	25	14	13	10	16	28	11	12
1700065J11Rik	18	26	30	15	9	11	16	24	19	25
1700065J18Rik	20	15	34	6	5	11	15	24	17	18
1700065O20Rik	19	21	29	8	12	5	17	34	22	15
1700066B17Rik	28	12	31	11	6	11	12	19	16	16
1700066B19Rik	30	30	50	22	13	15	35	46	48	57
1700066J24Rik	32	19	42	18	6	8	15	21	25	19
1700066M21Rik	33	32	46	4	11	9	44	62	42	48
1700066N21Rik	25	19	26	9	5	6	12	18	16	22
1700066O22Rik	25	13	30	16	7	6	17	14	24	23
1700067G17Rik	30	42	96	46	27	11	124	136	119	158
1700067K01Rik	26	30	37	20	20	13	42	28	27	41
1700067P10Rik	30	31	39	20	10	13	17	13	19	20
1700069L16Rik	19	13	28	16	9	6	27	25	14	23
1700069P05Rik	20	25	29	14	11	9	15	18	10	14
1700071K01Rik	28	27	24	15	7	5	11	18	13	14
1700071M16Rik	24	21	26	14	9	5	29	16	16	13
1700072B07Rik	22	33	31	23	11	17	19	21	19	31
1700072O05Rik	27	20	39	16	16	7	26	25	8	18
1700073E17Rik	15	18	24	14	5	12	17	24	15	16
1700074H08Rik	23	23	34	12	10	8	24	22	18	22
1700074P13Rik	29	18	32	15	8	16	13	16	14	9
1700080E11Rik	20	18	31	16	11	8	12	14	14	15
1700080N15Rik	20	21	34	15	6	7	17	18	8	15
1700080O16Rik	14	20	16	5	4	3	14	5	6	3
1700081H04Rik	28	29	37	19	14	14	19	15	24	7
1700081H22Rik	22	15	19	5	5	7	5	17	14	2
1700081L11Rik	83	112	278	100	139	39	396	470	415	533
1700084C01Rik	22	25	35	19	9	11	29	34	26	36
1700084E18Rik	68	115	275	117	123	38	364	415	354	497
1700084F23Rik	27	14	37	11	9	8	16	12	15	14
1700084J12Rik	25	12	27	12	10	11	7	22	14	12
1700085B03Rik	29	21	33	16	12	6	32	17	16	26
1700085C21Rik	21	22	26	8	11	11	14	21	20	16
1700086L19Rik	19	22	19	17	12	8	23	21	14	21
