gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
Nptn	25	31	89	26	25	10	119	159	102	132
Nptx1	20	28	49	29	17	9	81	43	48	64
Nptx2	21	18	36	11	12	6	21	25	27	24
Nptxr	19	33	29	22	14	13	22	22	29	32
Npvf	19	23	27	11	7	9	9	20	25	22
Npw	28	24	46	11	11	16	34	28	32	29
Npy	21	21	33	10	7	7	20	16	15	20
Npy1r	19	21	24	8	2	5	12	15	16	8
Npy2r	23	35	61	29	13	8	91	74	78	87
Npy5r	26	22	32	18	10	2	11	14	17	8
Npy6r	17	19	26	12	7	7	12	25	12	5
Nqo1	32	29	61	26	27	21	101	94	100	102
Nqo2	32	27	35	19	13	12	25	38	37	55
Nr0b1	11	8	12	6	3	3	3	4	6	7
Nr0b2	33	34	33	23	16	13	81	58	81	162
Nr1d1	39	57	117	28	29	27	171	185	96	210
Nr1d2	37	35	80	22	19	12	63	77	60	83
Nr1h2	42	39	164	37	32	10	183	187	204	284
Nr1h3	23	32	57	23	24	13	103	88	93	150
Nr1h4	30	17	48	17	13	18	52	57	59	78
Nr1h5	27	22	25	13	8	8	19	27	19	21
Nr1i2	52	49	128	45	48	17	127	130	180	248
Nr1i3	32	22	35	11	11	11	31	39	44	64
Nr2c1	43	39	71	30	36	16	112	109	97	156
Nr2c2	43	69	132	53	46	19	199	207	193	317
Nr2c2ap	29	37	51	25	20	8	87	85	88	133
Nr2e1	25	27	38	17	18	6	24	24	15	26
Nr2e3	31	29	48	22	24	17	35	29	28	33
Nr2f1	16	20	20	12	8	7	18	19	27	23
Nr2f2	19	22	35	9	10	5	20	21	13	4
Nr2f6	67	88	267	90	95	35	363	366	360	469
Nr3c1	40	51	115	35	50	13	196	184	178	242
Nr3c2	56	101	221	82	84	23	356	356	285	415
Nr4a1	25	33	53	23	19	10	32	44	40	61
Nr4a2	39	57	95	33	24	19	62	73	56	72
Nr4a3	31	23	38	13	13	5	16	18	12	17
Nr5a1	26	20	31	13	14	12	11	30	15	26
Nr5a2	25	30	48	19	11	9	31	49	35	52
Nr6a1	31	39	66	27	22	16	116	121	81	164
Nradd	37	45	74	35	40	13	89	83	84	114
Nrap	33	19	67	20	24	10	73	61	59	93
Nrarp	23	39	65	34	31	7	78	60	67	98
Nras	20	16	57	14	14	5	72	95	51	109
Nrbf2	38	24	61	30	16	17	53	78	55	76
Nrbp1	39	32	77	19	33	9	78	90	92	139
Nrbp2	44	47	65	33	32	17	93	111	82	152
Nrcam	22	18	31	14	10	3	14	29	14	12
Nrd1	40	51	114	43	53	17	120	169	159	201
Nrf1	55	112	290	79	115	24	374	368	355	470
Nrg1	20	20	26	7	4	5	11	16	8	3
Nrg2	22	30	37	15	19	6	20	27	13	19
Nrg3	13	21	20	8	18	9	11	18	13	6
Nrg4	24	18	37	8	8	10	30	35	28	29
Nrgn	29	16	36	17	12	13	19	21	25	15
Nrip1	81	118	376	141	146	48	450	464	452	604
Nrip2	28	26	29	9	9	9	28	26	20	33
Nrip3	22	27	46	17	17	23	31	32	32	37
Nrk	8	5	15	7	3	2	2	10	6	9
Nrl	26	21	33	7	4	15	20	21	21	21
Nrm	36	36	36	13	10	15	64	57	45	67
Nrn1	26	37	62	32	18	10	93	57	68	100
Nrn1l	32	21	40	16	10	10	23	21	14	24
Nron	25	31	27	15	11	11	9	19	17	7
Nrp	31	26	64	23	12	11	102	113	86	161
Nrp1	29	42	54	33	24	14	59	59	60	77
Nrp2	25	23	54	12	22	14	48	37	30	70
Nrsn1	24	15	27	19	7	6	9	17	12	7
Nrsn2	26	21	30	16	7	11	18	22	16	10
Nrtn	30	30	47	22	23	11	46	42	41	53
Nrxn1	23	13	29	14	9	13	12	23	17	16
Nrxn2	26	29	40	17	18	18	37	36	33	39
Nrxn3	17	18	23	14	6	7	7	24	12	8
Nsa2	54	85	216	84	70	23	213	293	250	405
Nsd1	38	22	39	12	13	18	26	29	26	23
Nsdhl	20	18	25	18	15	5	35	41	35	47
Nsf	28	28	60	12	16	14	60	58	51	103
Nsfl1c	35	38	51	28	28	14	37	52	52	57
Nsg1	19	24	24	17	8	3	15	14	20	10
Nsg2	23	17	29	21	18	13	23	26	23	24
Nsl1	51	37	128	25	48	11	167	148	158	244
Nsmaf	40	27	76	26	28	13	84	71	93	83
Nsmce1	40	60	129	41	66	18	160	194	164	222
Nsmce2	50	83	162	87	59	22	204	279	216	284
Nsmce4a	29	25	50	18	15	18	40	40	40	52
Nsun2	38	42	126	42	48	26	179	200	180	268
Nsun3	31	49	96	31	38	9	146	160	105	207
Nsun4	30	18	47	14	18	12	52	65	71	112
Nsun5	26	39	91	29	29	11	140	157	130	182
Nsun6	97	135	390	138	141	43	513	784	556	801
Nsun7	28	26	37	23	11	10	27	33	35	46
Nt5c	32	38	54	17	25	7	79	79	67	120
Nt5c1a	26	30	39	17	14	9	32	46	33	56
Nt5c1b	20	15	29	13	5	7	16	12	16	14
Nt5c2	15	33	24	21	8	10	9	22	9	11
Nt5c3	37	41	88	29	32	14	112	124	100	151
Nt5c3l	31	28	67	14	17	12	52	42	37	48
Nt5dc1	26	22	66	31	22	15	36	43	32	63
Nt5dc2	27	21	30	24	20	8	14	18	27	20
Nt5dc3	47	40	78	30	40	19	97	113	85	111
Nt5e	36	28	43	32	22	15	34	30	46	58
Nt5m	46	27	67	32	24	15	82	125	92	135
Ntan1	54	44	151	55	53	17	176	184	155	206
Ntf3	23	24	24	10	8	6	11	13	16	17
Ntf5	22	23	36	17	13	13	23	41	34	29
Nthl1	41	62	120	58	61	17	169	161	182	207
Ntm	21	11	34	9	5	8	7	27	9	10
Ntn1	27	34	30	20	7	10	17	19	26	19
Ntn3	22	29	44	17	7	21	26	28	32	35
Ntn4	32	24	49	16	19	13	72	39	67	73
Ntn5	43	35	47	23	12	10	20	32	21	43
Ntng1	26	19	30	18	11	7	17	18	17	18
Ntng2	20	24	28	14	15	11	17	14	16	13
Ntpcr	33	27	34	21	21	9	36	41	55	48
Ntrk1	29	23	26	15	18	15	33	42	37	35
Ntrk2	31	20	34	12	10	11	11	15	12	17
Ntrk3	16	18	38	20	7	12	15	18	23	19
Nts	21	15	22	10	6	10	24	18	21	18
Ntsr1	18	25	25	19	12	7	11	16	21	24
Ntsr2	33	20	15	14	11	8	7	17	17	17
Nuak1	51	59	132	73	82	23	211	140	144	265
Nuak2	31	15	48	13	8	17	55	40	45	97
Nub1	33	38	82	29	35	18	127	139	117	177
Nubp1	37	22	49	27	10	10	69	68	67	100
Nubp2	79	96	187	72	91	34	282	287	272	402
Nubpl	32	15	37	15	9	8	38	31	30	30
Nucb1	31	27	86	25	20	16	78	137	75	125
