CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
Wdfy1	8.21721644728157e-07	0.000116849119878161	23.9926335174954	0.762261031187392	12.3537975848796	1.31694157611779	0.106602165615022
Wdfy2	0.000904611288333967	0.00748895814964878	23.4967428967429	19.9336376895346	0.302544457684057	0.153260858655066	0.153260858655066
Wdfy3	0.00086707195032687	0.00735888171486829	23.6118460380755	19.88776567281	0.961154070397307	0.342890320310131	0.342890320310131
Wdfy4	0.999691942872409	1	24.6666666666667	0.770690200225168	0.427998527409703	0.0255620338097243	0.0255620338097243
Wdhd1	0.00255991329059113	0.0115566200036913	24.2666666666667	2.74803714302465	1.22050474674861	0.405810709521483	0.332494167353753
Wdpcp	0.0861927149483861	0.208755973747455	26.6626746506986	4.38769071636091	3.15522948531358	1.0345932186652	0.327897930556509
Wdr1	0.833101722373813	1	24.5780814704604	11.7353126340261	138.256880683957	3.03944193281407	0.0219840192963847
Wdr11	0.00178425882043165	0.00972293580222569	23.9766335174954	4.19588744319153	7.4789649670047	0.670869389757586	0.0897008332994328
Wdr12	0.00820257140832936	0.0281260138137843	25.2729493531517	1.83429393633289	0.811691143366817	0.458393362553858	0.458393362553858
Wdr13	0.830845270779185	1	22.3813204508857	18.9563093781046	8.01655140218936	0.615660029402494	0.0767986130837201
Wdr16	0.407773784365755	0.686548566671532	24.5762268369847	22.5365927877213	0.405511122511858	0.100901928389474	0.100901928389474
Wdr17	1	1	NA	NA	0	NA	NA
Wdr18	0.00254323685575397	0.0115103733415184	23.7720110548796	4.12898073619705	4.29215206225461	0.6239363123836	0.145366777163029
Wdr19	4.21879937689829e-05	0.00132624229601061	24.0086977745235	10.5219351647598	0.302577177337231	0.0590183431133123	0.0590183431133123
Wdr20a	0.000757560912726163	0.00685506087932519	23.3804258804259	21.271296730086	6.42681903586122	1.5240428138441	0.237137969085491
Wdr20b	0.214078807115134	0.415217216101333	22.5416365236093	14.3461229908217	0.00935791477977202	0.0176691634927704	0.0176691634927704
