CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
Gpkow	0.0181510440515099	0.0507143571667397	27.177380952381	4.43087951681382	7.22575374846644	0.708642221847515	0.0980717370831955
Gpld1	0.669100393343052	0.997263099073515	22.6301961801054	16.2425132415521	4.90640165024614	0.0963438039357406	0.0196363467167241
Gpm6a	0.0403800295029277	0.100917298167152	23.8198198198198	22.6959470034541	0.0640087181129893	0.0177121401889909	0.0177121401889909
Gpm6b	0.282471513428274	0.470846576159497	24.2542296636855	24.0206965051111	0.594395094796691	0.112475818407535	0.112475818407535
Gpn1	0.00165989661150456	0.0085885620270086	23.6991972240591	16.1619974889018	2.30510934346312	0.289940618694757	0.125781720297554
Gpn2	0.731860961439413	1	23.8484736502692	11.5992262427505	5.00527984144738	0.427086567422618	0.0853272106558416
Gpn3	0.0932379468695862	0.200331980976003	27.3707532720691	0.582181348696532	3.68224719594919	0.513648546044321	0.139493227562066
Gpnmb	0.000149151626183008	0.00319546013390912	23.9052823315118	10.1206723549796	0.484086475227743	0.277749881429125	0.277749881429125
Gpr1	0.0104232786789159	0.031164311116941	23.7290676260225	18.1231110435767	0.0153052182040259	0.0206637930829897	0.0206637930829897
Gpr101	1	1	NA	NA	0	NA	NA
Gpr107	0.00103723309182757	0.00766978811671481	23.8198198198198	9.93375480921097	22.2017592519025	1.05279306561575	0.0474193532895614
Gpr108	0.164737070378451	0.318666095810236	23.2925572107081	18.68538936109	18.3600747713995	0.94676574971051	0.0515665519611795
Gpr110	0.762109039456774	1	27.8818320188183	27.0392721879867	0.0155592906430653	0.0148496468830299	0.0148496468830299
Gpr111	0.366853547867698	0.595813814440482	23.3545059939312	22.6828181478456	0.0378280852207497	0.0253518655538183	0.0253518655538183
Gpr113	0.880990456597513	1	24.5987731566679	23.4814364944048	0.0552705313609681	0.024777296582323	0.024777296582323
Gpr114	0.0917330658385395	0.197646226785398	27.3707532720691	14.5901290660608	2.09403183662458	0.224225993317043	0.107078598040075
Gpr115	0.275856973863261	0.460812267728019	27.214424951267	0.629336166052901	0.0139425358781441	0.0221150693697414	0.0221150693697414
Gpr116	0.00193068902852866	0.00874689234540251	24.0819366852886	18.394015508079	2.77720772654388	0.938478010762409	0.33792143158492
Gpr119	0.322768832934553	0.531316965790865	23.5527919100559	22.8765174268716	0.0817976848003639	0.017946917186147	0.017946917186147
Gpr12	1	1	NA	NA	0	NA	NA
Gpr123	0.214078807115134	0.383676062397487	22.5416365236093	14.3461229908213	0.00512415924139183	0.00967519041687034	0.00967519041687034
Gpr124	0.0215986383000484	0.0590630213675826	26.2666666666667	18.3646227366051	1.27062828750788	0.420890941140772	0.331246317494063
Gpr125	0.00822775449607949	0.0255237035394449	23.1635246418357	15.2907941739922	11.4468759351935	1.6897842003129	0.147619683298711
Gpr126	0.763293074368515	1	26.6740307559021	25.1119823191701	0.870860028577962	0.13900028084707	0.13900028084707
Gpr128	0.00162079798676418	0.00857632419455192	23.6118460380755	4.14024451119074	100.207757369661	19.2412069254399	0.19201314778915
Gpr132	0.680614327433882	1	24.8156672110187	12.6472173368989	0.643404563812699	0.0663444234433793	0.0663444234433793
Gpr133	0.000329520118105164	0.00452516322755634	23.9926335174954	0.36939711862279	15.7622667549696	3.15585699710064	0.200215936334516
Gpr135	0.000206733661382241	0.00361841019361599	23.9926335174954	10.6709480138984	0.0216001745026804	0.0308391292070011	0.0308391292070011
Gpr137	0.678139109258932	1	24.7447573922962	23.3722574210697	11.1461038145141	0.768773610081734	0.0689724071186794
Gpr137b	0.00075791094319344	0.0067156454128585	24.0819366852886	20.1032019947282	0.294006396302584	0.0461121109150106	0.0461121109150106
Gpr137b-ps	0.00170210910371316	0.00866526776460795	24.1732580037665	15.2578306634031	0.621052256413108	0.199466586487707	0.199466586487707
Gpr137c	0.997116743298115	1	28.6604361370717	13.6444886824904	0.116654677654893	0.0172939317054255	0.0172939317054255
Gpr139	1	1	NA	NA	0	NA	NA
Gpr141	0.0545604830473029	0.129699623659249	23.688376618304	19.0974253568527	0.258351741805895	0.155072663727642	0.155072663727642
Gpr142	1	1	NA	NA	0	NA	NA
Gpr143	1	1	NA	NA	0	NA	NA
Gpr146	0.0741811387666806	0.166683650258794	26.6626746506986	16.2358215984066	1.05688200206806	0.0653911007012225	0.0618717137516466
Gpr149	0.275856973863261	0.460812267728019	25.8216374269006	20.1575135580264	0.00391534905059805	0.00682684034885421	0.00682684034885421
Gpr15	0.964909032641478	1	28.5740740740741	0.878488002326024	0.147820457643434	0.0764718712600649	0.0764718712600649
Gpr150	0.214078807115135	0.383676062397487	22.5416365236093	14.3461229908218	0.00601654915956022	0.0113601580335348	0.0113601580335348
Gpr151	0.380050027571302	0.614990525277629	23.9926335174954	12.4032172068836	0.617934300721525	0.108547955445401	0.108547955445401
Gpr152	0.0494356881002316	0.119321686270563	23.3518952915179	11.3879548791932	0.0892653891439337	0.0610191968196252	0.0610191968196252
Gpr153	0.0133254701153201	0.0385320585820625	26.1732580037665	17.1622780021681	0.593957777712792	0.167305924037396	0.167305924037396
Gpr155	0.00161531199884957	0.0085655352243532	23.6166948198198	19.6769593123587	2.27401394678824	0.8688048656287	0.382057843952882
Gpr156	0.000616474542173506	0.0060999804922068	24.3535858726189	21.4164095980169	0.0168223147783242	0.0195638885646379	0.0195638885646379
Gpr157	0.0461240613270107	0.112886274450316	23.7720110548796	5.01984749312521	1.42674038251368	0.25974476596864	0.182054681532889
Gpr158	1	1	NA	NA	0	NA	NA
Gpr160	0.151423952925522	0.296964338734524	23.2622191756887	6.74756388217769	16.575352997051	2.29315392261921	0.138347214869402
Gpr161	0.224015395534774	0.398811521108551	25.1007316270474	21.8476251625938	0.467884864228605	0.159507728046547	0.159507728046547
Gpr162	0.0172773211934216	0.0485354815749991	26.2666666666667	16.1069593312631	0.241264812677172	0.114989256358269	0.114989256358269
Gpr165	0.0224549719363664	0.0611358349117301	26.3622350674374	15.8290600746706	0.0261716374490818	0.0219943211034425	0.0219943211034425
Gpr17	0.0048094457602289	0.0161376224895723	23.9926335174954	12.1322212027708	3.08516619949456	0.770168887230851	0.249636109509117
Gpr171	0.000164468435938869	0.00333653162090642	24.1629083452077	13.0052320404026	1.25814656341998	0.206111149583155	0.163821255468751
Gpr173	0.212628427480192	0.383676062397487	23.0277576824062	22.1640904472124	0.0378140508054943	0.0115367016817863	0.0115367016817863
Gpr174	0.94842001158398	1	24.3524683454261	6.92676052138049	0.109418823981095	0.0250159805955955	0.0250159805955955
Gpr176	0.929770297643661	1	24.4101828955071	23.0923106918772	0.0457729705629805	0.0158327815208485	0.0158327815208485
Gpr179	0.394647713917465	0.636354735486379	22.8755610892954	19.6665061462753	0.0340031367032264	0.014497417294085	0.014497417294085
Gpr18	0.00131355698057001	0.00815265750316138	23.3804258804259	2.40548026059857	3.57822179290954	0.206521491311028	0.0577162353994554
Gpr180	0.000668058801344573	0.00632903768930753	24.0819366852886	15.0536892459223	1.70906749188994	0.500079929692141	0.29260396799142
Gpr182	0.577193724936928	0.883372212053142	22.6730020310433	19.8790242939513	1.00169979310565	0.1628549456882	0.162578595712083
Gpr183	0.049945483550891	0.120327442403105	24.0980009423167	0.286151111368279	1.44157623002777	0.121186790061576	0.0840654746778399
Gpr19	0.880864758102467	1	28.4256352984972	28.1451229997077	1.19710276946656	0.171049177247994	0.142885959009364
Gpr20	0.0365444734731639	0.0927790119399992	26.4600389863548	16.4771137522861	0.382427802650071	0.108606344898756	0.108606344898756
Gpr21	0.00111367951343244	0.00772436688162758	23.556253928347	3.66911011431139	1.05622877332574	0.100364460282814	0.0950215169454217
Gpr22	0.000148103156390023	0.00318716348482988	23.9926335174954	0.161169271861308	0.726379634125313	0.0510476389272399	0.0510476389272399
Gpr25	0.214078807115135	0.383676062397487	22.5416365236093	14.3461229908219	0.00665555871362534	0.012566705063502	0.012566705063502
