CycID	meta2d_phase_diff	meta2d_rAMP_diff
ND5	6.181113232212482	0.2444569235560953
ND4L	3.844453534232869	0.4889637136645689
Pisd-ps3	10.0698979085071	0.1977464020853569
LOC100861738	7.208466835321751	0.0743653493536334
LOC100861749	11.5476578354308	0.2398647276480379
LOC434608	8.69615132517694	0.151987268983334
LOC673652	9.406521828986827	0.1332613134243429
Gm8525	9.3608143006382	0.248526085768175
Gm4017	6.49382874631894	0.1094311646849592
Zf12	11.25076885938605	0.134192981780881
Akap17a	11.867982215531	0.026894485118078
2510022D24Rik	8.652570112019859	0.0603557289001419
Gm25651	7.150084781667292	0.226509924598646
Hccs	8.07716235788541	0.1537966790325708
Prps2	7.47623392418004	0.0541011253446021
Bmx	2.4199808793418605	0.4665448355843289
S100g	11.34980084509926	0.194111165228486
Txlng	8.480016873610651	0.1192819893521489
Gm8737	7.7488639421186996	0.0730961790644075
Gm15204	8.55414200093646	0.212160708357352
Nhs	7.968443576567822	0.043894678262422
Prkaca-ps1	6.1542806770055005	0.1263271005310478
Gm8644	3.5543457318548892	0.353948829397229
Mbtps2	0.7575524914558469	0.2099722544188357
Gm15160	3.0734589506024896	0.216586868298917
Tspyl2	8.0760173865411	0.037733595455192
Gm52430	9.6685504102219	0.301008545595858
Gm52480	5.522927521020199	0.557451157084554
Smc1a	11.5164645290541	0.1350772347753416
Gm15191	11.596335183119953	0.063948322477732
Gm15151	9.091802782401896	0.104919439570431
Phf8	8.253275464328999	0.0523695119821507
Gm6451	2.241209713568889	0.2177414205053399
Tmem29	6.272594578544002	0.079748892041489
Gm5644	11.031950584714863	0.0856335564629388
Gm8202	8.04912545576616	0.151282737653245
Gm4760	1.6977577907554	0.5015103317345542
Ammecr1	7.7734332203082	0.1168376025888719
Gm4995	3.567713724370402	0.302610856711335
Gm15294	0.6108075466955007	0.2846093255458509
Col4a6	1.7650331834725002	0.3963343598337053
Gm6088	8.32363103058733	0.2614717857000499
Gm6275	11.9062196461074	0.1238410931021566
Gm4917	7.161529300136898	0.0645792706682473
Bex3	6.76392655694083	0.074046283018153
Gprasp1	8.963146885900862	0.1030441923136449
Cenpi	11.606766966284187	0.061958508161965
Trmt2b	10.74592378271585	0.0391677462112665
Gm7746	9.02886178095184	0.0754544851813389
Rps12-ps22	10.139610719109502	0.3309403533144657
Rps12-ps21	8.17525286536852	0.203657526784951
Gm16421	5.990134066003598	0.237689132253628
Zfp711	10.66575962514361	0.1932858778980789
Gm5393	11.8539566513183	0.1410654158103245
Gm14886	11.26881809329308	0.1609402590091229
Gm26020	8.469325490943081	0.1325625791659175
Gm9109	7.452906105171399	0.4874655133877849
Pin4	10.7308194181225	0.002044569681476
H3f3a-ps1	7.61105044812933	0.1691204948865773
Tpt1-ps6	9.45645622144012	0.0603995566459999
Marcksl1-ps5	9.5384096227916	0.1081062798742679
Gm14845	0.9618843185363986	0.473898669510946
Taf1	9.043092703023	0.0246752136238929
Nono	10.149486334823608	0.0405191685936856
Med12	11.151997723240155	0.0189123782536814
Gdpd2	6.0644331692951	0.094116885443547
Kif4	8.7483302150448	0.067039264897054
Hsf3	6.693394012078299	0.193282535986748
Gm14925	5.745525798081399	0.3887167732055399
Las1l	7.53500116413683	0.039828818513276
LOC118568447	1.5128354300812	0.456673736490123
Zxda	9.643522534346598	0.0701851115715332
Gm39526	9.29065832168036	0.2017381305603998
Maged1	10.12112367887796	0.0955339308511767
Gm15164	2.0263131651162993	0.4840344019210819
Pola1	6.84588576937209	0.103539510850517
Gm8844	9.42727428399276	0.104208792129623
Gm8839	11.7514362262943	0.114912992316859
Actr3-ps	10.937320305023702	0.0906726178779161
Gm8806	9.39327168302265	0.0275864264063499
Gm8792	8.573831035775102	0.111915132202804
Gm8770	9.49068108670624	0.0714629228026439
Gm14746	0.8455774041225013	0.35591142924387
Tbl1x	9.788084501851248	0.0191566291992612
Gm8666	11.2371732895552	0.008745369175085
Gm6039	10.8824215199803	0.0481284990278277
Gm4989	9.3950295866801	0.0348689552943207
G6pdx	6.449205823700111	0.051646439694172
Fam3a	7.942224034829792	0.0072686098558079
Snora70	7.568578492393799	0.3873428736410689
Flna	4.626172559319013	0.5329993223739108
Mecp2	10.1127621925898	0.1274050517384541
Irak1	8.33753267012181	0.0571786208131152
Xlr4a	10.1444517097436	0.0388633792838339
Cd99l2	6.78149968705283	0.036740764232433
Gm16407	10.38457922940166	0.1322010505836243
Fmr1	8.77401245922181	0.1177921731586383
Gm5391	6.988369972565231	0.012522332162561
Gm8215	4.3273655491661	0.3176626710950594
Gm6743	9.79931061129942	0.047419524851425
Gm8144	11.26374861104945	0.3660887673497825
Gm22287	5.906596154439601	0.261256567375428
Gm14890	1.3811552325368002	0.4334590463642592
Gm5389	6.79560295380515	0.2020241384564542
Fhl1	6.777824242626199	0.166072186376535
Slc9a6	7.872642826291159	0.0191788883160285
Mmgt1	10.93230627801566	0.029351781478367
Atf1-ps	6.338950648546799	0.2241586363784586
Mospd1	9.889338126793	0.1980618029547985
Hprt	7.29562649353204	0.0801350559921991
Gm52442	11.6947148823185	0.508420638671417
Firre	10.983613383044798	0.0420864872601809
Gm7803	8.03477519734	0.1264474909820794
Xpnpep2	2.1261850506295	0.2564659951042933
Apln	7.604908628952298	0.0233531710025099
Gm36658	0.1006133877106023	0.2662359474378154
Thoc2	7.099387602612268	0.0230558452451699
Zbtb33	11.55676399088043	0.0387857326587122
Btg1c	6.841545919042698	0.3033648357465179
Pgrmc1	9.3261296333823	0.0252709974966324
Gm6023	10.380343340136664	0.012281192692186
