CycID	meta2d_phase_diff	meta2d_rAMP_diff
TrnM	10.316658772666129	0.1544200725278829
LOC100861738	5.58666820337335	0.001826090495312
LOC434608	3.2232900957576085	0.030004013103167
Gm8525	11.0298683537766	0.090679012365414
Gm4017	8.63210125033034	0.187669121284516
Bmx	4.971479962825649	0.005347963124155
S100g	5.635221040898001	0.0413513784322889
Gm15209	9.91697101923658	0.0849811088949332
Txlng	11.11582672873511	0.1642164336175983
Gm15204	4.4459552928049195	0.090902988855534
Nhs	5.52794921885272	0.0028666141006779
Prkaca-ps1	10.67317679277957	0.0699769587328136
Eif1ax	3.07038736239292	0.053436321559961
Gm8644	4.27294712640273	0.052852902300619
Gm6568	6.686057597242829	0.0522805695913091
Tspyl2	5.6656543938502	0.102134168542315
Gm52430	5.5098711830854	0.0218532408706726
Smc1a	5.9368264931791295	0.1465012581172342
Phf8	3.4988489717495312	0.0243455284503888
Gm6451	3.8741020687096217	0.040749083909071
Maged2	3.861347872913361	0.2613343115729846
Tmem29	5.152855558766461	0.0245169164904223
Gm5644	7.58523286981052	0.0614447763476322
Amot	5.701206502387151	0.161385851972912
Gm8202	3.9839670061263295	0.0898409454836373
Gm6368	4.308561548917101	0.1199675636810179
Gm15294	9.022351575995089	0.0976594445513554
Col4a6	7.40619225713326	0.113153134442406
Gm6088	9.89045219647244	0.127058350433932
Rnf128	5.283418631359803	0.0342348171140262
Btf3-ps3	9.548226942786515	0.1311913651616619
Gm4917	5.089274121583507	0.005413109005681
Bex3	2.52571433938549	0.3199314609996134
Tceal9	4.42725393384076	0.066507663776964
Gm18614	4.00571897304898	0.0834325307531509
Gprasp1	11.25668895362238	0.0395285051467701
Cenpi	3.6617101917364105	0.0058773853158739
Gm7823	3.60944078537809	0.070394914518166
Rps12-ps22	3.8741311633057194	0.108346732527069
Gm16421	7.165049738191929	0.15321225973396
Gm5648	7.491269296745642	0.03240904254751
Zfp711	11.543345924522	0.1671548043707476
Gm5393	7.984218966570921	0.0691179847880459
Gm14886	3.5546683444158997	0.0088880028200098
Taf9b	4.23749605192529	0.0215882835030046
5530601H04Rik	6.0863136917302105	0.0706655615070686
Vcp-rs	3.5506595071248603	0.0927784114200623
Gm9109	5.7325544086432	0.061114459424111
Ercc6l	3.79878613344727	0.1059509238458131
Pin4	8.734845809159	0.0135964514741146
Nono	4.68153641946337	0.025338971249295
Kif4	7.571217641814901	0.158586873919826
Gm14935	5.842666416957201	0.0410200755910061
Heph	7.2556175937688	0.0260654310599181
Hsf3	4.32394795773413	0.0052193007645348
Msn	6.566654809550339	0.0234545640871269
LOC118568447	3.150175795985501	0.147572103112226
Maged1	11.2483138801332	0.1057316909944995
Gm15164	5.21948218252323	0.041554850854322
Pola1	5.732509039116096	0.0231429912782356
Gm8844	11.00608555893477	0.0397082335218724
Gm8839	5.910913783866192	0.055661491114221
Actr3-ps	6.88501341229048	0.0128869903033131
Gm8792	3.799359538992991	0.03327612549976
Gm17817	0.9364194415506012	0.2339271632346709
Prkx	7.022747815371201	0.001456936268862
Gm5398	11.04628994626783	0.204913367951837
Oat-rs1	3.6805565058686303	0.0494107967495299
Gm8666	8.67268708042211	0.499086718738728
Gm6039	8.15172801385101	0.0970323508232646
Gm8503	5.51604254399484	0.0476430548693889
Fam220-ps	8.585966052087521	0.0344518656019469
Gm4989	10.63614771414148	0.0764864249627999
G6pdx	4.219396617079001	0.0590017684500857
Fam3a	6.42494942484193	0.0228840479547092
Slc10a3	7.330799365946199	0.0343782353155354
Flna	11.639307086822509	0.043887506102852
Irak1	3.4414004456296325	0.1141205519028119
Hcfc1	4.705560649209161	0.059435343666112
Bgn	7.622638842022951	0.1807020922154352
Xlr4a	1.6911467271599996	0.3062859871563455
Vma21	3.0186686324127505	0.2148593061885756
Cd99l2	6.978313800730045	0.2728468282334278
Gm14730	4.26085555152297	0.016146183245963
Ids	8.79667471449573	0.0892849663021854
Fmr1	3.97071385345597	0.0371152699352205
Gm5391	5.69126898712106	0.071753055334118
Gm8215	3.790968793110387	0.0515541712628749
Gm5389	4.105805207273203	0.117464931550782
Slc9a6	3.4414356909810997	0.062434171547086
Gm14639	9.53648955621672	0.1217234441626882
Atf1-ps	8.85745536330856	0.0519861261287869
Mospd1	5.32218079736706	0.057944545660651
Gm52442	6.88457548432403	0.1433844607679554
Firre	5.823292688928599	0.0836396381347372
Gm7803	4.317356251372071	0.0960393212001371
Rbmx2	5.5512555934610806	0.04999192516781
Xpnpep2	4.908846033627901	0.15435005693514
Gm36658	9.664558129521437	0.2074787676004158
Gm14608	4.106495350091301	0.082867515141707
Gm7722	6.6722317853431985	0.0363818227134049
Gm14653	3.4394330986635504	0.073074435573062
Thoc2	10.11054807598086	0.1335069586703918
Ap3s1-ps1	7.565397969259919	0.0747565562167777
Btg1c	9.29448138665572	0.0586362953416188
Ndufa1	6.4781627674864986	0.0537553741620474
Nkrf	4.59292494289192	0.0334716512218823
Pgrmc1	5.952316934970101	0.1153497359891377
Il13ra1	7.988377886781969	0.0273042549481979
Slc6a14	3.3685166247877696	0.2233608458005843
Gm1848	11.72875391160969	0.1211080526889649
Maob	10.52061961662191	0.202324669797394
Gm9434	4.7980519937251	0.0222784172950359
Gm52422	6.4150342594015015	0.0243868505263833
Gm14491	5.007989928765699	0.1586624226395356
Gm14480	3.8070868728142297	0.133751494052137
Otc	4.24853802548949	0.0249701071026879
Cybb	4.9564604033977275	0.227189907078341
Xk	4.0936625336146	0.0130340246145671
Ftsj1	6.134890051429297	0.063411020327
