CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
D16H22S680E	0.00906003726190252	0.047536359816951	22.7680608365019	14.1489904321932	20.7060215383172	0.0208333333333333	0.0771606166746272	24	14	14.0403829579182	0.118959584937301	0.427650825647955	23.2085561497326	13.7524987136974	79.272108101008	0.00154913665403	0.00925967531272268	23.3255389954115	13.9742486041056	65.9250434782938	22.3083596570459	0.338389760249321
D1Ertd622e	0.384019103969087	0.570352832511835	22.1777777777778	17.0713745502356	2.21177090871748	1	1	24	20	1.72049686464405	0.638140137417034	0.937586693384689	20.9661835748792	19.4499778833576	26.1507065162395	0.83198281006534	1	22.3813204508857	18.8706443320019	24.8028280025269	2.01911985621109	0.0814068402202111
D2Ertd750e	0.0096510519696178	0.049020587491436	24	3.10097875051307	0.750556821968994	0.0208333333333333	0.0771606166746272	24	5	0.820236795108583	0.0885838388165306	0.427650825647955	24.2458100558659	2.1882772769868	2.45681643498097	0.00127758918672682	0.00861751410592399	24.0819366852886	3.42647025667821	1.88581161820957	0.890331995837611	0.472121386484463
D330028D13Rik	0.0522579053262	0.125698948880721	22.7680608365019	14.9772581584146	1.14732161695775	0.732142857142857	1	24	20	0.318526856187198	0.191956581168416	0.450529787673055	22.4870466321244	14.1719586279322	2.37011461902691	0.132099787263852	0.293662468992791	23.0850358228754	16.2415675281495	1.6964844518575	1.25772519192283	0.741371481799162
D330041H03Rik	0.0169500525057439	0.0628235490357132	22.5962264150943	9.37893707534386	12.3834547342094	0.0208333333333333	0.0771606166746272	24	11	7.04914750164869	0.146969011355887	0.428680722096431	23.2085561497326	9.3884325330169	27.8107139360687	0.00308990502074891	0.0130407221512485	23.2682608549423	9.91052484689043	20.3540429238453	12.3079487500758	0.604693072335852
D4Ertd22e	0.157923812589571	0.267924566239148	25.1596638655462	12.3068478448249	2.53296063725296	1	1	30	14	4.00696199694981	0.345531572251536	0.582893471014321	25.3801169590643	13.6505434697675	34.2323523610951	0.444042092846183	0.740908851375754	26.8465936082035	13.364615584603	31.7852536236907	2.5181415270617	0.079223578231411
D4Wsu53e	0.00527567252981442	0.0359063692396351	23.7619047619048	7.73733484949295	42.7927924814808	0.0208333333333333	0.0771606166746272	24	8	40.8912780492369	0.0879174033410068	0.427650825647955	23.9779005524862	7.8501922813171	323.130444377725	0.000765465292527745	0.0068698998603083	23.9132684381303	7.86224467202639	289.969687231134	47.5923051156925	0.164128552781301
D730039F16Rik	0.00139706063383405	0.0166393724036569	24.1451612903226	13.0662425470812	5.81852988113029	0.0208333333333333	0.0771606166746272	24	14	4.91764128490606	0.0907671026381561	0.427650825647955	24.2458100558659	13.6778474065265	15.4439599385109	0.000254482866742456	0.00383919256097909	24.1303237820628	13.5824003206609	11.0003532669359	6.25014312461091	0.568176582419144
D730040F13Rik	0.0529892392557204	0.126972004069118	22.8549618320611	22.074898270443	0.15589326747705	0.732142857142857	1	24	2	0.15762506168159	0.252641645943189	0.469612673557843	23.7158469945355	20.5918603629129	1.05880717014481	0.159974677122766	0.341452510680513	23.5236029421989	22.8631613830393	0.946707719708357	0.156070828733515	0.156070828733515
D830030K20Rik	0.00100192667360455	0.0136462647588189	24	9.96444914726468	1.32549429314892	0.0208333333333333	0.0771606166746272	24	11	1.27708080876368	0.103761348893602	0.427650825647955	23.7158469945355	10.2001581913897	2.7844135154532	0.000214633694257782	0.00346256839772454	23.9052823315118	10.3874587062473	1.97992350240679	1.32284244219622	0.668128056759858
D8Ertd738e	0.00639313100784489	0.039680692489414	22.5962264150943	9.58740056004302	48.2220764950582	0.0208333333333333	0.0771606166746272	24	11	39.7980909655225	0.116128390670266	0.427650825647955	23.4594594594595	9.2491485056825	219.927262971175	0.00113566808832577	0.00818453662883699	23.3518952915179	9.93902617038471	189.31755700001	48.6471539586477	0.256960604866907
D930015M05Rik	0.0259166652771192	0.0788607364877521	23.7619047619048	15.7674584943965	0.170640549703372	0.169642857142857	0.499291723901099	24	17	0.188910647661798	0.109097286265998	0.427650825647955	23.2085561497326	15.0428956519158	0.247341099292284	0.0181529714725526	0.0556820378910852	23.6568203038791	15.9280060109334	0.134571798732498	0.205949337368045	0.205949337368045
D9Ertd402e	0.0264536142345668	0.0797981147332576	24	11.3407505863375	0.0969409089164217	0.732142857142857	1	24	14	0.0965554309710231	0.198619663655205	0.456089882029637	23.9779005524862	10.346104826772	1.27129651746165	0.0847076651933241	0.205974120977558	23.9926335174954	11.8731476213569	1.22135219753618	0.0969386906586029	0.079369972768016
Dact2	0.000147395920718107	0.00395943568552578	23.952	12.2921927899015	3.81867767837838	0.0208333333333333	0.0771606166746272	24	14	3.61503392134154	0.0895330130567847	0.427650825647955	23.9779005524862	12.6106883319889	15.5842902162648	3.58000313889217e-05	0.00119485814949855	23.9766335174954	12.9642783674612	13.0678503016003	3.93951074165716	0.301465860928537
Dag1	0.00433211863976557	0.0324880966849989	22.8549618320611	20.1784479863985	3.8453347366434	0.0208333333333333	0.0771606166746272	24	20	3.06721001368508	0.0946835667508747	0.427650825647955	23.7158469945355	19.9780704028841	14.6831217055398	0.000690179010807146	0.00659177212029332	23.5236029421989	20.0616797812685	11.6066530597615	4.21762361518738	0.36337982995367
Dagla	0.0687494239462406	0.147906949899324	24.641975308642	8.97477931323436	0.0565050300297425	0.732142857142857	1	24	14	0.0259564757237958	0.233394086112466	0.456089882029637	25.0867052023121	7.3954329783489	0.550098369563327	0.179964701960252	0.375405206393593	24.5762268369847	9.96847810351433	0.500945934219903	0.055339483272235	0.055339483272235
Dalrd3	0.0124379070395717	0.0554754495189746	23.6679841897233	18.2485661565993	2.67650973148458	0.0208333333333333	0.0771606166746272	24	20	3.1116233906114	0.0879031066899596	0.427650825647955	23.9779005524862	19.1908632446329	20.4749927476347	0.00156767367455668	0.0093194173204978	23.8819615807365	19.1428997580247	18.5062961002384	2.9813259267403	0.161097926380951
Dapk1	0.00533130535569781	0.0360903388102666	23.0307692307692	19.8839727385072	0.0759591524400001	0.0208333333333333	0.0771606166746272	24	20	0.0657400710003039	0.0940078605569893	0.427650825647955	23.7158469945355	19.9178085570489	0.45140250126426	0.000817005790673786	0.00711568914580467	23.5822054084349	19.938965366607	0.390635399763236	0.0835161996430956	0.0835161996430956
Dapk3	0.0447957379717339	0.112720425722984	24	10.5665364815827	7.8866011497155	0.732142857142857	1	24	14	7.83587450639684	0.238371272710184	0.456089882029637	23.9779005524862	11.7133399635245	31.6652547295601	0.137743473492798	0.303727623114974	23.9926335174954	12.0800989246035	27.6569185267756	7.38511676123702	0.267026015717812
Dapp1	0.00591377244961377	0.0381180472242246	23.0307692307692	3.0004113118045	1.85412903669935	0.0208333333333333	0.0771606166746272	24	5	1.55359491554668	0.0980868404388073	0.427650825647955	23.4594594594595	2.5994760055	8.30644159662015	0.000923693248025437	0.00753960562414587	23.4967428967429	3.51288314483381	6.82169923774473	2.08264815113602	0.30529756275572
Dars2	0.00123239832155009	0.0153229728242757	24.1451612903226	23.8758986788351	0.973668358160294	0.0208333333333333	0.0771606166746272	24	2	0.944128974240278	0.107101646067087	0.427650825647955	24.2458100558659	0.837595529952601	3.92395475449911	0.000263364540537436	0.00390481154016723	24.1303237820628	0.858083274543563	3.35022907788637	0.977121458510816	0.29165810331014
Daxx	0.696307882057832	0.955139469326691	27.7222222222222	14.7728008304221	0.540457711607335	1	1	30	14	1.70978419690907	0.843989398316883	1	28	14.1607378059906	12.9526988031819	0.983104375151749	1	28.5740740740741	14.3382854147288	12.3060629678784	0.636218217372714	0.0516995743507398
Dbndd2	0.000102982168153964	0.00316910242749731	24.0481927710843	11.4195723572581	5.46971834150238	0.0208333333333333	0.0771606166746272	24	14	5.42453431653354	0.0952132249261288	0.427650825647955	23.9779005524862	11.7887395778132	21.5883805691265	2.75859261004152e-05	0.00101133451645852	24.0086977745235	12.3918898427923	18.1085355280154	5.42515850934071	0.299591234252353
Dbr1	0.0264117374000097	0.0797011606092133	24	23.8094201082265	0.558191824941548	0.732142857142857	1	24	2	0.545706122846812	0.194014701171883	0.452376866128246	23.7158469945355	1.719724045281	4.53184361150274	0.0832302849301557	0.203245478264309	23.9052823315118	1.18587084711021	4.15241330934768	0.555826922364041	0.133856357967256
