CycID	meta2d_phase_diff	meta2d_rAMP_diff	meta2d_rAMP_diff_sub
0610009D07Rik	9.20583887178896	42.45521975732265	0.1062210082962947
0610012H03Rik	3.0158314361718004	2.291968677049121	0.15878266636973
1110003E01Rik	1.6785799908906602	2.58594516717956	0.0669722438616363
1110005A03Rik	2.480194795727183	7.385786864174271	0.172683524607977
1110020G09Rik	1.2686590342637205	2.045221295427485	0.2048284308507119
1110031I02Rik	5.105178445517409	2.5994615303237527	0.1151014475918859
1110032A04Rik	8.832156970257401	2.130153032303468	0.0930375405920755
1110038B12Rik	5.48685964661191	2.830745343837298	0.1070536381178842
1110059G10Rik	0.9274417194410502	3.4394584434233426	0.0859165082166158
1190005I06Rik	4.209698597482281	3.318389377658367	0.0784992813957654
1190007I07Rik	8.083582391972785	2.2304649187972263	0.126398253346381
1200009I06Rik	8.16357011460408	4.373851708947696	0.078499940723557
1600012F09Rik	0.74043863681829	3.632518937629292	0.1821120823005493
1600020E01Rik	3.5873459851346023	3.938034395076451	0.221060788219242
1700011J10Rik	5.77351794792164	4.036954257987707	0.2142838605692865
1700019D03Rik	3.74497180726088	2.0528476898814287	0.185658217379881
1700027F09Rik	11.77601244177356	2.3136597058735098	0.1007370465772014
1700030K09Rik	2.473367307027999	2.128417464217008	0.0974494916369873
1700052K11Rik	2.58433647039971	2.253171767555317	0.146498885366025
1700066M21Rik	8.58603874921029	7.960756927025279	0.1081528498003167
1700084C01Rik	10.6164399769469	2.099572143527994	0.0590682938209294
1700109H08Rik	8.804808498318671	2.7510627827273	0.0705248392267724
1810012P15Rik	0.938246447732234	2.2880815228576448	0.1271775610746922
2010001M09Rik	5.327040443663169	4.65961489149373	0.2254612927059177
2010109I03Rik	0.2823978689627004	1.56877176334261	0.237851551227723
2210010C17Rik	0.3580738174216975	2.2187643566634003	0.126181197407113
2210039B01Rik	10.5449091232019	2.214798676794966	0.080692174704342
2310034G01Rik	0.3769674861381986	2.2430217844218605	0.206794364263937
2310035K24Rik	3.5820969537305007	2.8999252365892616	0.1083394985201429
2310057M21Rik	10.52269430403648	2.522272780201002	0.0777546408907282
2410076I21Rik	3.179632574035301	2.169695072699066	0.170849775935817
2610001J05Rik	1.03832855946031	2.0546247579263603	0.0778797183926885
2700038G22Rik	0.1210641416497004	2.413001884092353	0.116701899462626
2700046G09Rik	7.205235849882176	3.394376344102631	0.1744035213340899
2700097O09Rik	2.1890294104166976	2.197651305003869	0.0857195193891415
2700099C18Rik	3.89686885435579	2.941902040093496	0.0552283392009692
2810001G20Rik	1.02713664645787	2.333384837299489	0.159649947020716
2810008M24Rik	10.84570700510751	2.553401039866724	0.0837968233698576
2810432L12Rik	4.68279306086232	2.9177905177697387	0.0797211829188963
3000002C10Rik	0.0548626619527006	2.0396437603335413	0.1628905683007
3830406C13Rik	2.855736904068176	2.204086749867074	0.0921500871799126
4632427E13Rik	9.104869227851918	3.12233508637128	0.1497263652519039
4632428N05Rik	8.008026872682482	8.0235087707193	0.1784453715468152
4922501C03Rik	0.33675199260718	2.8258786691655886	0.1152133839777633
4930430J02Rik	2.1497292192843	2.0484670547607826	0.3143934351945179
4930471I20Rik	3.3273944407538	2.353235105752057	0.281550356420502
4930473A06Rik	0.3738410943556012	2.108043371348025	0.027728284347021
4930515G01Rik	2.8902089570674008	5.046390907069272	0.1916262363297259
4930523C07Rik	11.088895105670002	3.235720119748749	0.0802690930306068
4930562F07Rik	4.6459867004443804	5.399968981413781	0.2138022223626188
5730469M10Rik	2.2228327249925144	2.342521119895044	0.164866350061626
5830418K08Rik	6.208807849725112	3.0555582708674107	0.0613998629475672
5930416I19Rik	11.75993018062103	4.136881635286101	0.0402497590341378
6330407A03Rik	7.79271115878293	5.1637559111497815	0.0495295076938801
6430527G18Rik	10.27614954178819	2.697114976049345	0.0645708424037279
6530401N04Rik	8.07263037704454	8.290117461975026	0.135983639292685
6720401G13Rik	9.1673450915421	2.1995777087276203	0.0806700583700028
6720456H20Rik	9.52859767567396	2.7061973166326707	0.086925385580737
9930021D14Rik	0.7198187904003	3.411359132317766	0.1213410023678321
A230046K03Rik	1.172673038746872	8.655001214367818	0.0957054140315835
A330069E16Rik	6.296330387506199	3.282486698124867	0.1425137475946595
A630007B06Rik	7.571329349571901	2.200512408209676	0.0928724179975331
A630072M18Rik	2.302287219879404	3.2440887554279008	0.0723900803346995
AA467197	7.579848882790028	4.383591391713591	0.364456900320668
AI662270	7.65961240589381	2.478237292281528	0.1039921982742226
AU019823	4.942301388514871	5.237583366394692	0.0863834973672864
AU021092	4.272318865590801	2.2908158767739617	0.175567577262268
AW554918	0.4726684560421192	2.575095621519337	0.0251173091033501
Aaas	2.8926406319890288	2.211162654757962	0.0746215292100598
Abca1	2.3527679708982507	2.1366581468797547	0.24997274068567
Abcb6	0.4503928036203604	2.751973774300004	0.1507136669363407
Abi2	4.3387510161091	4.635049825441594	0.230666395500957
Acaca	11.922493566137128	2.016238677946581	0.0421895161191041
Acad11	2.28291570420568	2.032107899865067	0.0799101360139654
Acbd4	1.5204074204405416	3.0836674409175844	0.0689261752440366
Acer2	2.1586184109546984	2.6741146453821485	0.2943982200505369
Ache	5.478089416473701	3.7723345915980735	0.2059465446993634
Acot13	1.3083410854478998	7.9925799911408255	0.0834953920016316
Acsf3	3.0044765182262	2.015462897894325	0.0790408100671988
Acsl1	0.0797662412206001	3.811930037533616	0.2395436126705928
Acsl4	9.7803694227244	2.55320156656763	0.073601227852513
Acss1	5.078166297796599	1.6127387851607136	0.2074801069309
