CycID,WT_meta2d_pvalue,WT_meta2d_BH.Q,WT_meta2d_period,WT_meta2d_phase,WT_meta2d_Base,WT_meta2d_AMP,WT_meta2d_rAMP,KO_meta2d_pvalue,KO_meta2d_BH.Q,KO_meta2d_period,KO_meta2d_phase,KO_meta2d_Base,KO_meta2d_AMP,KO_meta2d_rAMP,rAMP_meta2d_WTdivKO,rAMP_meta2d_WTsubKO,phase_meta2d_abs_WTsubKO
0610007C21Rik,0.0025291706648579,0.0134759727843769,23.2682608549423,21.2623707795858,17.137550454699,1.21873295610001,0.0711147698337393,0.0002798406161794,0.0041124019293639,24.1303237820628,13.6325825422112,16.0315586947872,2.97810932674232,0.185765425773021,0.38282026667670366,-0.1146506559392817,7.629788237374601
0610007N19Rik,0.0127271003897012,0.0483358761477963,26.1732580037665,4.72629066363267,2.86348315472694,1.0166099147336,0.355025631303406,0.285948712489435,0.476130906781313,24.6101689517349,13.3167091193718,3.12030456209964,0.509358103494175,0.163239867569668,2.1748708608323706,0.19178576373373799,8.59041845573913
0610007P08Rik,0.0011956474048066,0.0097083230638799,23.7290676260225,3.75314290158845,2.7239389842279,0.356258425657264,0.130787961007961,0.49081060617107,0.771468049416053,26.380487804878,12.7545694072759,2.36085507687899,0.175190983642547,0.0742065810639026,1.7624846628540083,0.0565813799440584,9.00142650568745
0610007P22Rik,0.0019218745320934,0.0116176918934353,23.2682608549423,9.97800855445597,3.26028758964586,0.802132796312889,0.246031300692716,0.375233550629408,0.607873125925622,24.380487804878,24.0089542720481,3.23163046160599,0.384768237050281,0.119063191667981,2.0663926209772505,0.126968109024735,9.96905428240787
0610008F07Rik,0.30938276078828,0.606435049226303,22.8755610892954,14.1818006250063,2.43797698076642,1.1693451119687,0.479637470408392,0.478032722866412,0.756134849530247,24.380487804878,10.6897770848056,1.89412462453394,0.147331130290071,0.077783229456891,6.166335259636096,0.401854240951501,3.4920235402007
0610009B22Rik,0.0053670677481372,0.0234555883946865,24.480658436214,1.1033229941512,7.72720831622099,3.61228106610076,0.467475564042689,0.0344894402524364,0.0881969713743462,24.1303237820628,12.7522877108008,7.651169191295,2.16147607552642,0.282502715792197,1.6547648497176008,0.18497284825049198,11.648964716649601
0610009D07Rik,0.0007348250442429,0.0078738991267726,23.8819615807365,3.26912820480901,18.389020715427,3.40656809439869,0.185250109133916,0.651460818256706,0.977422316356384,26.380487804878,12.7179970091494,17.8007116434021,1.89219222470389,0.106298684154307,1.7427319125136138,0.07895142497960901,9.448868804340389
0610010F05Rik,0.0353055871738218,0.119290323082733,26.4600389863548,4.91986947742222,1.87409088471673,0.315057005260089,0.168111913797452,0.0038793312268558,0.0136186905506037,24.2666666666667,3.05668606416315,1.67181550076141,0.237676010461107,0.142166411516618,1.182500929748805,0.025945502280834004,1.8631834132590703
0610012G03Rik,1.45220702574278e-06,0.0001578630469152,23.9926335174954,10.4938732417425,8.3291476869244,0.829178127223799,0.0995513776908402,0.120143062255265,0.24559649009176,23.4091734319871,11.9226664627374,8.33005703005676,0.495225145434099,0.0594503907532942,1.6745285679274358,0.040100986937546004,1.4287932209948995
0610012H03Rik,0.0017025912649798,0.0112353425765365,23.6780875363553,7.57033955738117,0.365143738818834,0.18578809958636,0.18578809958636,0.0118854726048476,0.0349282149073484,23.0277576824062,8.76794040223399,0.368156393269891,0.220749034896293,0.220749034896293,0.8416258747117173,-0.034960935309932994,1.1976008448528193
0610037P05Rik,0.00105512379456,0.0092102607252724,24.0819366852886,7.57842617280518,11.0379783861076,0.849844082835004,0.076992729384632,0.224476868818677,0.399449659552428,24.6101689517349,13.3582577666884,9.51882374854234,0.942260751209191,0.0989892003571852,0.7777891841414742,-0.021996470972553195,5.77983159388322
0610039K10Rik,0.0018490453318486,0.0115232818431638,23.647270800212,15.5423374377021,1.54673014756423,0.802295917353597,0.518704519089541,0.0009516453583745,0.0073802493461254,23.6118460380755,15.3663789960354,1.38950364043166,0.694801853455282,0.500036007994506,1.0373343335211174,0.01866851109503498,0.17595844166670105
0610040B10Rik,0.194730695334177,0.457392989252723,23.2321163192353,5.945270050246,0.876526208822753,0.823030935120195,0.823030935120195,0.891632212323772,1.0,27.3333333333333,2.76907789716066,0.309160203814878,0.172068876892509,0.172068876892509,4.783148178704859,0.650962058227686,3.17619215308534
0910001L09Rik,0.0003200846543901,0.0050688422839197,24.1303237820628,9.20239846768306,12.5264763323295,2.28357431873179,0.182299815059574,1.06486909076109e-05,0.0007990983760766,23.9926335174954,10.1840132796356,12.5482406930451,1.77322131337686,0.141312344634867,1.2900487606416366,0.04098747042470699,0.9816148119525394
1110001A16Rik,0.580295429026164,0.999586269191828,26.380487804878,12.7561392065805,3.94688233168375,0.358548267778723,0.0908434145351794,0.0004592659367167,0.0053127317184692,23.8819615807365,14.9858679684207,2.81626922159812,0.379155360698358,0.134630367647594,0.6747616910099322,-0.04378695311241461,2.2297287618402013
1110001J03Rik,0.122247600274064,0.324085005718011,23.1062465013665,22.0456967627877,16.2507780663469,3.25434435074941,0.200257756118687,0.0802697176185404,0.177265468099497,23.9052823315118,11.9794614035236,15.5803880672844,2.59950995458145,0.166845006899404,1.2002622064646415,0.033412749219283,10.0662353592641
1110003E01Rik,0.0027530509895571,0.0142650967878953,24.480658436214,1.12856851292376,18.0891710389411,1.34473829107326,0.074339409372514,0.0015577121642388,0.0085026605875442,23.3235792183161,10.2036600893775,16.9711908356081,2.27734151897599,0.134188669553923,0.5539917015321558,-0.059849260181409,9.07509157645374
