CycID,WT_meta2d_pvalue,WT_meta2d_BH.Q,WT_meta2d_period,WT_meta2d_phase,WT_meta2d_Base,WT_meta2d_AMP,WT_meta2d_rAMP,KO_meta2d_pvalue,KO_meta2d_BH.Q,KO_meta2d_period,KO_meta2d_phase,KO_meta2d_Base,KO_meta2d_AMP,KO_meta2d_rAMP,rAMP_meta2d_WTdivKO,rAMP_meta2d_WTsubKO,phase_meta2d_abs_WTsubKO
0610007C21Rik,0.827808598934286,1.0,24.7151283277539,7.6528593708417,43.7318065547211,4.96018816748759,0.113422896474239,0.001546184174852,0.0079136380082655,22.8485832609544,8.00295758163106,40.379219483843,8.05450558098166,0.199471552049304,0.5686169045609266,-0.086048655575065,0.3500982107893602
0610007N19Rik,0.0014398489219098,0.0108363654061432,23.9918218327857,12.0669781260037,4.11087987762246,0.707594551352988,0.172127275040259,0.0376631363404653,0.111286363608312,23.1601671948923,11.6120695916237,3.4206317726268,0.750214969059685,0.219320587226954,0.7848204184413424,-0.04719331218669501,0.45490853438000123
0610007P08Rik,0.184951929026047,0.537279810805812,23.0036700667811,2.13897124420836,0.878306948073644,0.13282800455616,0.13282800455616,0.0153036340275774,0.0522840068655297,22.8689202411388,2.93474484413938,0.910548660073661,0.136475326147679,0.136475326147679,0.9732748644427327,-0.0036473215915189816,0.79577359993102
0610007P22Rik,0.925494056093123,1.0,26.9103931271114,24.8852176771603,5.2665746735925,0.327825851529487,0.0622465021094758,0.18427800461109,0.431490611098921,24.6046808209149,7.19571247993702,4.87099501118653,0.558956758821405,0.114752069656759,0.5424433937938079,-0.05250556754728321,6.310494802776724
0610008F07Rik,0.16742061583105,0.49595132892878,23.2811035328786,16.257622445453,2.55819960680226,1.16209401977704,0.454262449531703,0.27719366129989,0.612728633867289,22.6563282805084,20.9084665899691,1.92505760982309,0.690546142653706,0.358714533596304,1.2663619870025347,0.09554791593539902,4.6508441445161
0610009B22Rik,2.28665752999291e-10,3.12142880659908e-07,24.0022519064435,23.5741046192407,19.9745242317546,3.97150188591514,0.19882835955619,1.18009093386107e-07,6.42151470855813e-06,23.5656804570038,3.51475996160234,20.2148092725928,4.34098297305554,0.214742712360935,0.92589106922522,-0.015914352804745013,3.940655342361641
0610009D07Rik,0.993894752999928,1.0,23.4756554307116,21.117151691534,47.4470656759015,0.121573958268658,0.0025623072056573,0.077150420498949,0.203879385671595,22.9106836792992,6.32299056332296,42.9239604450568,4.66941073168793,0.108783315501952,0.023554229744094553,-0.1062210082962947,9.20583887178896
0610010F05Rik,0.128467560476503,0.399484141072704,22.606965537828,9.34621868569645,0.978458778651681,0.128685065871013,0.128685065871013,0.312331372870371,0.679615071282709,23.6888607772858,6.88409635911608,1.03513059146273,0.0922036906027165,0.0890744524054929,1.4446910690531223,0.0396106134655201,2.462122326580369
0610012G03Rik,0.998928094678291,1.0,24.0,13.0555831642031,23.4057833333333,1.05761151116277,0.0451859053850409,0.0008521735355039,0.0048446023842688,24.1581273994558,11.4309856361866,19.987485684554,0.844920160417539,0.042272458564935,1.0689206854536397,0.0029134468201059,1.6245975280164995
0610012H03Rik,0.250896658849754,0.691050079898394,24.0934809348093,5.27961851915054,0.396342418372885,0.122899780149773,0.122899780149773,0.0010760583385658,0.0058582600351174,23.3434160112926,8.29544995532234,0.402229790534275,0.281682446519503,0.281682446519503,0.43630613717090005,-0.15878266636973004,3.0158314361718004
0610037P05Rik,0.87603507966525,1.0,24.3905506979598,9.16755841402692,18.3190320472286,1.4430991164445,0.0787759480262943,0.0108518815355629,0.0394709490271386,23.8388057990946,9.46030152550468,17.7670398931343,1.58551864089465,0.0892393246388411,0.8827492626721128,-0.010463376612546801,0.29274311147775833
0610039K10Rik,0.952415049608158,1.0,24.4403287417525,18.6799429466514,0.294481832453773,0.101822725836888,0.101822725836888,0.971415782746555,1.0,26.6666666666667,25.8954240269667,0.273370286664242,0.094635106969161,0.094635106969161,1.0759508716999628,0.007187618867727008,7.2154810803153
0610040B10Rik,0.0002535272617549,0.0027559835000963,23.4529662807979,0.759681149016895,1.55481489503712,0.687842872131586,0.44239534514825,3.29332631078261e-05,0.0003302269395161,23.3978040426195,2.05004811640643,1.07739307172607,0.456341305970065,0.423560646476935,1.0444675368875203,0.018834698671315042,1.2903669673895353
0910001L09Rik,0.47808273778299,1.0,21.2370761954936,14.517578984345,49.3528872818487,5.44256922872462,0.110278638768239,0.102109504281829,0.259603650066469,23.4092662260634,8.80961333899654,42.5888439471381,2.79672843660271,0.065668099375368,1.6793334939979145,0.044610539392871004,5.707965645348461
1110001A16Rik,0.908043726165531,1.0,26.6318082788671,3.51528446715232,5.99857260988284,0.629870961268655,0.105003473698213,0.673821599679484,1.0,23.5893886966551,6.02947608557697,5.29169000716285,0.414587923200141,0.0783469784962749,1.3402364164331562,0.026656495201938107,2.5141916184246504
1110001J03Rik,0.953170322000148,1.0,26.6666666666667,3.68656411634255,44.6972999978188,4.00306727518866,0.089559487382549,0.964478338515994,1.0,27.7396628267998,3.48547616854504,39.048829319043,1.31314845744838,0.0336283694120375,2.6632123099757132,0.0559311179705115,0.20108794779751005
1110003E01Rik,0.991867301897289,1.0,26.8539180118127,4.18444684498097,32.610466962965,1.37709436056326,0.0422285998580516,1.08657764819053e-06,2.88221845266322e-05,23.6998472917151,5.86302683587163,32.7117183460593,3.57214724291049,0.109200843719688,0.386705802076492,-0.06697224386163639,1.6785799908906602
