tracking_id	q27_FPKM	q28_FPKM	q29_FPKM	q30_FPKM	q31_FPKM	q32_FPKM	q27_FPKMr	q28_FPKMr	q29_FPKMr	q30_FPKMr	q31_FPKMr	q32_FPKMr
Psenen	247.3	259.204	275.925	271.41	236.976	251.158	247.3	259.204	275.925	271.41	236.976	251.158
Psg23	1.3427	1.51672	1.43964	1.41714	1.27617	1.13818	1.3427	1.51672	1.43964	1.41714	1.27617	1.13818
Psip1	1.64886	1.94037	1.47969	1.44348	1.61119	1.64704	1.64886	1.94037	1.47969	1.44348	1.61119	1.64704
Pskh1	4.0996	4.92503	4.41974	3.79357	3.2999	4.33287	4.0996	4.92503	4.41974	3.79357	3.2999	4.33287
Psma1	95.7793	101.035	89.7533	89.0335	92.6845	89.1853	95.7793	101.035	89.7533	89.0335	92.6845	89.1853
Psma2	122.301	131.463	126.531	139.239	117.825	124.105	122.301	131.463	126.531	139.239	117.825	124.105
Psma3	67.0609	65.6154	68.3026	68.7003	65.2833	63.3407	67.0609	65.6154	68.3026	68.7003	65.2833	63.3407
Psma4	136.77	152.975	155.357	148.683	134.909	135.957	136.77	152.975	155.357	148.683	134.909	135.957
Psma5	74.7925	79.3222	80.3179	69.8187	64.7818	71.7826	74.7925	79.3222	80.3179	69.8187	64.7818	71.7826
Psma6	117.192	119.72	127.023	126.862	115.937	129.899	117.192	119.72	127.023	126.862	115.937	129.899
Psma7	121.426	130.21	136.392	137.125	113.22	118.685	121.426	130.21	136.392	137.125	113.22	118.685
Psmb1	140.499	160.945	154.033	156.122	140.096	140.062	140.499	160.945	154.033	156.122	140.096	140.062
Psmb10	219.136	262.427	259.297	250.878	215.36	214.024	219.136	262.427	259.297	250.878	215.36	214.024
Psmb2	110.553	114.687	125.088	121.528	114.963	125.277	110.553	114.687	125.088	121.528	114.963	125.277
Psmb3	158.107	163.475	159.637	169.073	150.003	155.311	158.107	163.475	159.637	169.073	150.003	155.311
Psmb4	175.942	166.37	203.431	191.97	178.279	192.332	175.942	166.37	203.431	191.97	178.279	192.332
Psmb5	75.0845	80.3445	76.1793	75.7784	65.6535	81.6856	75.0845	80.3445	76.1793	75.7784	65.6535	81.6856
Psmb6	109.177	113.377	116.638	126.032	107.027	102.701	109.177	113.377	116.638	126.032	107.027	102.701
Psmb7	97.5507	104.7	104.269	105.062	93.8742	97.8241	97.5507	104.7	104.269	105.062	93.8742	97.8241
Psmb8	189.673	221.335	222.69	209.456	180.373	188.667	189.673	221.335	222.69	209.456	180.373	188.667
Psmb9	168.943	188.426	180.61	168.328	161.268	165.082	168.943	188.426	180.61	168.328	161.268	165.082
Psmc1	80.7379	72.4971	73.9212	78.4577	72.5306	73.8633	80.7379	72.4971	73.9212	78.4577	72.5306	73.8633
Psmc2	48.1538	48.25	46.4502	45.2399	43.6394	46.0499	48.1538	48.25	46.4502	45.2399	43.6394	46.0499
Psmc3	81.3309	76.1123	84.2943	78.7238	71.0287	74.7254	81.3309	76.1123	84.2943	78.7238	71.0287	74.7254
Psmc3ip	0.97573	0.963811	0.535995	1.00267	0.577613	0.817382	0.97573	0.963811	0.535995	1.00267	0.577613	0.817382
Psmc4	63.4328	58.5009	71.3968	70.5887	61.6727	72.7277	63.4328	58.5009	71.3968	70.5887	61.6727	72.7277
Psmc5	95.2201	89.7627	100.808	102.887	98.9308	101.379	95.2201	89.7627	100.808	102.887	98.9308	101.379
Psmc6	53.1909	52.0481	55.3939	52.2965	55.1562	53.5454	53.1909	52.0481	55.3939	52.2965	55.1562	53.5454
Psmd1	23.1405	21.2247	24.7778	22.4021	22.0516	22.8316	23.1405	21.2247	24.7778	22.4021	22.0516	22.8316
Psmd10	18.2784	19.0635	18.8744	18.2564	16.176	17.9368	18.2784	19.0635	18.8744	18.2564	16.176	17.9368
Psmd11	41.937	36.2309	39.9702	39.8024	43.2985	45.5208	41.937	36.2309	39.9702	39.8024	43.2985	45.5208
Psmd12	25.8534	24.5733	25.7094	25.7828	25.8521	26.5353	25.8534	24.5733	25.7094	25.7828	25.8521	26.5353
Psmd13	64.1489	61.5587	58.0984	59.6086	54.8696	55.7334	64.1489	61.5587	58.0984	59.6086	54.8696	55.7334
Psmd14	37.06	36.3416	39.2423	35.7031	33.2775	37.0263	37.06	36.3416	39.2423	35.7031	33.2775	37.0263
Psmd2	59.9361	52.5826	52.372	51.1745	49.7726	50.9544	59.9361	52.5826	52.372	51.1745	49.7726	50.9544
Psmd3	48.4267	43.7392	49.7999	44.9516	41.4073	45.2578	48.4267	43.7392	49.7999	44.9516	41.4073	45.2578
Psmd4	86.2831	88.0727	84.8099	89.4715	76.8924	89.0542	86.2831	88.0727	84.8099	89.4715	76.8924	89.0542
Psmd5	11.5889	13.575	13.9458	12.6006	9.00641	13.0847	11.5889	13.575	13.9458	12.6006	9.00641	13.0847
Psmd6	37.872	40.3287	39.8837	41.2617	38.0543	38.6887	37.872	40.3287	39.8837	41.2617	38.0543	38.6887
Psmd7	38.5979	35.0065	34.0095	32.2633	32.5112	33.3089	38.5979	35.0065	34.0095	32.2633	32.5112	33.3089
Psmd8	98.6074	106.921	96.7861	108.142	102.113	97.8007	98.6074	106.921	96.7861	108.142	102.113	97.8007
Psmd9	5.85268	6.00383	7.01452	7.21928	5.84024	5.539	5.85268	6.00383	7.01452	7.21928	5.84024	5.539
Psme1	264.26	297.77	306.449	319.536	263.353	277.396	264.26	297.77	306.449	319.536	263.353	277.396
Psme2	504.992	574.993	580.835	593.651	523.065	514.164	504.992	574.993	580.835	593.651	523.065	514.164
Psme3	26.563	21.128	24.0291	22.1466	25.3217	24.5997	26.563	21.128	24.0291	22.1466	25.3217	24.5997
Psme4	14.9315	17.3268	15.4122	13.9406	13.7614	13.5363	14.9315	17.3268	15.4122	13.9406	13.7614	13.5363
Psmf1	7.98959	8.98627	9.29375	8.01447	7.11151	8.00589	7.98959	8.98627	9.29375	8.01447	7.11151	8.00589
Psmg1	3.49956	3.71222	3.68978	3.45118	2.27216	3.21534	3.49956	3.71222	3.68978	3.45118	2.27216	3.21534
Psmg2	7.58202	8.33452	9.15168	5.01205	4.26788	3.72513	7.58202	8.33452	9.15168	5.01205	4.26788	3.72513
Psmg3	10.4032	8.30181	8.77953	10.4499	8.91837	9.10081	10.4032	8.30181	8.77953	10.4499	8.91837	9.10081
Psmg4	9.26737	9.4785	9.97022	7.98903	7.20497	7.06505	9.26737	9.4785	9.97022	7.98903	7.20497	7.06505
Pspc1	4.92737	4.99322	4.43666	4.04603	4.28027	4.39089	4.92737	4.99322	4.43666	4.04603	4.28027	4.39089
Psph	2.78285	3.38106	3.81567	3.58099	2.59312	3.30257	2.78285	3.38106	3.81567	3.58099	2.59312	3.30257
Pspn	0.64786	0.682724	1.1764	1.06104	0.362213	0.659018	0.64786	0.682724	1.1764	1.06104	0.362213	0.659018
Pstk	2.33677	2.36817	2.52364	1.71827	1.81306	1.55234	2.33677	2.36817	2.52364	1.71827	1.81306	1.55234
Pstpip1	1.04621	1.36855	1.1969	1.87453	1.01987	1.41897	1.04621	1.36855	1.1969	1.87453	1.01987	1.41897
