tracking_id	q21_FPKM	q22_FPKM	q23_FPKM	q24_FPKM	q25_FPKM	q26_FPKM	q21_FPKMr	q22_FPKMr	q23_FPKMr	q24_FPKMr	q25_FPKMr	q26_FPKMr
AI597468	1.59804	2.81095	2.81716	2.84124	2.54756	2.96413	1.59804	2.81095	2.81716	2.84124	2.54756	2.96413
AI597479	2.39004	2.53012	2.45359	2.1107	1.98168	2.61783	2.39004	2.53012	2.45359	2.1107	1.98168	2.61783
AI646023	1.01521	1.15221	1.99109	3.46444	1.19634	0.661498	1.01521	1.15221	1.99109	3.46444	1.19634	0.661498
AI661453	18.9795	15.7588	14.7896	15.4158	16.7427	19.5485	18.9795	15.7588	14.7896	15.4158	16.7427	19.5485
AI662270	1.95154	2.93958	3.12081	2.08657	3.14126	2.66925	1.95154	2.93958	3.12081	2.08657	3.14126	2.66925
AI747448	1523.96	1281.47	1098.26	1441.73	1383.92	1450.36	1523.96	1281.47	1098.26	1441.73	1383.92	1450.36
AI837181	22.7683	19.1204	19.8258	20.9898	21.1472	20.669	22.7683	19.1204	19.8258	20.9898	21.1472	20.669
AI846148	11.4362	9.70388	7.56176	8.00006	8.81532	8.80191	11.4362	9.70388	7.56176	8.00006	8.81532	8.80191
AI848100	5.53648	6.06022	5.44099	8.27992	6.69183	6.32359	5.53648	6.06022	5.44099	8.27992	6.69183	6.32359
AI987944	3.48931	3.40291	3.12175	2.66501	3.15012	3.81068	3.48931	3.40291	3.12175	2.66501	3.15012	3.81068
AK010878	5.82778	5.21378	5.3666	5.74252	7.89	5.35055	5.82778	5.21378	5.3666	5.74252	7.89	5.35055
AU019823	3.90161	4.06865	3.51179	4.10181	3.74299	3.58788	3.90161	4.06865	3.51179	4.10181	3.74299	3.58788
AU021092	1.35475	1.47889	1.70525	0.868588	1.73972	1.95252	1.35475	1.47889	1.70525	0.868588	1.73972	1.95252
AU022252	1.38458	1.95237	1.90701	1.62747	1.73247	1.74683	1.38458	1.95237	1.90701	1.62747	1.73247	1.74683
AU040320	56.662	47.67	49.0538	75.181	40.519	44.5422	56.662	47.67	49.0538	75.181	40.519	44.5422
AV051173	0.911085	0.199607	0.965095	0.917926	1.2034	1.22782	0.911085	0.199607	0.965095	0.917926	1.2034	1.22782
AW112010	290.386	245.851	240.52	347.988	348.499	300.465	290.386	245.851	240.52	347.988	348.499	300.465
AW146154	1.00265	1.02655	0.989842	0.618166	1.0403	1.24671	1.00265	1.02655	0.989842	0.618166	1.0403	1.24671
AW209491	1.27575	1.04272	1.22948	0.750403	0.747222	0.775642	1.27575	1.04272	1.22948	0.750403	0.747222	0.775642
AW549877	6.85583	7.60516	6.74899	8.43345	9.3544	9.26039	6.85583	7.60516	6.74899	8.43345	9.3544	9.26039
AW555464	13.4183	12.027	12.9364	15.1121	14.2935	14.2634	13.4183	12.027	12.9364	15.1121	14.2935	14.2634
AY761184	6.13072	92.3094	128.147	8.1273	3.2147	13.5442	6.13072	92.3094	128.147	8.1273	3.2147	13.5442
Aaas	3.45182	2.98179	3.28807	3.05801	3.294	2.38119	3.45182	2.98179	3.28807	3.05801	3.294	2.38119
Aacs	28.4645	25.9418	19.3202	38.3353	42.4493	35.4822	28.4645	25.9418	19.3202	38.3353	42.4493	35.4822
Aagab	19.6262	15.9189	15.2497	11.0167	12.8105	14.5798	19.6262	15.9189	15.2497	11.0167	12.8105	14.5798
Aak1	2.44279	2.38452	2.23105	2.50877	2.13213	2.37307	2.44279	2.38452	2.23105	2.50877	2.13213	2.37307
Aamp	89.0848	71.1742	72.4313	77.5631	62.6119	63.9889	89.0848	71.1742	72.4313	77.5631	62.6119	63.9889
Aars	26.1828	23.9138	25.9129	28.6773	17.4121	17.6193	26.1828	23.9138	25.9129	28.6773	17.4121	17.6193
Aars2	1.83117	1.58357	1.65819	1.10695	1.38442	1.45287	1.83117	1.58357	1.65819	1.10695	1.38442	1.45287
Aarsd1	5.81828	6.60438	6.01358	6.84609	5.04898	4.26906	5.81828	6.60438	6.01358	6.84609	5.04898	4.26906
Aasdhppt	1.43998	1.4562	1.25848	1.23317	0.975469	1.18783	1.43998	1.4562	1.25848	1.23317	0.975469	1.18783
Aatf	2.04374	2.40401	2.38428	2.21049	2.22976	2.14501	2.04374	2.40401	2.38428	2.21049	2.22976	2.14501
Abat	36.78	34.1167	35.1446	48.5337	20.5424	23.9091	36.78	34.1167	35.1446	48.5337	20.5424	23.9091
Abca1	1.58979	1.60027	2.02626	2.07311	0.872212	1.576	1.58979	1.60027	2.02626	2.07311	0.872212	1.576
Abca3	6.57529	5.58596	5.65614	7.35543	3.64538	4.86156	6.57529	5.58596	5.65614	7.35543	3.64538	4.86156
Abca7	16.52	13.1842	12.7739	16.6137	14.7682	14.4554	16.52	13.1842	12.7739	16.6137	14.7682	14.4554
Abcb10	25.9061	21.5817	21.1757	33.0088	27.6593	27.2851	25.9061	21.5817	21.1757	33.0088	27.6593	27.2851
Abcb1a	97.9917	55.3664	83.6101	208.793	128.242	117.935	97.9917	55.3664	83.6101	208.793	128.242	117.935
Abcb6	10.2693	8.75221	10.2345	11.0551	8.36963	8.33233	10.2693	8.75221	10.2345	11.0551	8.36963	8.33233
Abcb7	3.6812	5.65541	3.88759	5.35432	4.52166	5.31166	3.6812	5.65541	3.88759	5.35432	4.52166	5.31166
Abcb8	13.0669	10.627	11.07	12.2638	8.63753	7.77974	13.0669	10.627	11.07	12.2638	8.63753	7.77974
Abcb9	2.42258	2.2384	2.14424	3.87743	3.79377	2.17316	2.42258	2.2384	2.14424	3.87743	3.79377	2.17316
Abcc10	7.58218	5.82541	6.65878	6.0905	5.96994	6.15209	7.58218	5.82541	6.65878	6.0905	5.96994	6.15209
Abcc2	12.211	13.2494	23.9653	45.8809	25.2352	17.7727	12.211	13.2494	23.9653	45.8809	25.2352	17.7727
Abcc3	42.538	31.3098	32.9787	42.2224	21.3627	18.5123	42.538	31.3098	32.9787	42.2224	21.3627	18.5123
Abcc5	1.44027	1.72708	2.76318	3.34771	3.90922	2.85221	1.44027	1.72708	2.76318	3.34771	3.90922	2.85221
Abcc6	1.01978	1.02134	1.25959	1.29192	0.904293	1.03797	1.01978	1.02134	1.25959	1.29192	0.904293	1.03797
Abcd1	38.64	31.566	26.1426	50.7573	37.6034	33.9126	38.64	31.566	26.1426	50.7573	37.6034	33.9126
Abcd3	79.4012	73.2377	81.8264	113.882	82.103	95.9996	79.4012	73.2377	81.8264	113.882	82.103	95.9996
Abcd4	13.3849	10.8427	12.3719	14.6299	12.9449	9.85354	13.3849	10.8427	12.3719	14.6299	12.9449	9.85354
Abce1	4.20239	5.06449	4.28534	3.40323	3.88618	4.10094	4.20239	5.06449	4.28534	3.40323	3.88618	4.10094
Abcf1	34.3392	30.2985	31.1841	41.6543	37.9438	31.2472	34.3392	30.2985	31.1841	41.6543	37.9438	31.2472
Abcf2	7.159	6.39373	6.94622	6.67307	5.23193	5.14897	7.159	6.39373	6.94622	6.67307	5.23193	5.14897
Abcf3	12.5892	10.4555	12.2484	14.8943	11.4959	10.7078	12.5892	10.4555	12.2484	14.8943	11.4959	10.7078
Abcg1	0.820851	0.834889	0.751573	0.594417	1.42085	1.24919	0.820851	0.834889	0.751573	0.594417	1.42085	1.24919
Abcg2	361.516	307.427	259.968	244.103	162.501	217.598	361.516	307.427	259.968	244.103	162.501	217.598
Abcg3	0.610462	0.805251	0.881217	0.495453	1.1987	1.02734	0.610462	0.805251	0.881217	0.495453	1.1987	1.02734
Abcg5	201.702	163.444	180.784	206.315	137.73	172.394	201.702	163.444	180.784	206.315	137.73	172.394
Abcg8	113.098	88.3564	82.6796	97.8991	56.9931	86.7132	113.098	88.3564	82.6796	97.8991	56.9931	86.7132
Abhd1	3.95963	2.52373	2.01882	2.89527	3.85047	2.88033	3.95963	2.52373	2.01882	2.89527	3.85047	2.88033
Abhd10	1.7963	1.49146	1.79102	1.75951	1.14602	1.69994	1.7963	1.49146	1.79102	1.75951	1.14602	1.69994
Abhd11	67.5329	45.0679	46.3159	63.2775	72.2101	60.5904	67.5329	45.0679	46.3159	63.2775	72.2101	60.5904
Abhd12	127.373	116.299	123.877	229.957	166.868	141.811	127.373	116.299	123.877	229.957	166.868	141.811
Abhd13	9.54236	9.14903	8.76893	11.6202	11.171	12.589	9.54236	9.14903	8.76893	11.6202	11.171	12.589
Abhd14a	2.02845	2.74216	3.04715	1.69054	1.7746	1.79881	2.02845	2.74216	3.04715	1.69054	1.7746	1.79881
Abhd14b	25.3171	19.661	21.6945	20.8695	22.7872	21.1286	25.3171	19.661	21.6945	20.8695	22.7872	21.1286
Abhd16a	25.901	20.1767	22.9539	34.5903	25.0522	17.4918	25.901	20.1767	22.9539	34.5903	25.0522	17.4918
Abhd2	25.0873	23.171	19.7554	40.1437	33.117	37.8348	25.0873	23.171	19.7554	40.1437	33.117	37.8348
Abhd3	92.2638	73.4606	76.291	89.1947	65.1538	70.5549	92.2638	73.4606	76.291	89.1947	65.1538	70.5549
Abhd4	59.8791	46.9582	47.6741	51.3486	40.5035	46.6464	59.8791	46.9582	47.6741	51.3486	40.5035	46.6464
Abhd5	14.5894	12.7441	13.6465	20.25	26.2541	16.8952	14.5894	12.7441	13.6465	20.25	26.2541	16.8952
Abhd6	63.2332	58.3544	88.0275	151.21	68.9294	60.2064	63.2332	58.3544	88.0275	151.21	68.9294	60.2064
Abhd8	0.700334	1.27865	1.0431	1.24836	1.6179	1.13609	0.700334	1.27865	1.0431	1.24836	1.6179	1.13609
Abi1	30.0787	38.4198	32.3944	32.3694	34.1792	40.895	30.0787	38.4198	32.3944	32.3694	34.1792	40.895
Abi2	0.801621	1.22832	0.845556	0.885556	1.14787	1.13801	0.801621	1.22832	0.845556	0.885556	1.14787	1.13801
Abi3	25.392	24.757	24.6185	28.5801	25.8976	30.504	25.392	24.757	24.6185	28.5801	25.8976	30.504
Abi3bp	5.59302	5.22165	8.29911	5.7819	4.54878	5.97631	5.59302	5.22165	8.29911	5.7819	4.54878	5.97631
Abl1	13.3686	12.2409	12.2509	14.1152	15.5394	14.6504	13.3686	12.2409	12.2509	14.1152	15.5394	14.6504
Ablim1	15.5917	13.8794	16.1495	18.4105	16.1734	16.542	15.5917	13.8794	16.1495	18.4105	16.1734	16.542
Ablim2	1.10096	1.41863	1.63482	1.16831	0.707982	1.05012	1.10096	1.41863	1.63482	1.16831	0.707982	1.05012
Abp1	766.764	646.473	714.318	701.953	639.331	647.628	766.764	646.473	714.318	701.953	639.331	647.628
Abr	96.6863	83.2653	77.7202	93.4396	85.3003	82.881	96.6863	83.2653	77.7202	93.4396	85.3003	82.881
Abt1	2.32541	2.25387	2.3043	2.19502	2.48752	2.33306	2.32541	2.25387	2.3043	2.19502	2.48752	2.33306
Abtb1	16.3144	14.1898	13.9215	13.4091	10.7863	14.4546	16.3144	14.1898	13.9215	13.4091	10.7863	14.4546
Acaa1a	82.9074	71.2709	92.6088	156.797	102.9	77.8678	82.9074	71.2709	92.6088	156.797	102.9	77.8678
Acaa1b	1.04767	0.805689	1.14391	1.08852	1.04087	1.52219	1.04767	0.805689	1.14391	1.08852	1.04087	1.52219
Acaa2	26.7906	24.6155	36.3353	38.1761	25.1805	20.7221	26.7906	24.6155	36.3353	38.1761	25.1805	20.7221
Acaca	4.38313	5.57838	4.27677	4.93106	4.45469	4.60853	4.38313	5.57838	4.27677	4.93106	4.45469	4.60853
Acad10	1.2641	1.3094	1.11488	1.44341	1.04263	0.851032	1.2641	1.3094	1.11488	1.44341	1.04263	0.851032
Acad11	33.3073	27.8421	31.2705	30.4662	22.5894	30.1567	33.3073	27.8421	31.2705	30.4662	22.5894	30.1567
Acad12	0.950332	0.854991	0.918637	1.002	1.09341	0.764979	0.950332	0.854991	0.918637	1.002	1.09341	0.764979
Acad8	7.54086	6.48833	6.83497	6.47058	4.42075	5.09379	7.54086	6.48833	6.83497	6.47058	4.42075	5.09379
Acad9	9.25232	8.21724	8.78003	6.03634	5.36728	6.52477	9.25232	8.21724	8.78003	6.03634	5.36728	6.52477
Acadl	129.049	105.219	120.943	119.796	87.4516	84.053	129.049	105.219	120.943	119.796	87.4516	84.053
