CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK5_rep1	ZK6_rep1	ZK7_rep1	ZK8_rep1	ZK5_rep2	ZK6_rep2	ZK7_rep2	ZK8_rep2
ND5	0.0003960944220197	0.0055783113879929	23.9052823315118	23.187908451835	2586.74626681544	237.070254903692	0.0916480514324086	2751.09347825088	2523.60974801114	2332.33814295316	2743.43454473789	2751.09347825088	2523.60974801114	2332.33814295316	2743.43454473789
ND4L	0.0260482165934783	0.0890869094736976	24.0980009423167	21.7235505319217	829.857180639359	97.8495573352034	0.117911322114265	858.211420742818	774.983908621254	741.345517011792	943.145898389972	858.211420742818	774.983908621254	741.345517011792	943.145898389972
TrnM	1.0	1.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pisd-ps3	0.0153180789236453	0.0556929923990065	23.9448247525552	21.1025469886043	125.068956211893	12.1539808912835	0.0971782387844681	135.898317302391	112.362532400987	120.555256288126	131.583872386458	135.898317302391	112.362532400987	120.555256288126	131.583872386458
LOC100861738	0.0616258411612329	0.183786993645418	23.7201853832442	3.56309905382315	102.132543919281	8.48545821531663	0.0830828048503616	106.67991292821	109.211824521152	94.3178870681761	98.2794169143233	106.67991292821	109.211824521152	94.3178870681761	98.2794169143233
LOC100861749	0.0002403845909069	0.0044869709675644	23.9926335174954	22.4484538969956	9.29763972494971	1.03105877146474	0.110894678861125	9.98201774760755	8.68083326024215	8.41531368247444	10.1137003869041	9.98201774760755	8.68083326024215	8.41531368247444	10.1137003869041
LOC434608	0.0017608819063006	0.0108215144771858	23.8819615807365	4.85080557223316	1.44838872906429	0.168421320161477	0.116281849466119	1.55775000625277	1.59395452182458	1.33961802477794	1.30058504551035	1.55775000625277	1.59395452182458	1.33961802477794	1.30058504551035
LOC673652	0.273926362796037	0.549962647537566	22.9040916782034	6.36371068594023	3.87602474469448	1.44061191329904	0.371672527444763	3.36795305219291	5.95257819585116	2.67354281528143	3.32320926914097	3.36795305219291	5.95257819585116	2.67354281528143	3.32320926914097
Mid1-ps1	0.0003606505079921	0.0052842863133805	24.0819366852886	23.8333555672408	6.57751518977087	2.59966118069736	0.395234538529119	9.31749063824346	6.39587871726057	4.08076949739372	6.48680604919433	9.31749063824346	6.39587871726057	4.08076949739372	6.48680604919433
Gm8525	0.877306548479696	1.0	26.8080916752246	22.6946945533645	4.7306767217813	0.880363288646912	0.186096691958147	6.37212023463676	3.35890025832276	4.77728875878105	4.03042667994181	6.37212023463676	3.35890025832276	4.77728875878105	4.03042667994181
Gm4017	0.849852372485383	1.0	28.5415401710419	11.8978063447657	7.01664153991249	0.669787167891413	0.0954569453322488	5.64655227753039	7.64004875594196	6.9725236183715	8.00015561676953	5.64655227753039	7.64004875594196	6.9725236183715	8.00015561676953
Zf12	0.136560013777394	0.351491001199983	23.4091734319871	20.7092880917494	6.022797643354	1.42940675501102	0.237332688171639	7.5185529863265	4.12973452461619	5.96836505925101	6.63060421792401	7.5185529863265	4.12973452461619	5.96836505925101	6.63060421792401
LOC100862337	0.0833051855472553	0.234903897160272	23.6065122227141	3.44187881619437	4.85166049600704	1.41831991699646	0.292337008775397	5.56429566128017	6.03868627159983	3.43547540259794	4.36414273891793	5.56429566128017	6.03868627159983	3.43547540259794	4.36414273891793
Vamp7	0.0022325613365578	0.0119814873811714	24.2666666666667	0.849856170675482	8.9925694819712	0.55796785005164	0.0620476551413125	9.66539164566242	8.97443947995624	8.54071445122196	8.77644951967531	9.66539164566242	8.97443947995624	8.54071445122196	8.77644951967531
Akap17a	0.151536484926474	0.382145478748147	24.6443927437859	23.6256778789584	7.87192235023888	1.5855858157796	0.201422949215383	10.1532898659529	6.91994448299111	6.94265809898362	7.32495487373066	10.1532898659529	6.91994448299111	6.94265809898362	7.32495487373066
2510022D24Rik	0.0018635205519318	0.010981848707521	23.7021573315118	2.53337273113804	7.63747902329347	1.53613895894883	0.201131676337673	8.72042884971747	8.69133611881681	6.34556645377679	6.80801664149735	8.72042884971747	8.69133611881681	6.34556645377679	6.80801664149735
Gm25651	0.75743487407648	1.0	27.2144373673036	0.608395137041594	6.85653009447963	3.75285100394232	0.547339682350967	13.2521630966721	6.16371083208844	7.01320651544839	1.00585431055939	13.2521630966721	6.16371083208844	7.01320651544839	1.00585431055939
Hccs	0.999717069548247	1.0	28.6604361370717	16.8826553087248	18.9871656287438	0.279299082722344	0.0147098881520012	18.0648796473481	19.6385793197772	18.1070214467954	20.0174531549343	18.0648796473481	19.6385793197772	18.1070214467954	20.0174531549343
Prps2	0.862804623717687	1.0	27.3333333333333	13.3177718272607	2.73700266092654	0.2539966424608	0.0928010213825719	2.2907212708168	2.81187469364696	2.67450948882001	3.19774385879697	2.2907212708168	2.81187469364696	2.67450948882001	3.19774385879697
Bmx	0.575512638634561	1.0	22.6730020310433	6.48621805382966	2.92205102435161	0.661511053132113	0.226385866509261	2.51041392438622	3.96282506741926	2.29475384569538	2.81773097713443	2.51041392438622	3.96282506741926	2.29475384569538	2.81773097713443
Ace2	0.0071741768000606	0.0296121483251093	23.2216806082125	17.7780426729529	889.580500656142	106.436489117009	0.119647956580099	911.075305766086	752.068094159764	951.327033354493	953.718770590841	911.075305766086	752.068094159764	951.327033354493	953.718770590841
