CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK7_rep1	ZK8_rep1	ZK9_rep1	ZK10_rep1	ZK11_rep1	ZK12_rep1	ZK7_rep2	ZK8_rep2	ZK9_rep2	ZK10_rep2	ZK11_rep1	ZK12_rep1
ND5	0.357577506891443	1.0	25.8240546626291	9.75819481197726	1274.96792419716	131.346825414082	0.103019709689394	1128.13318654813	1431.32480423917	1243.26185821183	1423.52359560149	1379.29157115577	1103.77334148843	1128.13318654813	1431.32480423917	1243.26185821183	1423.52359560149	1379.29157115577	1103.77334148843
ND4L	0.933038864830787	1.0	26.3867480383609	9.30771794815417	498.799197802659	59.3800801475321	0.11904606184035	392.910628302192	651.453745035558	453.706316009758	535.126206038334	589.169912141314	405.037808323202	392.910628302192	651.453745035558	453.706316009758	535.126206038334	589.169912141314	405.037808323202
TrnM	0.0726385055759818	0.267462690511694	23.1931982204647	19.1858693777892	8.73512976555583	3.49726341757175	0.400367654681225	13.9866906308394	3.82653317581879	6.74968823156172	7.73313441319081	10.6903653745629	9.9560992941948	13.9866906308394	3.82653317581879	6.74968823156172	7.73313441319081	10.6903653745629	9.9560992941948
Pisd-ps3	0.713560368869085	1.0	24.1095451918374	0.353925382670147	49.3352594616199	2.68770882123399	0.0544784572041195	52.1081169895883	49.3386210916349	48.3134337860267	49.9479991507945	43.026573598005	53.2151130979037	52.1081169895883	49.3386210916349	48.3134337860267	49.9479991507945	43.026573598005	53.2151130979037
LOC100861738	0.0854062920471869	0.307422520262973	25.6127113834979	24.8432646175298	28.9916054789004	3.80992973662135	0.131414927655323	34.5523061139626	30.0212786160628	29.3236455393404	22.0680743161612	29.6976590374431	27.0924718447996	34.5523061139626	30.0212786160628	29.3236455393404	22.0680743161612	29.6976590374431	27.0924718447996
LOC100861749	0.77593867445869	1.0	21.244966911118	14.1590448121964	2.94650489884319	0.229894852085748	0.0780228983077562	2.94008119886648	2.86887986159636	2.66029220093922	3.54137338103799	2.89219752073094	2.67416934583856	2.94008119886648	2.86887986159636	2.66029220093922	3.54137338103799	2.89219752073094	2.67416934583856
LOC434608	4.20071580280457e-05	0.000566055411178	25.5516353122301	24.7558128092082	0.845804272194622	0.315027112970225	0.315027112970225	1.23306855220774	0.899593830090279	0.727287530913593	0.584360728959783	0.558497225701185	0.975256745172404	1.23306855220774	0.899593830090279	0.727287530913593	0.584360728959783	0.558497225701185	0.975256745172404
LOC673652	0.0570174235309675	0.217483509340037	26.2668238530308	1.8878084410759	4.21192141680835	0.627827625512646	0.149059672150387	4.8876142674066	5.15419220035703	3.71667915513251	4.21141495272428	3.47157967043816	3.79541906795271	4.8876142674066	5.15419220035703	3.71667915513251	4.21141495272428	3.47157967043816	3.79541906795271
Mid1-ps1	0.64964531841325	1.0	20.78998593338	5.20613811958742	3.06259681486522	0.835192826572327	0.272707403899354	2.71280858335326	3.39547676817034	4.55473515415119	1.68737753710172	2.21745573651334	4.02301974291076	2.71280858335326	3.39547676817034	4.55473515415119	1.68737753710172	2.21745573651334	4.02301974291076
Gm8525	0.751948464264184	1.0	23.2028824833703	6.2429708279234	0.357160979027461	0.143702474037124	0.143702474037124	0.373628205005002	0.306655968793841	0.721221042164551	0.177065297663901	0.285573058786233	0.265958517731104	0.373628205005002	0.306655968793841	0.721221042164551	0.177065297663901	0.285573058786233	0.265958517731104
Gm4017	0.0016144071399241	0.011458304291284	24.2073020730207	7.25721551493826	7.98032137765922	1.05038919053573	0.131622417297162	7.46445390702734	9.48613613646096	8.36638002355255	8.38720940472566	7.42297575783646	6.79886321562155	7.46445390702734	9.48613613646096	8.36638002355255	8.38720940472566	7.42297575783646	6.79886321562155
Zf12	0.837954523575826	1.0	22.4413467316353	3.23196973378059	0.605494812205006	0.170119066267648	0.170119066267648	0.566805982886406	0.620275933746664	0.790194511055973	0.477535540449863	0.256725036402972	0.956367669084752	0.566805982886406	0.620275933746664	0.790194511055973	0.477535540449863	0.256725036402972	0.956367669084752
LOC100862337	0.0307819770674702	0.128967148021998	23.3339912589877	15.5928712474331	0.0409352763345704	0.0768616977455682	0.0768616977455682	0.0	0.0	0.0	0.0773089357447357	0.16624638513519	0.0	0.0	0.0	0.0	0.0773089357447357	0.16624638513519	0.0
Vamp7	0.586738539407484	1.0	25.1039554760485	2.40933607154602	10.1469390384518	1.71928134032197	0.169438422149454	10.5442720097116	14.2154668469557	8.3402373396586	9.43222994396226	9.31502097998181	8.94169455617754	10.5442720097116	14.2154668469557	8.3402373396586	9.43222994396226	9.31502097998181	8.94169455617754
Akap17a	0.0001892038305891	0.0019431535788619	26.5648720361469	26.2868206590476	4.80425063267792	0.384990633102618	0.0801354180991224	5.46412765574846	4.94622322647395	4.69346724545161	4.5253264894379	4.48722680299924	4.58181966199422	5.46412765574846	4.94622322647395	4.69346724545161	4.5253264894379	4.48722680299924	4.58181966199422
2510022D24Rik	0.397118380268091	1.0	26.8539180118127	0.614511688148097	9.4862364895892	0.410143855893124	0.0432356769034001	10.1898948431082	9.92813321529879	8.93598029839251	9.86584197712452	8.76541992905236	9.15129199430076	10.1898948431082	9.92813321529879	8.93598029839251	9.86584197712452	8.76541992905236	9.15129199430076
Gm25651	1.0	1.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
