CycID	meta2d_phase_diff	meta2d_rAMP_diff
ND5	1.225805314631721	2.017770263939779
ND4L	0.9184646264024908	1.7989203309846875
TrnM	10.316658772666129	1.385695674269274
Pisd-ps3	2.3419925763614486	2.5231598475616677
LOC100861738	5.58666820337335	0.9861043906663212
LOC100861749	1.3296999980533002	1.6279244684983525
LOC434608	3.2232900957576085	0.9047573625638918
LOC673652	1.06034157558799	1.6932472156404823
Mid1-ps1	1.15686964523489	1.6366120800281332
Gm8525	11.0298683537766	0.3689808545537772
Gm4017	8.63210125033034	2.4258142734213592
Zf12	2.21840807513	0.4515269135534386
LOC100862337		
Vamp7	0.48791108416949	0.7024503947317331
Akap17a	1.0803221349463286	1.4458828646191078
2510022D24Rik	0.700477436327763	2.801022871066146
Gm25651		
Hccs	1.9213357794980503	0.6259824487638362
Prps2	0.1476198959797905	1.154236083892374
Bmx	4.971479962825649	1.0277247445511817
Ace2	2.075255288005698	1.0462585396427289
Siah1b	2.74615495253709	1.406937334184966
S100g	5.635221040898001	1.0678234241011448
Gm15209	9.91697101923658	1.9947925911738296
Txlng	11.11582672873511	3.8866042216715577
Gm8737	1.8367964877565408	1.4207185683330834
Gm7331	1.653725639495109	1.4325347997760285
Gm15204	4.4459552928049195	1.878791989689852
Nhs	5.52794921885272	0.1112902906561938
Prkaca-ps1	10.67317679277957	2.1984924493107156
Eif1ax	3.07038736239292	0.7637958362406454
Rps6ka3	0.1636527457940397	0.9780627798958595
Gm8659	1.7282939309336989	0.2731708289216223
Gm8644	4.27294712640273	0.6571322368683373
Mbtps2	1.4822312847270602	1.430089866933055
Gm6568	6.686057597242829	1.736139153092309
Gm15160	2.9741443831829493	0.7722641672617293
Shroom2	2.0528091586323503	0.2708747508534425
Tspyl2	5.6656543938502	1.696695545871736
Gm52430	5.5098711830854	0.7810424146486382
Gm52480		
Smc1a	5.9368264931791295	2.5146257963453524
Gm15191	1.3137946687244018	1.3825067986801889
Gm15151	0.9204562670926996	0.4902565935060767
Phf8	3.4988489717495312	1.3225616964944311
Gm6451	3.8741020687096217	1.3239939768538835
Maged2	3.861347872913361	0.247343472645604
Tmem29	5.152855558766461	0.576115753331536
Gm5644	7.58523286981052	0.5144156187151365
Amot	5.701206502387151	1.8773591990648488
Gm15066	2.76357719333393	2.428588720527681
Gm8202	3.9839670061263295	0.3376069949003841
Gm4760	0.6262857708097105	3.2734232314134117
Ammecr1	1.2135817852093995	0.8803683112587498
Gm4995	1.76937337873862	0.776931905137494
Gm6368	4.308561548917101	0.7329240260694059
Gm15294	9.022351575995089	0.4808530590440024
Col4a6	7.40619225713326	0.1700120968519186
Psmd10	0.6956677609873698	1.13378569735433
Gm6088	9.89045219647244	0.4684514514100263
Tsc22d3	1.8951944734059012	0.9146091189839426
Cldn2	1.32322655223068	1.3587546960273942
Rnf128	5.283418631359803	0.459230714584067
Gm6275	2.992675920363398	0.6714240895801061
Btf3-ps3	9.548226942786515	6.035253193150172
Gm4917	5.089274121583507	0.9531020193087618
Bex3	2.52571433938549	7.707572211153549
Tceal9	4.42725393384076	1.31792818472487
Gm18614	4.00571897304898	0.5638311526601865
Gprasp1	11.25668895362238	1.6623461771616614
Nxf7	0.2193905990753299	1.7493235539768397
Cenpi	3.6617101917364105	0.8795000128367736
Trmt2b	2.961469456070792	0.5826289984491494
Gm7823	3.60944078537809	0.6662294079662112
Gm2836	0.1475361809415201	1.8480396320190415
Gm7746	0.0269681286359997	0.5224910501047925
Rps12-ps22	3.8741311633057194	0.6607278400436357
Rps12-ps21	2.8459173026177	0.7003891618703254
Gm16421	7.165049738191929	0.5196584595818852
Gm5648	7.491269296745642	1.2364466376826997
Gm5863	1.8187604853985988	1.1741131942301672
Zfp711	11.543345924522	0.2596249967728234
2010106E10Rik	2.622078083117799	1.7612997608883454
Gm5393	7.984218966570921	1.2369355524509285
Gm14886	3.5546683444158997	0.5447909916674116
Taf9b	4.23749605192529	1.2254469124317453
Atp7a	0.3173893033722308	1.9939182883099285
Gm26020	2.363589198881691	0.819294235091982
5530601H04Rik	6.0863136917302105	0.5311813778493285
Zdhhc15	0.9044051992934	1.170087553503246
Vcp-rs	3.5506595071248603	2.174951714873147
Rlim	1.88272332745636	2.4706367663886093
Gm9115	2.044547603115302	1.6999180187348646
Gm9109	5.7325544086432	0.6312360060304479
Ercc6l	3.79878613344727	2.3608088045190896
Pin4	8.734845809159	1.5103207052579843
H3f3a-ps1	2.645891991376793	0.8677417003687445
Tpt1-ps6	0.3536847742734803	0.6399105022951237
Marcksl1-ps5	1.5794181582960984	0.8146800687449974
Gm14845	1.4078692341868404	2.4234511589504133
Taf1	0.9577546179307	0.9186327318783352
Nono	4.68153641946337	1.2002881461249617
Med12	1.4249222685558305	0.8508815464892716
Dlg3	2.2876593218467	0.6891667091221171
Gdpd2	1.9600801308300009	0.7857691142825917
Kif4	7.571217641814901	0.4379574855711626
Pdzd11	2.8358952801019015	3.0678585689934303
Gm5760	1.7116791374564002	0.6768533980668275
Gm14935	5.842666416957201	0.3789239359595009
Heph	7.2556175937688	0.3287161039811276
Hsf3	4.32394795773413	1.286502595745329
Gm14925	1.3674644315823006	1.0596850629401493
Msn	6.566654809550339	1.2234379353728209
Las1l	2.82263069201159	1.5818298130329875
LOC118568447	3.150175795985501	0.7616039156820017
Zxda	0.32437004812093306	0.6927729866604535
Gm39526	0.5356864221677	0.6578536513190301
Maged1	11.2483138801332	0.4240355501209448
Gm15164	5.21948218252323	0.8952511258777767
Pola1	5.732509039116096	0.7236208025851624
Gm14783	1.173431686387361	0.7724900889707483
Gm8844	11.00608555893477	0.418489663710869
Gm8839	5.910913783866192	1.3050209249388904
Actr3-ps	6.88501341229048	1.2621627993692754
Gm8806	0.9523091150639296	1.6459122769614165
Gm8792	3.7993595389929915	1.186199054224404
Gm17817	0.9364194415506012	2.057146235613475
Gm8770	0.8587120668357002	2.197192816515161
Prkx	7.022747815371201	1.0261973646703269
Gm14746		
Tbl1x	0.5943785312070298	1.352202324381224
Gm5398	11.04628994626783	2.945093962059753
Gm14706	1.9323587532550823	0.2604028328667171
Oat-rs1	3.6805565058686303	0.8655556385180205
Gm8666	8.67268708042211	4.398321149925144
Gm6039	8.15172801385101	4.347985655725308
Gm8503	5.51604254399484	0.8047709522783599
Smim9	2.084098715319902	0.7321310070310331
