CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK1_newchange_rep1	ZK2_rep1	ZK3_rep1	ZK4_rep1	ZK1_newchange_rep2	ZK2_rep2	ZK3_rep2	ZK4_rep2
ND5	0.0028674692866556	0.0244788456896618	23.6568203038791	5.36902168404748	2559.70374698124	860.329163857108	0.336104974988504	2834.32775762811	3494.215772128	1955.47152624161	1925.67717161175	2834.32775762811	3494.215772128	1955.47152624161	1925.67717161175
ND4L	0.0020093345963571	0.0197684272927065	24.1732580037665	1.56800406615457	917.710906712339	556.935839345677	0.606875035778834	1488.18992469198	1105.69973441765	470.538046149674	600.496344259169	1488.18992469198	1105.69973441765	470.538046149674	600.496344259169
TrnM	1.0	1.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pisd-ps3	0.315749524853789	0.826620143435414	24.5091738429476	11.0326490800972	111.484952085965	32.8796594563428	0.294924640869825	60.2027250690341	143.951816459561	123.625285091283	120.722835477156	60.2027250690341	143.951816459561	123.625285091283	120.722835477156
LOC100861738	0.493629454129977	1.0	26.380487804878	10.7715658891449	94.0697545217227	14.8111092158682	0.157448154203995	69.9032247771462	113.853523330932	98.403140807013	98.7403736386009	69.9032247771462	113.853523330932	98.403140807013	98.7403736386009
LOC100861749	0.0384773111445957	0.200471390577042	24.2542296636855	10.9007960615648	9.50506530883879	3.33399106655913	0.350759406509163	5.40631979377067	11.9483856194135	11.5884537959146	9.21245003099943	5.40631979377067	11.9483856194135	11.5884537959146	9.21245003099943
LOC434608	0.0012008976638893	0.01562625425993	23.8819615807365	13.5469568974101	2.39795040505426	0.643296041249415	0.268269118449453	1.79503114213156	2.16698240963532	2.99088713812788	2.63355120575866	1.79503114213156	2.16698240963532	2.99088713812788	2.63355120575866
LOC673652	0.0238344440761875	0.133641528007981	23.9052823315118	20.9571888569534	3.71388073941142	0.885430815810131	0.23841121402042	4.49375441882077	2.73300513234854	3.44879214257791	4.19550718405053	4.49375441882077	2.73300513234854	3.44879214257791	4.19550718405053
Mid1-ps1	0.693059373305069	1.0	22.5465111310516	4.12401953743833	5.82898719062592	1.35978893403293	0.233280480735953	5.65092560796418	7.44916066090381	3.86580394723871	6.34664703604753	5.65092560796418	7.44916066090381	3.86580394723871	6.34664703604753
Gm8525	0.0008228945187176	0.0129483244338928	23.5822054084349	13.3338802527263	3.03033798040827	1.31705391049462	0.434622777726322	1.80348015478173	2.70851827700644	4.35004444464531	3.21293569072262	1.80348015478173	2.70851827700644	4.35004444464531	3.21293569072262
Gm4017	0.0049954299633834	0.0370491335658945	24.3622350674374	5.40397759844676	10.4652544935445	2.14420621403142	0.204888110017208	11.7057471273875	12.0600572927459	10.5128787430004	7.67344446424212	11.7057471273875	12.0600572927459	10.5128787430004	7.67344446424212
Zf12	0.0217636409230035	0.122957640119135	24.0980009423167	9.45851923236335	5.0315942079815	0.51895714928865	0.103139706390758	4.86388853020225	5.31252905019446	5.49929757268933	4.45998512321738	4.86388853020225	5.31252905019446	5.49929757268933	4.45998512321738
LOC100862337	0.0063978025739516	0.0448325017791296	23.1347770902745	7.78331541715088	4.3704432077442	0.849425549861268	0.194356844256924	3.93711058130595	5.59034576332899	4.03597873581855	3.79583375989619	3.93711058130595	5.59034576332899	4.03597873581855	3.79583375989619
Vamp7	0.200591388891459	0.693021539821622	26.8752556237219	0.30653058994936	11.0024502572006	1.37639383367407	0.125098846302285	13.3802417301911	10.6083791702105	10.5329964835482	9.40501772525702	13.3802417301911	10.6083791702105	10.5329964835482	9.40501772525702
Akap17a	0.757036218735387	1.0	27.522062732589	11.4936600944894	7.18475062275639	1.25394349111183	0.174528464097305	4.7555487590633	8.53046824338303	7.41171820614699	8.44399193714203	4.7555487590633	8.53046824338303	7.41171820614699	8.44399193714203
2510022D24Rik	0.236678393469691	0.74170669759374	24.5425629362898	11.1859428431579	7.11082605964929	1.85939145543513	0.261487405237815	4.30660741320664	8.66497734643008	7.9729825162628	7.64855331183443	4.30660741320664	8.66497734643008	7.9729825162628	7.64855331183443
Gm25651	0.0023802440717567	0.0217304186602198	24.1732580037665	17.4583103553743	4.33888687026727	3.35764589915516	0.773849606949613	2.41117455476253	1.53625443774871	5.08884275385817	8.25420435122985	2.41117455476253	1.53625443774871	5.08884275385817	8.25420435122985
Hccs	3.37571165465178e-08	3.7927245677231e-05	23.9926335174954	8.80549295083939	18.1694332031211	3.06166881674733	0.168506567184572	16.1968411642934	20.5363539333138	20.118163487212	15.822204428541	16.1968411642934	20.5363539333138	20.118163487212	15.822204428541
Prps2	0.0040764121431106	0.0315425958897351	23.4817719680465	5.84153790308066	2.94103413678894	0.432044228292196	0.146902146727174	2.97909583419007	3.46038138023481	2.66007689406222	2.63925016932919	2.97909583419007	3.46038138023481	2.66007689406222	2.63925016932919
Bmx	2.12358556739289e-07	0.0001375565713855	23.9926335174954	8.90619893317152	3.52367882478682	2.44166524201185	0.69293070209359	1.80858151295665	5.43235928636201	5.06344087655106	1.78700483078206	1.80858151295665	5.43235928636201	5.06344087655106	1.78700483078206
Ace2	0.0004318845594072	0.0090301363105669	23.9926335174954	12.8812603911089	937.202376237015	271.513308505455	0.289706167408169	676.986372768288	920.425035357347	1217.5722933987	933.630579362071	676.986372768288	920.425035357347	1217.5722933987	933.630579362071
