CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	GFRNA1_rep1	GFRNA2_rep1	GFRNA3_rep1	GFRNA4_rep1	GFRNA1_rep2	GFRNA2_rep2	GFRNA3_rep2	GFRNA4_rep2
ND5	0.169990944481273	0.453707024337681	23.2925572107081	4.11651507989038	794.692844588709	77.6514391984695	0.0977125183990523	812.025303776834	876.48404245348	717.058018097311	771.602488687833	812.025303776834	876.48404245348	717.058018097311	771.602488687833
ND4L	0.126430692303793	0.356907279295783	23.1062465013665	9.28025356497012	365.469167053615	43.0448135752075	0.117779603467596	327.955679796874	434.436565980225	354.401704732644	337.97805122208	327.955679796874	434.436565980225	354.401704732644	337.97805122208
TrnM	0.12068172887083	0.343497580925536	26.560157790927	3.60675905661541	6.25813111584649	3.18095865856188	0.508292108247338	9.00564795780889	7.97557714847298	7.39083433782687	1.44251372339402	9.00564795780889	7.97557714847298	7.39083433782687	1.44251372339402
Pisd-ps3	0.777132699397613	1.0	22.4769849185481	4.07121455994348	64.2990980510449	11.6951596500338	0.181886838299806	61.9472509497377	78.379829603692	46.1339854877066	70.7998130075942	61.9472509497377	78.379829603692	46.1339854877066	70.7998130075942
LOC100861738	0.665701075536697	1.0	25.9034153914393	17.9760568918193	49.2500421966584	0.670194181336864	0.0136079920228441	48.6499556189904	49.0736580272282	48.6672754415644	50.4425678497208	48.6499556189904	49.0736580272282	48.6672754415644	50.4425678497208
LOC100861749	0.506891226581188	0.985840649512166	22.7011059988279	9.09732011905115	4.07617884561583	0.75444880632841	0.185087267978898	3.26023203550025	5.68509269233527	3.36612256970333	3.81557514192492	3.26023203550025	5.68509269233527	3.36612256970333	3.81557514192492
LOC434608	0.0063849301591152	0.0279373157866471	24.3622350674374	0.817047496168065	0.848595460165865	0.157626379138194	0.157626379138194	1.05858553507464	0.829330424231858	0.738453890823758	0.763033238694791	1.05858553507464	0.829330424231858	0.738453890823758	0.763033238694791
LOC673652	0.535818907785896	1.0	24.8590353542108	10.0144771432899	8.12535877772653	0.777403051906217	0.0956761508226882	6.96154830624361	9.97879265835294	7.70116771333783	7.97367392406472	6.96154830624361	9.97879265835294	7.70116771333783	7.97367392406472
Mid1-ps1	0.859350425282069	1.0	24.6656509352161	11.2565186197883	2.16951543249554	0.141014011794431	0.0649979298060239	1.81948263378078	2.5732327266696	2.06065602497035	2.23827849701616	1.81948263378078	2.5732327266696	2.06065602497035	2.23827849701616
Gm8525	0.95331160237753	1.0	24.1844548774126	3.50286988145981	0.408937964313984	0.103920561009127	0.103920561009127	0.300711241332178	0.63915775057449	0.118459365693392	0.578010725401784	0.300711241332178	0.63915775057449	0.118459365693392	0.578010725401784
Gm4017	0.0674613195070366	0.211102113817928	26.560157790927	13.8220458631535	7.63008097656939	0.854761577418676	0.112025230144149	6.47280946967514	7.50947795422493	8.09229975252481	8.49312346423454	6.47280946967514	7.50947795422493	8.09229975252481	8.49312346423454
Zf12	0.289951004891749	0.606170726774806	22.9328392297646	4.92732388504406	0.580920391160965	0.144780728384193	0.144780728384193	0.56770137870291	0.762438463624277	0.439282949288222	0.545602293186617	0.56770137870291	0.762438463624277	0.439282949288222	0.545602293186617
LOC100862337	3.98783284611959e-05	0.0011551076101585	23.9926335174954	8.78824279230297	0.0580882243632458	0.0824664621780921	0.0824664621780921	0.0	0.128798913226237	0.103441697628814	0.0	0.0	0.128798913226237	0.103441697628814	0.0
Vamp7	0.0790651797741888	0.241202946008762	23.5436490508954	3.10688477752494	9.48506556278764	1.45660235392433	0.15356797950232	10.3243570749822	10.5419262553875	7.89282622787865	9.18889075468447	10.3243570749822	10.5419262553875	7.89282622787865	9.18889075468447
Akap17a	0.129212602193162	0.363011815525761	24.0819366852886	21.4200228857663	7.83478630405216	0.72257170841718	0.0922260902053533	8.71011300668687	7.02739482358602	7.61363191648036	7.97711992089297	8.71011300668687	7.02739482358602	7.61363191648036	7.97711992089297
2510022D24Rik	0.0908635631737295	0.270998754748737	26.6626746506986	0.736728510429556	14.9126243195353	1.61574473785358	0.108347444637023	17.2843413631652	14.9949543118429	14.1040077070764	13.2214047331516	17.2843413631652	14.9949543118429	14.1040077070764	13.2214047331516
Gm25651	1.0	1.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hccs	0.325429333889467	0.670663257331658	22.9040916782034	3.58892702380888	20.3929981117621	1.40723582489108	0.0690058331383571	20.724304755056	21.690093459163	18.4970028781068	20.6787441604311	20.724304755056	21.690093459163	18.4970028781068	20.6787441604311
Prps2	0.001474036339336	0.0102363008674445	23.8509012340308	5.30819504801654	0.915003033848552	0.176698376746897	0.176698376746897	1.00034328167707	1.0845365238769	0.821848562111244	0.75061380420823	1.00034328167707	1.0845365238769	0.821848562111244	0.75061380420823
Bmx	0.95667140253702	1.0	24.3812158969873	20.8312382405192	0.879949596168317	0.0515460292267422	0.0515460292267422	0.999462094485612	0.704357894847863	0.984296805989455	0.82806528214798	0.999462094485612	0.704357894847863	0.984296805989455	0.82806528214798
Ace2	0.0937004458068245	0.278029031529026	26.560157790927	13.355586543454	1193.10056920686	59.8364206197928	0.0501520342577411	1101.18382534525	1203.30630265274	1227.07011430283	1246.99434479651	1101.18382534525	1203.30630265274	1227.07011430283	1246.99434479651
