CycID	meta2d_phase_diff	meta2d_rAMP_diff	meta2d_rAMP_diff_sub
0610007N19Rik	8.59041845573913	2.1748708608323706	0.1917857637337379
0610007P22Rik	9.96905428240787	2.0663926209772505	0.126968109024735
0610008F07Rik	3.4920235402007	6.166335259636096	0.401854240951501
0610040B10Rik	3.17619215308534	4.783148178704859	0.650962058227686
1110008P14Rik	9.85489259776006	2.430653183104268	0.179198430633945
1110031I02Rik	9.04198991415967	3.2218471285607952	0.1520383177215511
1110032A04Rik	9.371670182304491	7.733944747882468	0.6727470064188055
1110059G10Rik	0.5750211240772871	4.423936692484894	0.428282541534129
1200009I06Rik	7.426037654908299	2.0554153393431736	0.0936847275611778
1300018I17Rik	11.04443755410259	2.039622136048366	0.0648122903716472
1300018J18Rik	11.0135853923061	2.2327875506737125	0.0844119987797095
1600020E01Rik	2.843073097184101	2.280837284384142	0.237483041628255
1700009P17Rik	7.680005532863401	6.077997677648018	0.3220235407853102
1700017B05Rik	0.8326689329109023	3.305813471753537	0.2343247074958909
1700020O03Rik	10.708652587582511	2.016510562498377	0.0497804768305706
1700025G04Rik	0.94060773746002	2.096931706248595	0.10289628423554
1700025N23Rik	6.690642837134698	2.387276490541932	0.191792524599059
1700027F09Rik	1.8097896694131	3.3207592581691983	0.4389300325605709
1700029I01Rik	4.649325714318551	3.480277574348888	0.1049459159617408
1700030A11Rik	1.4095509164329023	5.814367305067991	0.4639252825523693
1700030K09Rik	11.86950760549029	4.545110194248061	0.2695949147854303
1700031P21Rik	3.821695927336101	2.0317000490254973	0.301500756834375
1700034H14Rik	8.857787863987411	2.679364617510389	0.1113020805208167
1700057G04Rik	0.98188538021793	5.088009188628444	1.384902510863104
1700066M21Rik	10.290789932879708	6.69166293389564	0.3753209696912766
1700097N02Rik	7.04608178750682	2.3170299100010627	0.3937115253269319
1700109H08Rik	10.371992418362051	1.8458281136029016	0.288919387188937
1700120E14Rik	8.006291379439498	3.030491158810864	0.1356182763892036
1810014F10Rik	8.8716658072659	3.2209742712838296	0.0622504782838339
1810037I17Rik	0.9403256289810996	2.399836051550552	0.0379555295975104
1810043G02Rik	1.9466529034674007	3.235574595958559	0.250455345096355
1810046K07Rik	4.7161841080461	1.4155014112631514	0.2170250993331139
2010001E11Rik	1.4019537179861992	24.95063335169105	0.2097423953766168
2010002M12Rik	3.3510031668409788	3.1557242746790752	0.271675823645749
2010003O02Rik	5.6025424421438	2.9387737990638167	0.3670441774380379
2010106G01Rik	7.104065010939255	2.840930367620649	0.1847558408370559
2010109I03Rik	2.9337526793586	2.161621910515095	0.351291892193992
2010300C02Rik	7.678309398919599	2.4458512440667737	0.1168908577723586
2200002J24Rik	4.0814673637308	2.2523205653013507	0.180226889374545
2210010C17Rik	8.168225648340044	7.111167605291716	0.1850070738598818
2210016L21Rik	4.505540690839211	2.1686584153553894	0.125725380781232
2310014F07Rik	9.8862187285519	5.45535222888252	0.0695023839955545
2310022B05Rik	1.726523267293599	2.7127128244198246	0.221770661979445
2310035K24Rik	3.54706592187347	4.045846518518032	0.2145254549854984
2310043O21Rik	6.2094183134371015	2.937687783981629	0.254856722622739
2310057M21Rik	0.2415941118365001	2.3032123627089147	0.1161618137797936
2310068J16Rik	1.8535558919419	5.78301424989568	0.3889528483412635
2610001J05Rik	1.8253968373734075	4.44255799840924	0.2248415196470372
2610204G22Rik	11.90585039526576	2.467864497171843	0.162155000704487
2610524H06Rik	11.32794539175142	2.225218953168426	0.15357017590595
2700029M09Rik	1.13082901781363	19.065230240102828	0.2049808318011476
2900010M23Rik	3.513823052343099	10.025951464815032	0.1089045756515594
2900092E17Rik	0.4628747443449992	4.717228640990603	0.1419345059106466
3000002C10Rik	1.5910737691133754	2.3111830344699653	0.19937822564268
3110003A17Rik	2.37382344842068	2.415350379975461	0.195128596775357
3110052M02Rik	7.11428906158655	1.994145489108864	0.215138990622887
3300002I08Rik	7.136676656190598	1.7806041797637784	0.216978479452385
3830406C13Rik	11.897013953647974	4.090094490648327	0.2178215624162627
4632427E13Rik	0.5003916217776005	2.8090834345820785	0.1034678502519187
4732418C07Rik	4.555636123751199	3.5965552219530617	0.0990419351601062
4921508A21Rik	8.569032530553361	3.267961974374828	0.1704042425692778
4921523A10Rik	7.5477250530822495	2.054062890766297	0.247769048151629
4930422G04Rik	7.423313913495409	2.505196225867771	0.0685332161304736
4930430J02Rik	4.472092186773601	11.29363497721426	0.9185700429893164
4930453N24Rik	4.320614921796079	2.271571248092126	0.1126533985524059
4930455F23Rik	8.1476731949171	2.577093689663175	0.1030534679350946
4930471I20Rik	4.186739261087801	2.7346194397698453	0.365456040172581
4930473A06Rik	5.580570151683199	2.347482090606145	0.163204290502044
4930511M06Rik	7.826361093071029	2.387725472789136	0.0617191208049448
4930562F07Rik	0.6790052772013002	2.402083225160031	0.1752506475598969
4931406H21Rik	7.002341406179359	5.616665895430925	0.3263529811238937
4931406P16Rik	3.29694159788059	3.0878872719656854	0.0813751807217829
4933404O12Rik	4.135746117271099	4.847771870137996	0.3250778742728212
4933407K13Rik	5.010903763675611	2.6044388449895712	0.1915481385560029
4933411K16Rik	9.36041466327722	12.376093502292877	0.5382789139897083
4933421E11Rik	0.2892404472466001	2.9454453493272004	0.1217290336687338
4933421O10Rik	11.8458998839961	2.468294666958303	0.1077411203918554
4933422H20Rik	8.953666734754789	7.279924738347698	0.4274364713068463
4933426M11Rik	5.847139685182601	3.54857707332229	0.1072334506731273
5033411D12Rik	0.1277643226794005	6.938763371651203	0.222232018352988
