CycID	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
0610005C13Rik	1	yule-walker	1	20.5773195876289	34.4355214795889	11.8534619520499	47.0246833333333	0.841615604951947	0.736026008253245	0.599664145088739	0.0630330882058379	1
0610007C21Rik	0	default	1	24	4.10346648612809	11.1918004879299	43.8661	0.256457080605627	-0.239238198990622	0.163776691720728	0.641149139053917	1
0610007L01Rik	0	default	1	24	0.553028391865328	10.6451029314464	9.57368166666667	0.234071140013095	-0.276548099978176	0.0891191411815388	0.670320730800578	1
0610007N19Rik	1	mle	1	25.2658227848101	0.632285935468714	11.0549321434407	4.11066333333333	0.613105851068903	0.355176418448172	0.141046441031782	0.240651317014811	1
0610007P08Rik	1	mle	1	21.5783783783784	0.12025201381711	2.6414943599806	0.8820505	0.475044392582831	0.125073987638052	0.13863154764757	0.380350392384232	1
0610007P14Rik	0	default	1	24	12.1655021927672	15.6239517706251	112.515183333333	0.239178133280108	-0.268036444533154	0.195793039614198	0.663627660113226	1
0610007P22Rik	1	yule-walker	1	20.6839378238342	0.431344522148311	17.2186163116866	5.23677	0.405646288009078	0.00941048001512956	0.104430607289842	0.458213066123427	1
0610008F07Rik	0	default	1	24	0.63567207511616	13.7217739423319	2.55896333333333	0.170165229943455	-0.383057950094241	0.465668573534637	0.75594020084308	1
0610009B14Rik	1	mle	1	25.4267515923567	0.0844575838599332	22.3184477181465	0.08065135	0.768083732200476	0.613472887000793	0.916241992676205	0.111685506997329	1
0610009B22Rik	0	default	1	24	3.80459099513855	22.4181425868598	19.9741666666667	0.94733533109177	0.912225551819617	0.142233374410752	0.0120859011350554	1
0610009D07Rik	0	default	1	24	2.28677643099063	15.8412177496552	47.4497666666667	0.301435644558426	-0.164273925735956	0.0719241768277879	0.583861223064409	1
0610009L18Rik	1	mle	1	21.8142076502732	0.9793618041	13.3261641186984	2.443505	0.62168571984569	0.369476199742817	0.427942647356836	0.232690740802493	1
0610009O20Rik	0	default	1	24	0.365982931011829	11.434938059842	5.74495666666667	0.264740207143599	-0.225432988094002	0.0923971665111777	0.630465354817905	1
0610010B08Rik	0	default	1	24	0.0154822396217811	4.51390441132266	0.11337195	0.239108339241149	-0.268152767931419	0.205889499378025	0.663718979091432	1
0610010F05Rik	1	burg	1	20.7916666666667	0.150436100294696	7.43905719201959	0.971319666666667	0.555982688662564	0.25997114777094	0.145775133889808	0.295869265829745	1
0610010K14Rik	0	yule-walker	1	20.1616161616162	0.439684347424939	18.5671128740803	18.0709	0.873169486187071	0.788615810311786	0.0233774195511323	0.0451684957845493	1
0610010O12Rik	1	yule-walker	1	20.9005235602094	54.286650502349	19.079497692275	540.425	0.856904377677993	0.761507296129988	0.0825890624922387	0.0541301862741957	1
0610011F06Rik	0	default	1	24	3.12379736843962	13.0323658569157	35.7996	0.25780538160056	-0.236991030665733	0.148382234256165	0.639405991505765	1
0610011L14Rik	0	default	1	24	0.0785916366062221	22.1635150018615	6.82235833333333	0.00560755815521974	-0.657320736407967	0.122309914184669	0.991600465576586	1
0610012G03Rik	0	default	1	24	2.4010602837677	14.1430725320458	23.4057833333333	0.234350989043204	-0.276081684927994	0.174850553006325	0.669953389627876	1
0610012H03Rik	0	default	1	24	0.0529653306048819	8.13298618275877	0.396515166666667	0.119681327230438	-0.467197787949271	0.337521843184336	0.82596162665633	1
0610030E20Rik	0	default	1	24	1.07346392539339	19.3476136205903	8.56049666666667	0.363412505334747	-0.060979157775422	0.193678886884743	0.507910457143075	1
0610031J06Rik	0	default	1	24	5.97711715424601	13.5958697160078	90.2855833333333	0.191110939424142	-0.348148434293097	0.111673429661244	0.727500746139354	1
0610031O16Rik	NA	NA	NA	NA	0	NA	0	NA	NA	NA	1	1
0610037L13Rik	0	default	1	24	0.0575208380428513	2.57733975901062	8.48327666666667	0.0192559131451171	-0.634573478091472	0.0905657771962243	0.971255626101642	1
0610037P05Rik	0	default	1	24	1.60768667095389	11.7249514997268	18.3432166666667	0.300900381195707	-0.165166031340488	0.119171878970606	0.584532412577445	1
0610038B21Rik	0	default	1	24	0.0320646186935866	11.2777810465445	0.0377235666666667	0.531511502871524	0.219185838119207	0.97368035564543	0.320662665331516	1
0610038L08Rik	0	default	1	24	0.0624285034633286	12.6401711449622	0.419724166666667	0.252329762272106	-0.246117062879823	0.229176090853146	0.64649495439091	1
0610039K10Rik	0	default	1	24	0.0683825842213025	20.9590042765356	0.293200766666667	0.0930745175156898	-0.511542470807184	0.568339248494208	0.863689037113257	1
0610040B10Rik	1	yule-walker	1	20.1616161616162	0.612656722379824	1.61734106912291	1.568413	0.81776233580635	0.69627055967725	0.345145740528919	0.0777959897429588	1
0610040F04Rik	0	default	1	24	0.0458678044323327	14.4174734054764	0.241130833333333	0.0964125372676079	-0.505979104553987	0.491461604856205	0.858925101105953	1
0610040J01Rik	0	default	1	24	5.49325970750896	14.669437499546	47.9104166666667	0.260281652094263	-0.232863913176228	0.168464770251405	0.636208674905604	1
0610043K17Rik	0	default	1	24	0.044761222378056	0.142295529512191	0.1144935	0.294149323328336	-0.176417794452773	0.521998730813159	0.593019880657668	1
0910001L09Rik	0	default	1	24	4.69870581979496	13.111276959489	48.9973	0.345971951735014	-0.09004674710831	0.115371656079626	0.528925567181865	1
100043387	0	default	1	24	0.041833583899725	9.11093262315027	0.174192333333333	0.131804268544644	-0.446992885758926	0.496510954599986	0.808958922379182	1
1100001G20Rik	1	yule-walker	1	20.9005235602094	0.551588136055674	8.85102032086055	1.045376	0.817071764786497	0.695119607977495	0.437489439851428	0.0782386083355062	1
1110001A16Rik	0	default	1	24	0.390180228736225	10.9381683474689	6.02169333333333	0.118072070370653	-0.469879882715578	0.164886375744622	0.828227496482853	1
1110001J03Rik	0	default	1	24	2.76022604358063	13.0562777253936	44.86445	0.217105336124958	-0.304824439791736	0.142799903093549	0.692715650035485	1
1110002B05Rik	0	default	1	24	1.36374727084542	21.705238335285	72.99875	0.0180193815597703	-0.63663436406705	0.106987025457028	0.973093057624455	1
1110002L01Rik	1	burg	1	20.2639593908629	0.121750070858169	0.660007176097044	0.7537235	0.541342545837861	0.235570909729768	0.166804500988151	0.310622337951978	1
1110002N22Rik	0	default	1	24	0.150271692259913	0.672589813095959	1.604336	0.157121690380585	-0.404797182699024	0.241808580052016	0.77383312607254	1
1110003E01Rik	0	default	1	24	1.47306795652803	12.1961708199716	32.692	0.116473155155889	-0.472544741406852	0.103048974051576	0.830480853365204	1
1110004E09Rik	0	default	1	24	0.288263310147742	19.0828718255324	4.945135	0.0640974700054578	-0.559837549990904	0.165646567407872	0.905411344876183	1
1110004F10Rik	0	default	1	24	0.557663537358204	17.0807085333797	22.2093666666667	0.0725188798876637	-0.545801866853894	0.0790000125865377	0.893218309397389	1
1110005A03Rik	0	default	1	24	0.487087122077537	18.282644294874	9.74164166666667	0.184758681010537	-0.358735531649105	0.0837254162463613	0.73608721474809	1
1110006O24Rik	1	mle	1	24.641975308642	0.238006234193545	22.1251381190355	0.8956005	0.606267712428669	0.343779520714448	0.263131126331094	0.247059492582165	1
1110007C09Rik	0	default	1	24	12.1662469910778	12.2804363896455	79.5394	0.287382243291028	-0.18769626118162	0.205020392914694	0.601568323263824	1
1110008F13Rik	0	default	1	24	2.18803152658048	12.5656126715927	11.8407933333333	0.171030851633329	-0.381615247277785	0.343383434340141	0.754757698765062	1
1110008J03Rik	1	yule-walker	1	20.9005235602094	0.261917775954838	8.33373437156101	1.764995	0.872399757463449	0.787332929105749	0.118056658065771	0.045580307401204	1
1110008L16Rik	0	default	1	24	0.144130182024081	4.75284726681018	1.49555	0.273332653944909	-0.211112243425152	0.279196985056139	0.619446020682313	1
1110008P14Rik	0	default	1	24	2.36345256545974	15.1075662169237	29.41965	0.165375612676099	-0.391040645539835	0.197654301685052	0.762494307336362	1
1110012J17Rik	0	default	1	24	0.00684548368651943	3.57857050288454	0.0644013333333333	0.101845787048731	-0.496923688252115	0.259049254847573	0.851189714396066	1
1110012L19Rik	0	default	1	24	1.05767910279563	21.8504481635889	11.0827566666667	0.378296519145949	-0.0361724680900855	0.121458168980419	0.490201852811258	1
1110014N23Rik	0	default	1	24	0.496707425501014	13.975146226293	11.9621333333333	0.0846334666669402	-0.525610888888433	0.102103131031623	0.875775003320033	1
1110015O18Rik	NA	NA	NA	NA	0	NA	0	NA	NA	NA	1	1
1110017D15Rik	0	default	1	24	0.0395651171352881	4.3531964738708	0.149042966666667	0.0816804899569834	-0.530532516738361	0.660576911828897	0.880016300714807	1
1110017F19Rik	1	mle	1	20.5773195876289	2.71487002954056	17.4624363267225	31.8769833333333	0.770928906661942	0.618214844436571	0.084528783790201	0.109636568214538	1
1110018G07Rik	0	default	1	24	1.80503853839063	21.435549129944	11.3306683333333	0.859604563034254	0.76600760505709	0.140452858728774	0.0526052985067655	1
1110018J18Rik	0	mle	1	20.2639593908629	0.600234613566546	1.68808449922661	3.84344333333333	0.761157088402052	0.601928480670086	0.129857742127067	0.116726250473165	1
