CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
Gm4944	0.246993858019162	0.417028459798212	27.5944700460829	26.375943569669	0.26679300552876	1	1	30	29	0.51448382292352	0.40851441186412	0.714477916186379	25.9880239520958	0.147816773737897	3.43838681766308	0.597731431807585	1	27.8608313327262	27.1929541554523	3.30972727927051	0.282117438972025	0.0852388777585945
Gm505	0.098511093914355	0.208902787395592	25.2658227848101	12.4759668428224	0.407438646323478	0.732142857142857	1	24	14	0.102523412204237	0.262344594296104	0.547298206179739	25.3801169590643	13.7589299616552	5.70010019756012	0.242909807376926	0.525314757740022	24.8819799146248	13.4307262177301	5.33016928173307	0.430009941702713	0.0806747251304744
Gm5105	0.0213090279332115	0.0843268746710871	24	15.1202073124376	0.0860891551921815	0.0208333333333333	0.0915635430442723	24	17	0.0968626688674486	0.10431388223002	0.506542688447737	24.8	14.3511531878969	0.458846229779758	0.00281475413310039	0.0144738340845081	24.2666666666667	15.5002699140931	0.386297876846053	0.102305147989898	0.102305147989898
Gm5129	1.7959436857673e-06	0.000215355865783529	24	11.2754505772647	0.962144572230191	0.0208333333333333	0.0915635430442723	24	14	0.959643957679683	0.0890993877843353	0.506542688447737	23.9779005524862	11.2080046427121	1.50346851631251	7.03471696339442e-07	9.96611835419713e-05	23.9926335174954	12.1424309186857	0.941034879483943	0.95315847055669	0.95315847055669
Gm5424	0.0223215748614842	0.0862999494769332	24.0481927710843	10.7782148256577	0.933538351236588	0.732142857142857	1	24	14	0.930838902287877	0.18664584030142	0.523748756845587	24.2458100558659	9.7813764169742	2.28876950088219	0.071892502645971	0.21446977289731	24.0980009423167	11.4853807732127	1.6461650552054	0.920953875794378	0.559454152475291
Gm5485	0.221809272172818	0.383439778446627	24	14.2658293994683	10.3665083199308	1	1	30	14	17.887043847573	0.297833331790636	0.585671749572744	25.9880239520958	14.1233098155238	90.6485278860839	0.48943063215142	0.882618307726366	26.6626746506986	14.2667557207151	79.4560082889046	12.1292964774063	0.152654238975909
Gm5506	0.0050297926310352	0.0414508075144507	24	13.707391177939	36.0880693159765	0.0208333333333333	0.0915635430442723	24	17	29.8614375675594	0.0964936380401408	0.506542688447737	24.5197740112994	14.0280632139294	87.806301510003	0.000795236494303686	0.00818618386290609	24.1732580037665	14.8875693490456	58.4755479561448	39.7646277846817	0.680021464946411
Gm5512	0.06653374021098	0.167761179450561	22.5962264150943	14.6964339515963	1.23481882610889	0.732142857142857	1	24	20	0.00232314063972556	0.231545687124422	0.523748756845587	22.4870466321244	14.0010610336967	1.3322511885311	0.175294548601072	0.423016295031818	23.0277576824062	16.0744582147256	0.640383608653957	1.31575377465538	1.31575377465538
Gm5535	0.0941533259261269	0.206203258614353	24.95	24.9342215832542	1.71413201634744	0.732142857142857	1	24	2	0.571742501636882	0.261240867618422	0.546367554023856	25.0867052023121	0.672532175461999	2.39258071919571	0.235634172518624	0.512822317831485	24.678901734104	0.898067852282319	1.40398811636273	1.80189891501293	1.28341464860904
Gm5547	0.000541873182621444	0.011255410419135	24	22.7887359873063	0.372513803519851	0.732142857142857	1	24	2	0.371944177311764	0.104670098453338	0.506542688447737	23.9779005524862	21.5430139105454	1.08315987869269	0.00257397292424943	0.0136308378381985	23.9926335174954	23.4033960816717	0.867385850018365	0.368390248531594	0.368390248531594
Gm561	0.0140537757891614	0.0698425520579495	23.1196911196911	19.6244709350228	1.65081932216586	0.0208333333333333	0.0915635430442723	24	20	1.34158662487743	0.114536733952105	0.506542688447737	23.2085561497326	19.8862877093112	5.35105593238801	0.00215890947521358	0.0122315419196039	23.4427490898079	19.8404757422683	4.00239005715078	1.80994086118772	0.452215010367125
Gm5741	0.00504931760468907	0.0414508075144507	24.1451612903226	21.9955813104431	0.478223989524078	0.169642857142857	0.575277228238234	24	23	0.431929459773381	0.126014111607708	0.506542688447737	24.2458100558659	20.8247536502517	0.610120698479429	0.00559655983575158	0.0241472919266435	24.1303237820628	21.9448050405233	0.327980803417302	0.48488675888993	0.48488675888993
Gm5801	0.769011350465173	1	27.981308411215	26.3803239772531	1.40820634793371	1	1	30	29	5.20098250766141	0.937598386836015	1	28	3.2349721900264	19.0389553415456	0.995427303225108	1	28.6604361370717	0.178299550430332	18.4669372021312	1.37152998158766	0.0742694885770977
Gm5860	0.0566505296232047	0.156218737627384	25.0543933054393	12.6244704196515	0.125396375486064	0.0208333333333333	0.0915635430442723	24	14	0.0330395643509414	0.202966608336221	0.523748756845587	25.0867052023121	13.7846518277126	1.49184256962224	0.0105609756115207	0.0416901367131861	24.7136995025838	13.483957492783	1.38100743708821	0.133281103722702	0.0965100550100723
Gm5901	0.00317493662420476	0.032097321876257	24.1451612903226	11.9808767561038	0.720999791927619	0.0208333333333333	0.0915635430442723	24	14	0.690889287160034	0.116976178758765	0.506542688447737	24.2458100558659	12.7351489243556	5.76699251012851	0.000634689292797308	0.00733855586065701	24.1303237820628	12.9050714886823	5.24431923615124	0.73330037521619	0.139827562395754
Gm5918	0.234906540470003	0.400761323414553	22.3432835820896	8.03087781001153	0.601515044888406	1	1	24	8	0.446820775031779	0.466865745686864	0.782132928266853	21.3793103448276	9.2789235662564	2.03263097575089	0.619958249210867	1	22.5741979756391	8.47261969740778	1.80105908229076	0.630893519155989	0.350290296059338
Gm6034	0.0351815931286832	0.113544589477325	22.9425287356322	14.8938990675702	0.77117052858599	0.0208333333333333	0.0915635430442723	24	17	0.354249890772742	0.158923215494611	0.506542688447737	22.7225130890052	14.1770927462977	2.48276915374906	0.00594986216519677	0.0254479947690701	23.2216806082125	15.3343718375113	2.01270804581846	0.873377205956514	0.433931392966316
Gm609	0.0678796607552229	0.170009332170288	23.2996108949416	4.4757008718442	1.41007623636181	0.732142857142857	1	24	8	1.47997449302344	0.170253189675687	0.511255284600231	22.4870466321244	3.9574954667506	6.87295132213875	0.145189840103133	0.368647811648022	23.2622191756887	5.39918155419411	5.79396896397437	1.66422953159089	0.287234802591919
Gm6289	0.0426159856026344	0.128566421096367	24	15.9110867555676	1.63867409896504	0.169642857142857	0.575277228238234	30	17	2.48724810282368	0.117383059054173	0.506542688447737	25.0867052023121	14.6263975144227	5.6871505211298	0.0280704767548915	0.0979897210007564	26.3622350674374	15.9202863120723	4.30872176379329	1.87259730048142	0.434606225033392
