Gene	GF-H3K9ac_1	CV-H3K9ac_3	CV-H3K9ac_2	CV-H3K9ac_1	GF-H3K9ac_2	GF-H3K9ac_3	GF-H3K9ac_4	CV-H3K9ac_6	CV-H3K9ac_5	CV-H3K9ac_4
Slc26a8	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc26a9	38.0	49.0	15.0	15.0	40.0	63	27.0	8.0	9.0	14.0
Slc27a2	11.0	13.0	2.0	1.0	14.0	17	17.0	2.0	6.0	0.0
Slc27a3	59.0	47.0	10.0	21.0	65.0	56	94.0	6.0	5.0	5.0
Slc27a4	33.0	14.0	5.0	10.0	32.0	27	43.0	3.0	4.0	2.0
Slc27a6	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc28a2	152.0	132.0	9.0	31.0	140.0	152	146.0	10.0	14.0	12.0
Slc28a2b	56.0	22.0	10.0	14.0	59.0	17	49.0	5.0	1.0	14.0
Slc28a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc29a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc29a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc29a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc29a4	51.0	49.0	15.0	30.0	74.0	37	40.0	3.0	10.0	9.0
Slc2a1	21.0	38.0	5.0	20.0	30.0	37	22.0	5.0	9.0	11.0
Slc2a10	17.0	23.0	2.0	11.0	20.0	17	22.0	0.0	2.0	3.0
Slc2a12	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc2a13	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc2a2	17.0	21.0	2.0	4.0	25.0	15	19.0	2.0	2.0	1.0
Slc2a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc2a4rg-ps	22.0	21.0	6.0	15.0	35.0	18	14.0	4.0	4.0	0.0
Slc2a5	88.0	51.0	8.0	31.0	68.0	75	111.0	7.0	7.0	11.0
Slc2a6	77.0	43.0	8.0	10.0	32.0	55	45.0	3.0	8.0	8.0
Slc2a7	62.0	25.0	8.0	8.0	34.0	39	47.0	6.0	2.0	2.0
Slc2a8	69.0	59.0	13.0	13.0	91.0	33	65.0	2.0	2.0	3.0
Slc2a9	61.0	112.0	30.0	51.0	111.0	96	60.0	12.0	3.0	11.0
Slc30a1	63.0	30.0	8.0	6.0	51.0	52	31.0	4.0	3.0	3.0
Slc30a10	16.0	21.0	7.0	17.0	20.0	24	20.0	3.0	8.0	0.0
Slc30a2	281.0	220.0	29.0	21.0	414.0	303	544.0	4.0	7.0	24.0
Slc30a3	226.0	167.0	26.0	21.0	222.0	225	242.0	20.0	17.0	21.0
Slc30a4	18.0	16.0	5.0	2.0	18.0	17	13.0	4.0	2.0	4.0
Slc30a5	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc30a6	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc30a7	12.0	59.0	5.0	5.0	39.0	37	16.0	5.0	3.0	3.0
Slc30a8	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc30a9	18.0	20.0	4.0	6.0	12.0	9	16.0	5.0	1.0	2.0
Slc31a1	57.0	47.0	16.0	11.0	57.0	35	31.0	1.0	3.0	7.0
Slc31a2	131.0	129.0	24.0	20.0	161.0	129	174.0	7.0	10.0	11.0
Slc32a1	58.0	36.0	23.0	13.0	64.0	48	71.0	5.0	8.0	8.0
Slc33a1	13.0	29.0	6.0	4.0	18.0	26	15.0	4.0	2.0	3.0
Slc34a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc34a2	23.0	24.0	4.0	3.0	30.0	37	29.0	3.0	4.0	1.0
Slc34a3	92.0	65.0	35.0	22.0	54.0	67	87.0	1.0	7.0	19.0
Slc35a1	70.0	71.0	10.0	12.0	64.0	74	98.0	2.0	11.0	8.0
Slc35a3	832.0	522.0	46.0	51.0	756.0	751	1027.0	12.0	56.0	29.0
Slc35a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35a5	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35b1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35b2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35b3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35c1	44.0	38.0	12.0	12.0	52.0	37	47.0	2.0	15.0	3.0
Slc35c2	88.0	83.0	26.0	18.0	95.0	111	88.0	7.0	12.0	14.0
Slc35d1	20.0	27.0	6.0	13.0	38.0	37	19.0	6.0	1.0	4.0
Slc35d2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35d3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35e2	57.0	44.0	11.0	24.0	43.0	46	37.0	5.0	7.0	9.0
Slc35e3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35e4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35f1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35f4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
