CycID	BH.Q	ADJ.P	PER	LAG	AMP
Prep	0.0149491017088225	0.00193362193362193	24	4	1.36888801769904
Prepl	0.000880451820417746	2.63798701298701e-05	24	18	25.0655211795007
Prex1	0.582041874488661	0.247873827561328	24	14	0.197926259121926
Prex2	0.360121126479522	0.0968455387205387	28	2	0.0474468650176174
Prf1	1	1	20	14	0.0759623601825273
Prg2	1	1	24	16	0.115474072901669
Prg3	1	1	0	0	0
Prg4	1	1	28	14	0.129814021647437
Prh1	1	1	0	0	0
Prhoxnb	0.0149491017088225	0.00193362193362193	24	4	0.270322750517608
Prickle1	1	0.558904371091871	28	14	0.0750848406670747
Prickle2	0.0149491017088225	0.00193362193362193	24	4	0.263455258748046
Prickle3	0.128199133203855	0.0324589646464646	24	12	0.336186848047332
Prim1	0.360121126479522	0.0968455387205387	28	0	0.161061247084766
Prim2	0.128199133203855	0.0324589646464646	24	4	0.12320982108785
Prima1	1	1	0	0	0
Prkaa1	0.582041874488661	0.247873827561328	24	6	1.00312996406248
Prkaa2	0.128199133203855	0.0324589646464646	24	12	0.87097877772653
Prkab1	1	1	28	8	5.93559574263612
Prkab2	0.582041874488661	0.247873827561328	24	0	0.00585767257534933
Prkaca	0.582041874488661	0.247873827561328	24	12	2.97416183234874
Prkacb	1	1	28	24	0.0666448141268321
Prkag1	0.128199133203855	0.0324589646464646	24	8	4.27997592516593
Prkag2	1	1	28	8	0.734706926623212
Prkag3	0.0149491017088225	0.00193362193362193	24	10	0.102976101965553
Prkar1a	0.582041874488661	0.247873827561328	24	18	0.930764656075851
Prkar1b	0.582041874488661	0.247873827561328	24	22	0.0991427346833846
Prkar2a	1	1	28	22	3.62526575646531
Prkar2b	0.582041874488661	0.247873827561328	28	26	0.116959704248942
Prkca	0.582041874488661	0.247873827561328	24	6	0.0574170706323483
Prkcb	1	1	28	0	0.070912203551293
Prkcc	0.582041874488661	0.247873827561328	24	22	0.0445293424384417
Prkcd	0.128199133203855	0.0324589646464646	24	0	8.34810265868839
Prkcdbp	0.582041874488661	0.247873827561328	24	22	1.38449386435982
Prkce	1	1	28	8	1.2136215106861
Prkch	1	1	20	14	0.100798071658142
Prkci	0.128199133203855	0.0324589646464646	24	2	0.442705413565274
Prkcq	0.360121126479522	0.0968455387205387	28	2	0.0679388195364035
Prkcsh	0.582041874488661	0.247873827561328	28	16	5.68146156547767
Prkcz	0.582041874488661	0.247873827561328	24	12	2.61778001463072
Prkd1	0.128199133203855	0.0324589646464646	24	18	0.0846597735911218
Prkd2	0.128199133203855	0.0324589646464646	24	18	0.311070415179587
Prkd3	1	1	20	0	0.0674643508862273
Prkdc	0.128199133203855	0.0324589646464646	24	6	0.069627390529877
Prkg1	1	1	28	0	0.0385076918005351
Prkg2	0.582041874488661	0.247873827561328	24	10	1.91752509815387
Prkra	0.582041874488661	0.247873827561328	24	8	2.13037131035883
Prkrip1	1	1	28	8	0.768172522809818
Prkrir	0.0149491017088225	0.00193362193362193	24	4	0.291151217153562
Prkx	0.0650169586399842	0.0089799031986532	28	16	0.61932654537005
Prl	1	1	0	0	0
Prl2a1	1	1	24	18	0.0475752048984027
Prl2b1	1	1	0	0	0
Prl2c1	1	1	0	0	0
Prl2c2	1	1	0	0	0
Prl2c3	1	1	0	0	0
Prl2c4	1	1	0	0	0
Prl2c5	1	1	0	0	0
Prl3a1	1	1	0	0	0
Prl3b1	1	1	0	0	0
Prl3c1	1	1	0	0	0
Prl3d1	1	1	0	0	0
Prl3d2	1	1	0	0	0
Prl3d3	1	1	0	0	0
