CycID	meta2d_phase_diff	meta2d_rAMP_diff
ND5	9.54445115876154	5.739612684181759
ND4L	7.900194850621791	7.262157284111038
Pisd-ps3	3.1609860277446984	2.330907258859692
LOC100861738	0.4182290099553007	2.3517088540698987
LOC100861749	6.13844374086802	1.6128300608113513
Gm4017	6.1788265726645	0.5777340061968304
Zf12	3.7426697050563007	1.6256401498492945
Vamp7	2.5973785327817396	2.7140205769319605
Akap17a	9.9945199883155	1.0005300023455592
2510022D24Rik	10.73439485351625	17.513082370343138
Hccs	7.967697753353379	1.392145347947077
Prps2	5.774542802128899	4.7812495298675195
Bmx	3.1320478896096	2.2537149536808387
Ace2	4.611592367558199	1.4590131733347893
Siah1b	5.4355207812457	0.2980975375221883
S100g	5.6985888279081	1.449367250031763
Gm15209	6.6801157030506	1.3352404571974106
Txlng	3.059008381269699	3.160469961007473
Gm8737	9.484187424349573	1.0089013530269302
Gm7331	5.166422293879199	1.8829649006925648
Nhs	4.019395948109999	22.409078205722473
Prkaca-ps1	5.0461223871415	1.495191671602396
Eif1ax	3.5918838288771013	2.054530361014813
Rps6ka3	3.783372022545999	1.5261200667621866
Gm8659	3.078973490129899	2.0315785919694256
Gm8644	0.390773858476301	1.2787966713967505
Mbtps2	0.8506894265221021	3.6182637995782585
Gm6568	4.435636401869591	1.536098190510633
Gm15160	4.482424831810423	0.7845084552620644
Shroom2	0.1228274853707986	1.0366846941930004
Tspyl2	6.7743960183496	0.652522017873806
Smc1a	5.471537791394599	1.1269876234988414
Gm15191	1.2955423909491015	1.6065877671762512
Gm15151	2.3411123170430104	1.7119055330411186
Phf8	0.9769293575502012	2.440057226323056
Gm6451	6.2774752942203005	0.6357980578432775
Maged2	5.92409872894394	0.6339609935908728
Tmem29	4.732512801130399	0.8642095467714325
Gm5644	7.79872362271787	1.9213697095169824
Amot	2.259624892049999	1.543671230348462
Gm15066	9.45152193758349	2.820259805752015
Gm8202	7.717885959720601	3.3641405750705182
Ammecr1	4.0264314709739	1.2500142375440857
Gm4995	3.14662856317106	0.2944328899522462
Gm6368	0.1567261881278021	1.5373782845879702
Gm15294	5.342074194469902	2.158149647732041
Col4a6	3.7500861201127	1.5551123552634136
Psmd10	6.030306846329011	0.987787111634716
Gm6088	7.87567352209803	6.132417754185423
Tsc22d3	1.5420531090304	1.3083521630381196
Rnf128	7.544918443904091	2.737531841904721
Gm6275	7.40407099115637	3.100231247644442
Btf3-ps3	8.85709362647886	207.10366402416113
Gm4917	3.2203133062757985	3.755314544516969
Bex3	3.0518428723871054	4.914177375704088
Tceal9	9.3061472932077	2.7149576027130937
Gm18614	9.91494108116108	2.967593925376974
Gprasp1	6.442446864308099	1.222869396898545
Cenpi	0.1257039429376973	32.50968637444308
Trmt2b	3.860793045523693	1.678493560947257
Gm7823	0.2634704362427023	8.80847552048309
Gm2836	4.2341905199279	1.8797279859372915
Gm7746	1.2367496475193	1.4739557799222576
Rps12-ps22	8.82726958972115	2.1775353848112977
Rps12-ps21	10.95484108171557	3.2211416246716635
Gm16421	9.7684158589631	5.145208910531663
Gm5648	0.8378685051333008	6.341303272517459
Gm5863	2.288445005949701	2.338159970448371
Zfp711	11.29708032046892	0.7755367315325096
2010106E10Rik	6.8419920999523995	2.05155231660691
Gm5393	5.0640911707848915	0.9226426117577328
Gm14886	6.740068259711601	0.3995623131603782
Taf9b	9.89850323895939	0.9072327422213512
Atp7a	2.6764407773566	1.979243349153402
Gm26020	10.90291770870282	1.2776713102589168
5530601H04Rik	7.051944627870501	1.8904464299691677
Zdhhc15	3.3398152531158303	0.1372206429673783
Vcp-rs	0.3369868575673003	1.029268381268781
Rlim	2.68190849152192	1.0576105885690603
Gm9115	0.7078650892806007	2.953753503667817
Ercc6l	3.8749876748128	5.3469032777164704
Pin4	3.0601370503007628	0.0687850465417529
H3f3a-ps1	3.627385133737702	1.4759036562690944
Tpt1-ps6	3.673742442545499	1.0185126242575708
Marcksl1-ps5	1.3029372499581005	1.950043758721868
Taf1	1.066597847912302	5.664627613937811
Nono	5.353939142429503	1.650460435568621
Med12	3.385450073392901	1.073072538849671
Dlg3	1.46162324058265	1.5599736866807103
Kif4	9.9702424570828	1.4337330959758898
Pdzd11	7.385189618433401	1.601270436204572
Gm5760	3.8870659312248	1.9974255065751765
Gm14935	0.7848449331184995	1.3266786045409704
Heph	6.4000033066547	3.918817575067296
Msn	7.645104309396398	1.3595201971482584
Las1l	3.780849639054899	1.6399339904545658
LOC118568447	8.749064023088	5.50191367815457
Gm39526	2.7150977776997003	1.0081905957913284
Maged1	8.1424291202653	1.356767252662358
Gm15164	8.156345129772257	1.1884666133273083
Pola1	3.462173903433481	6.426573657320776
Gm14783	3.009496378945098	1.4914831315082688
Gm8844	1.0616092261349994	1.4500185907550265
Gm8839	6.5261212922449	1.0575862418264643
Actr3-ps	8.454683189534938	3.389207351941526
Gm8806	4.5497132859684015	1.904483569535064
Gm8792	3.7505143037409017	3.606570338092832
Gm17817	6.13444352295577	1.4061492989533868
Gm8770	1.1016106733143012	2.7696197944120304
Prkx	11.05321012177814	1.7942654567858292
Gm14746	4.591865602926099	1.810267579336153
Tbl1x	1.3298719497321976	1.8878656634230453
Oat-rs1	4.748398445433061	4.596297732499995
Gm8666	5.1385288153836015	6.903519138530129
Gm6039	3.0684657302214973	4.325718268577771
Gm8503	6.75321923136228	1.3017209915044343
Gm4989	3.102126366650598	1.8123588020471664
G6pdx	7.77514582658069	1.398036660435257
Fam3a	3.263363796731202	2.049210102959006
Slc10a3	7.02252271446433	0.6527473320017142
