CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK1_rep1	ZK2_rep1	ZK3_rep1	ZK4_rep1	ZK5_rep1	ZK6_rep1	ZK1_rep2	ZK2_rep2	ZK3_rep2	ZK4_rep2	ZK5_rep2	ZK6_rep2
ND5	0.0378765263484043	0.186902136994825	24.2073020730207	8.53238949734554	1201.10457507764	249.673736312532	0.207870106810968	1002.75209809285	1536.07775603666	1222.72243825216	1475.04491854082	1043.41419255579	939.309698558554	1002.75209809285	1536.07775603666	1222.72243825216	1475.04491854082	1043.41419255579	939.309698558554
ND4L	0.426494536453505	1.0	24.3676472837976	8.38925332175168	481.18714050271	103.048334204248	0.214154380968266	377.326015022172	695.451206933903	396.98020130335	659.481486455562	393.113603268614	373.998186827377	377.326015022172	695.451206933903	396.98020130335	659.481486455562	393.113603268614	373.998186827377
TrnM	9.03763171633543e-07	5.58598559836434e-05	23.8862347507152	8.86921060512307	10.4213510346152	5.78163765494247	0.554787727209108	6.03770413563844	13.7898761797666	15.3545392366591	14.95003398325	6.17553899136667	6.05650219123733	6.03770413563844	13.7898761797666	15.3545392366591	14.95003398325	6.17553899136667	6.05650219123733
Pisd-ps3	5.51789568371541e-05	0.0009799656832613	23.5978439054208	22.0119328063087	46.7877487048746	6.43134361349014	0.137457855774541	52.1661433291024	46.1447144955274	41.3666962594341	39.3182499584802	51.4073176966977	51.0002754899282	52.1661433291024	46.1447144955274	41.3666962594341	39.3182499584802	51.4073176966977	51.0002754899282
LOC100861738	0.84959957887287	1.0	23.8614097968937	6.42993282090315	22.6832658467485	2.93949804407152	0.129588837160011	23.787436201057	25.7980689271902	22.0020798347525	27.3409128436728	14.1511332368836	22.9586296027089	23.787436201057	25.7980689271902	22.0020798347525	27.3409128436728	14.1511332368836	22.9586296027089
LOC100861749	0.0028438536886203	0.0241124264033135	24.034188034188	15.4887448102497	2.93856942779607	0.373243527979943	0.127015385258355	2.57357330381745	2.78722085770665	2.72809950750347	3.10984617797042	3.50495937270864	2.92815505788078	2.57357330381745	2.78722085770665	2.72809950750347	3.10984617797042	3.50495937270864	2.92815505788078
LOC434608	0.235088509243338	0.852703919853213	24.5097718983069	3.97910290496581	0.626311023479593	0.285023099867058	0.285023099867058	0.768855850321931	1.12220064311821	0.386759506204483	0.768831602843883	0.145183029098569	0.569538195836969	0.768855850321931	1.12220064311821	0.386759506204483	0.768831602843883	0.145183029098569	0.569538195836969
LOC673652	0.0238294258668145	0.126580367976494	23.0128833803107	2.94815001666389	3.77865807089281	0.953713930839416	0.252394874832926	4.09185105325036	4.58295077457608	3.62352583406558	3.2057911269331	2.51115839648943	4.77158680922897	4.09185105325036	4.58295077457608	3.62352583406558	3.2057911269331	2.51115839648943	4.77158680922897
Mid1-ps1	0.0349185606694881	0.174330750359302	23.0650441273667	4.04926847435253	3.44892150491323	1.53930964893218	0.446316231534794	4.29385564670843	4.24341154404679	4.49375770602054	1.49513472328972	1.91645679450985	4.31701347334647	4.29385564670843	4.24341154404679	4.49375770602054	1.49513472328972	1.91645679450985	4.31701347334647
Gm8525	0.994668724042361	1.0	26.919858475167	17.2728391817	0.385680090256756	0.05302346167171	0.05302346167171	0.241928911358335	0.510051705389385	0.26367924522884	0.29952158677243	0.593884585929339	0.388291429682115	0.241928911358335	0.510051705389385	0.26367924522884	0.29952158677243	0.593884585929339	0.388291429682115
Gm4017	0.0026369154133162	0.0226426301599619	26.2029183321959	15.8893167652686	7.53409393852923	2.40557244545189	0.319291538581678	4.88529803190506	6.13589147381601	5.83429803009712	8.30029019990695	10.589015510047	9.3213920700765	4.88529803190506	6.13589147381601	5.83429803009712	8.30029019990695	10.589015510047	9.3213920700765
Zf12	0.98799859219206	1.0	26.9159570529434	1.01356165865059	0.412719991113567	0.076813336928424	0.076813336928424	0.434979467876849	0.687790944933846	0.17778216925766	0.504870959692762	0.33368221644816	0.327250314170224	0.434979467876849	0.687790944933846	0.17778216925766	0.504870959692762	0.33368221644816	0.327250314170224
LOC100862337	1.0	1.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vamp7	0.914306160380117	1.0	21.9002341791333	2.89724715571551	8.72776373795532	1.03879665075906	0.119022086521606	6.73328137702115	11.3848565977789	8.0431375043854	7.65261388485116	8.19827953609515	10.7311445729767	6.73328137702115	11.3848565977789	8.0431375043854	7.65261388485116	8.19827953609515	10.7311445729767
Akap17a	3.85923481300843e-05	0.0007385278308512	23.3541039878849	1.20649852410127	5.04167941483172	0.584161384305667	0.115866427878609	5.48079628935429	5.35907558660608	5.2580470774613	4.2527718702352	4.59091849819937	5.38453407213039	5.48079628935429	5.35907558660608	5.2580470774613	4.2527718702352	4.59091849819937	5.38453407213039
2510022D24Rik	0.0056501181949874	0.0413287508420671	24.8791598539018	1.31498912447586	8.99457277515633	1.08927981938412	0.12110411985245	10.3582819247993	9.97171930836196	9.12441551660754	7.59786085056434	8.76606822221381	8.02775338127357	10.3582819247993	9.97171930836196	9.12441551660754	7.59786085056434	8.76606822221381	8.02775338127357
Gm25651	1.0	1.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
